no.,dudx,dudy,dvdx,dvdy,eps_I,eps_II,eps_tot
232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,0.062340900826016926,-0.8104317107382202,-0.06234090082601704,0.24936360330406782,0.31170450413008477,0.8925858629503676,0.9454465720673138
235,0.0,-0.7013351342926905,0.0,0.1402670268585382,0.1402670268585382,0.715224307065329,0.728848851436849
236,-2.7755575615628914e-17,0.0,-2.7755575615628914e-17,0.0,-2.7755575615628914e-17,3.925231146709438e-17,4.80740671595891e-17
237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,-0.08905842975145273,0.31170450413008466,-0.03562337190058114,0.12468180165203391,0.03562337190058118,0.3491499364077568,0.35096253748670636
242,0.24045776032892235,0.6412206942104598,0.09618310413156894,0.2564882776841839,0.4969460380131063,0.7375780225141803,0.8893687109365003
243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,-0.0361979424151066,0.28958353932085285,0.0,6.938893903907228e-18,-0.03619794241510659,0.29183714170865793,0.294073474349127
249,0.06600801263931202,0.2640320505572482,-1.3877787807814457e-17,0.0,0.06600801263931202,0.27215800824898917,0.28004828009942934
250,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,0.12947725556172743,0.30211359631069745,-2.7755575615628914e-17,0.0,0.12947725556172743,0.32868980024269073,0.3532723375688745
253,0.0,2.7755575615628914e-17,0.0,-1.3877787807814457e-17,-1.3877787807814457e-17,3.1031676915590914e-17,3.399349888776296e-17
254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,1.5700924586837752e-16
256,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,-5.551115123125783e-17,7.850462293418876e-17,9.61481343191782e-17
257,0.0,0.0,2.7755575615628914e-17,0.0,0.0,2.7755575615628914e-17,2.7755575615628914e-17
258,-0.8416021611512287,-0.11221362148683056,0.14026702685853798,0.33664086446049146,-0.5049612966907372,1.1785769474054757,1.2821971502507719
259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,-0.21954838986553787,-0.3659139831092298,0.14636559324369192,0.24394265540615323,0.024394265540615356,0.5128600633112262,0.5134398939806499
261,0.0,-0.4208010805756143,0.0,0.2805340537170762,0.2805340537170762,0.5057399575953436,0.5783357675291019
262,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.5700924586837752e-16
263,5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,7.850462293418876e-17,9.61481343191782e-17
264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,-0.33664086446049146,-0.24686996727102695,-0.11221362148683048,-0.044885448594732175,-0.38152631305522366,0.46266861402328147,0.5996870633553276
268,4.163336342344337e-17,0.0,-6.938893903907228e-18,0.0,4.163336342344337e-17,4.220764384040162e-17,5.928593550334434e-17
269,1.1102230246251565e-16,2.7755575615628914e-17,5.551115123125783e-17,1.3877787807814457e-17,1.249000902703301e-16,1.2794688166302258e-16,1.7880278822442372e-16
270,-5.551115123125783e-17,0.0,1.3877787807814457e-17,0.0,-5.551115123125783e-17,5.721958498152797e-17,7.97218214573518e-17
271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,1.1102230246251565e-16,1.2412670766236366e-16,1.6653345369377348e-16
273,0.0,2.7755575615628914e-17,0.0,0.0,0.0,2.7755575615628914e-17,2.7755575615628914e-17
274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,-2.7755575615628914e-17,0.0,6.938893903907228e-18,0.0,-2.7755575615628914e-17,2.8609792490763984e-17,3.98609107286759e-17
