no.,sX1,sX2,sX3,sY1,sY2,sY3,eX1,eX2,eX3,eY1,eY2,eY3,tracer_j,tracer_i
647,2.049478107503996,-2.4350971361943423,5.635121866692553,5.7950802012802365,-2.9466815296770905,-1.566171801361539,2.0115664157430224,-2.4727118788729014,5.597301881620494,2.133550802960226,-6.608125974379143,-5.227466594946087,49,605
648,1.7198724158880463,6.20543481596463,-3.3606735627006574,-2.94650355778229,5.794943501411108,1.5010950757581027,1.6818426543421034,6.167110280608242,-3.398694140533293,-6.607945284037927,2.133416270482567,-2.1605546530070123,49,604
649,10.137015714915279,3.6318505107702754,-8.20090947395056,-0.8586829669698758,7.991015316882891,-4.342680610537252,9.915565607570551,3.596859442424422,-8.23534354543392,-4.883398595671896,4.330219403426467,-8.0034550082766,40,604
650,2.17591808397379,-0.8064056420115321,4.278877165643764,5.925622714139487,0.09462322129079768,-4.345165985449695,2.1424375974346983,-0.8396845693511361,4.245571263833826,2.2645479978485192,-3.5663852128446707,-8.005955713335517,40,601
651,11.94964857762638,-1.9823318334809688,0.12021723751824642,7.991891969517851,5.925575555394264,-4.345547642529544,11.915647463034144,-2.015959293579019,0.08676694198963403,4.331083127746579,2.264506180059357,-8.006331806068097,40,602
652,-6.141017196115841,7.791370886288785,2.707770250389645,-2.880567078669423,-0.8182976613895898,3.624564079548831,-6.175372988338446,7.7566446695893365,2.673056713168153,-6.541626976591819,-4.479095243009948,-0.03644120165291594,42,603
653,3.351059312582711,6.332946446651399,0.5016148159289654,-4.3102805114101335,1.521153168591766,4.502826968741311,3.318053061874612,6.299740501441105,0.46847658793622776,-7.971293849088098,-2.139926866533644,0.841556269846917,41,600
654,3.6321800826091577,1.5342787305812402,-1.4509550500180395,-0.8183775956473014,9.454072513008715,3.6253155623822737,3.597071285674199,1.3124080319976996,-1.4860523003136088,-4.4791686635131995,5.428714625304939,-0.035683837159747246,42,604
655,8.196753287048368,0.1676243139097698,-2.8224020183363354,4.697601687206062,6.981841760454024,1.157341158984618,7.971056083370688,-0.05794207619320085,-3.047728747489233,0.6735981668660153,2.9575686732106337,-2.866880136280287,41,611
656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
657,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
658,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
659,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
660,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
661,-0.9605007519464646,7.165633631734589,0.5993394842273521,0.49667246012274135,5.501712276117043,7.062744428726309,-0.838597446462077,7.287193637486894,0.7210093411100922,-3.7146512317797575,1.2905066688159355,2.85130780940275,57,628
662,3.0042748389547085,-5.122860579915931,1.3352599730773906,9.850215176811346,4.845495149868796,-4.034289737267271,3.124993077955046,-5.001796423421693,1.4564466630834214,5.639005505134437,0.6341663013683482,-8.245218663529515,56,629
663,7.254086004083906,-5.1296271540208,5.689496723863238,5.046399670202755,9.626654002300429,-1.5225390469196325,7.736657606683297,-4.821671075614359,6.1722974605910235,0.6443254401381832,5.77614069025051,-5.9245044929460144,73,621
664,-5.1297328195029825,7.253833444181514,5.9119376999666,1.0829015261062556,-3.501565988623501,4.57653200058319,-4.821899599548725,7.736268574359328,6.582845706286524,-2.767716982435278,-7.90380414820324,0.5374266411417112,75,621
665,-2.3911911862930384,-1.0498011618937022,5.687183594626158,4.576748253590295,-3.5011763518686214,5.9185836835244405,-1.72053715597973,-0.5676378814527094,6.357607230504942,0.5377293960239637,-7.903351438772815,1.8797403251738016,75,623
666,-5.202184893592821,4.971639145650833,1.534896791446641,0.7688913425780876,-4.513509558736694,10.1881124134629,-4.720064051359703,5.0903437300333785,2.2052780761508295,-3.6333225828804077,-8.72667533372431,6.14921568003832,74,624
667,8.817017410324675,3.230760217470862,-1.3545823705794124,-6.6140792967310835,11.048374211387403,-1.3309954859335922,8.935363625774428,3.537398852417918,-1.236188159299533,-10.82651862401965,7.198664760692199,-5.543838053855458,70,626
668,7.384500085016225,0.8164613621099684,2.80289783105158,6.759657665886269,8.32515340404285,-5.620531889007849,7.6923030621529636,0.9357565749680076,2.9225620209070162,2.9100024431552454,4.111981296074939,-9.833353383759546,71,625
669,-5.076841185442321,0.5050875997723807,8.638714527307092,11.048367175976656,-6.615486567496884,-1.6173402642701173,-4.771149564335389,0.6224078407391559,9.118877618961934,7.198580457616788,-10.827954077532073,-6.018440419994774,70,628
670,9.682090489863143,-5.077323613910855,8.638546955192295,9.562625024432311,2.47450354194347,-10.192797396386725,10.161748126811002,-4.77153808901216,9.118822069199085,5.161022272543683,-1.3753189696284587,-14.593952846485829,72,628
671,7.340771742557206,3.789145884124047,1.4175746348848954,-0.006238263800424316,7.370054089991936,-4.312953863634026,7.460995834048714,3.909223156150113,1.5380533858421859,-4.218977360242696,3.157060476757222,-8.525769209226793,68,623
672,11.68952385626342,3.1871652267599546,-2.7360249592749635,-10.566393683757846,8.599299117927059,4.2931044315553315,11.810126026700013,3.307396074345123,-2.6155364874315925,-14.778471435660245,4.386550099354537,0.08027840925805965,66,624
673,-0.9703348078039018,7.535324495576413,6.297420011983479,8.598902444738297,-10.568329297866496,4.827810127630918,-0.8493806157457274,7.656655406760019,6.41831410374841,4.386131718343486,-14.780427523823773,0.6153400876573031,66,625
674,2.8017634358812584,-0.9690500390825774,6.297987753027508,7.259051426923718,-0.008411210884693565,-3.777845929153896,2.9216075026000388,-0.8488967375281161,6.4180832073477,3.0462696704911485,-4.221154507768262,-7.990288429320921,68,625
675,-0.36576314007190414,3.186215226154732,6.95655230431706,3.072237592921319,-4.304461517315231,2.962731632366056,-0.24548516411057256,3.306642689704107,7.076673154570846,-1.1407696459990286,-8.517213685063757,-1.2500594528721494,69,624
676,2.443900286269545,-1.0487056452931567,-2.6147514313090787,-1.7159220612947672,9.32490244354565,2.7567547104582397,2.5624022159218796,-0.5671108172342849,-2.1329233701184678,-5.929186057176784,4.922585352225461,-1.64545391322125,72,623
677,-1.0487056452931567,2.443900286269545,9.124486657256133,9.32490244354565,-1.7159220612947672,4.0403080026236475,-0.5671108172342849,2.5624022159218796,9.242683262622085,4.922585352225461,-5.929186057176784,-0.17288449026496405,72,623
