no.,vertice_idx1,vertice_idx2,vertice_idx3
1,93,119,86
4,119,85,86
5,85,119,103
6,172,191,159
11,174,104,158
13,255,194,158
14,262,265,264
15,261,262,264
16,1,6,0
17,6,15,14
19,145,93,104
20,179,172,167
21,172,179,191
23,262,263,265
24,141,155,159
25,155,172,159
26,172,155,167
28,97,72,50
29,72,97,89
30,15,30,14
31,4,6,1
32,4,15,6
33,82,72,89
34,72,82,46
37,97,95,89
40,62,67,47
41,84,103,100
42,67,84,100
43,62,84,67
44,84,62,80
45,90,85,103
46,90,80,85
47,84,90,103
48,90,84,80
52,171,163,174
53,171,180,169
54,105,102,100
56,178,168,169
57,42,33,46
58,82,42,46
59,33,34,46
60,37,30,41
61,30,37,45
62,30,24,41
63,24,30,15
64,24,42,41
65,42,24,33
66,65,62,47
67,62,65,80
68,85,81,86
69,7,10,15
70,10,7,19
71,9,6,14
72,2,9,8
73,30,20,14
75,88,96,93
76,94,107,104
78,78,91,86
79,98,82,89
80,95,98,89
81,94,98,107
82,136,107,113
85,110,116,113
86,110,106,114
87,116,110,114
88,190,184,197
89,184,190,176
90,204,213,212
91,213,222,212
93,238,247,232
94,238,228,235
95,181,187,180
96,181,171,174
97,171,181,180
99,187,181,194
100,180,186,169
101,186,178,169
104,117,130,125
105,130,117,121
106,143,130,131
107,123,122,138
108,131,123,138
109,122,140,138
110,139,140,122
111,147,140,139
112,184,185,199
113,185,193,199
114,186,185,178
115,185,186,193
116,177,184,176
117,177,168,178
118,185,177,178
119,177,185,184
120,48,35,50
121,72,48,50
122,48,43,35
123,43,72,46
124,43,48,72
125,16,10,19
126,10,16,15
127,16,24,15
128,21,16,19
129,16,21,24
130,54,65,47
131,80,68,85
132,65,68,80
133,68,54,58
134,54,68,65
135,83,78,86
137,4,5,15
138,5,7,15
139,5,4,1
140,9,3,6
141,3,9,2
142,6,3,0
143,3,2,0
144,9,11,8
145,20,25,18
146,25,30,45
147,25,20,30
148,55,40,45
149,40,55,52
150,82,92,79
151,92,94,79
152,98,92,82
153,92,98,94
154,99,96,88
155,94,99,88
156,96,99,104
157,99,94,104
158,74,76,88
159,94,76,79
160,76,94,88
161,66,76,74
162,87,91,78
163,87,74,88
164,87,88,93
165,91,87,93
166,37,56,45
167,109,98,95
171,120,116,114
172,116,120,129
173,120,136,129
177,101,95,97
178,106,101,97
179,110,101,106
180,101,109,95
181,101,110,113
182,109,101,113
183,155,152,167
184,152,155,141
185,190,175,176
186,170,161,173
187,166,177,176
188,177,166,168
189,144,131,138
190,144,143,131
191,223,213,214
192,223,224,228
193,258,263,262
194,258,262,261
195,256,258,261
196,240,238,235
197,238,240,247
198,208,207,199
199,208,201,221
200,193,201,199
201,201,208,199
202,187,189,180
203,189,186,180
204,189,187,194
205,186,189,193
206,126,130,121
207,130,126,131
208,123,126,121
209,126,123,131
210,137,130,143
211,137,135,125
212,130,137,125
213,115,123,121
214,117,115,121
215,111,115,117
216,163,156,154
217,171,156,163
218,156,171,169
219,124,122,119
220,128,124,119
221,132,139,122
222,132,147,139
223,132,133,147
224,134,128,145
225,134,124,128
226,124,134,133
227,35,31,27
228,43,31,35
229,31,34,27
230,24,26,33
231,21,26,24
232,26,21,19
233,26,34,33
234,27,26,19
235,34,26,27
236,68,75,85
237,75,68,58
238,69,75,58
239,55,63,52
240,17,11,18
241,13,9,14
242,13,11,9
243,11,13,18
244,20,13,14
245,13,20,18
246,63,49,52
247,49,63,69
248,49,40,52
249,40,49,36
250,54,38,58
251,29,40,36
252,25,32,18
253,32,25,45
254,40,32,45
255,61,42,82
256,42,53,41
257,61,53,42
258,60,66,74
259,87,60,74
260,60,56,37
261,59,55,45
262,56,59,45
263,98,108,107
264,109,108,98
266,108,109,113
267,160,170,167
268,152,160,167
269,160,161,170
270,135,142,141
271,142,152,141
272,137,142,135
273,182,179,167
274,170,182,167
275,196,190,197
276,205,196,197
277,203,196,205
278,162,175,173
279,161,162,173
280,146,144,138
281,140,146,138
282,166,146,168
283,227,223,228
284,226,227,232
285,213,227,222
286,222,227,226
287,223,227,213
288,227,238,232
289,227,228,238
290,228,229,235
291,224,229,228
292,258,260,263
293,265,260,259
294,263,260,265
295,254,255,259
296,260,254,259
298,253,256,261
299,216,229,224
300,220,208,221
301,210,219,221
302,201,210,221
303,151,137,143
304,162,151,143
305,151,162,161
306,122,112,119
307,105,112,102
308,119,112,103
309,112,105,103
310,112,111,102
311,112,115,111
312,123,118,122
313,115,118,123
314,118,112,122
315,112,118,115
316,133,148,147
317,148,156,147
318,148,134,145
319,134,148,133
320,148,145,154
321,156,148,154
322,157,156,169
323,156,157,147
324,168,157,169
325,146,157,168
326,147,157,140
327,157,146,140
328,124,127,122
329,127,132,122
330,127,124,133
331,132,127,133
332,77,69,81
333,77,75,69
334,77,81,85
335,75,77,85
336,63,73,69
337,73,83,81
338,69,73,81
339,83,73,78
340,11,12,8
341,17,12,11
342,12,2,8
346,38,51,58
347,51,69,58
348,51,49,69
349,49,51,36
350,44,54,47
351,44,38,54
353,28,29,36
354,29,28,23
355,44,28,38
357,28,44,12
358,17,22,23
359,22,32,40
360,22,17,18
361,32,22,18
362,22,29,23
363,29,22,40
364,71,76,66
365,61,71,66
366,76,71,79
367,71,82,79
368,71,61,82
369,57,61,66
370,57,53,61
371,60,57,66
372,57,60,37
373,57,37,41
374,53,57,41
375,64,63,55
376,59,64,55
377,73,64,78
378,64,73,63
379,70,59,56
380,70,60,87
381,60,70,56
382,70,87,78
383,64,70,78
384,70,64,59
385,182,183,188
386,175,183,173
387,183,175,190
388,196,183,190
389,183,196,188
390,192,182,188
391,179,192,191
392,182,192,179
393,211,203,205
394,203,211,214
395,211,223,214
396,211,224,223
397,164,162,143
398,175,164,176
399,162,164,175
400,153,146,166
401,146,153,144
402,144,153,143
403,153,164,143
404,219,225,221
405,225,210,194
407,206,205,197
408,206,216,205
409,184,206,197
410,202,189,194
411,210,202,194
412,202,210,201
413,202,201,193
414,189,202,193
415,160,149,161
416,149,151,161
417,149,160,152
418,142,149,152
419,149,142,137
420,151,149,137
421,51,39,36
422,39,51,38
423,39,28,36
424,28,39,38
425,195,192,188
426,196,195,188
427,195,196,203
428,195,203,214
429,215,211,205
430,211,215,224
431,216,215,205
432,215,216,224
433,165,153,166
434,153,165,164
435,165,166,176
436,164,165,176
437,217,207,208
438,220,217,208
439,206,209,216
440,209,218,216
441,207,209,199
442,217,209,207
443,209,217,218
444,209,184,199
445,209,206,184
446,216,233,229
447,200,195,214
448,195,200,192
449,213,200,214
450,198,200,204
451,200,213,204
452,200,198,191
453,192,200,191
454,254,246,255
455,234,220,221
456,225,234,221
457,218,230,216
458,230,233,216
459,230,217,220
460,217,230,218
461,234,230,220
462,230,234,244
463,229,236,235
464,233,236,229
465,242,236,233
466,246,237,255
468,234,243,244
469,243,237,246
470,237,243,234
471,251,252,244
472,243,251,244
473,251,246,254
474,251,243,246
475,240,245,247
476,245,253,247
477,230,239,233
478,239,242,233
479,239,230,244
480,248,239,244
481,239,248,242
482,231,234,225
483,231,237,234
486,251,257,252
487,257,260,258
488,252,257,258
489,257,254,260
490,257,251,254
491,236,241,235
492,241,240,235
493,241,245,240
494,241,236,242
495,252,250,244
496,250,248,244
497,250,252,258
498,250,258,256
499,248,249,242
500,249,241,242
501,249,250,256
502,250,249,248
503,241,249,245
504,253,249,256
505,245,249,253
