CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       872     656     32      20      63.1724560    -63.9433659   0.000   0.155   15.313  0.441   3      6.400   4.000   904     676     63.1307905    -63.8300331   -960361.7841200  -2798074.7728001  -956361.7841200  -2804474.7728001  
1       1008    656     0       1       62.9472612    -63.7738223   0.000   0.120   11.391  0.313   1      0.000   0.200   1008    657     62.9478240    -63.7701864   -960361.7841200  -2825274.7728001  -960161.7841200  -2825274.7728001  
2       840     672     33      21      63.2345393    -63.9249410   0.000   0.174   18.131  0.393   2      6.600   4.200   873     693     63.1917540    -63.8064466   -957161.7841200  -2791674.7728001  -952961.7841200  -2798274.7728001  
3       808     688     33      20      63.2966352    -63.9064273   0.000   0.087   8.198   0.221   1      6.600   4.000   841     708     63.2532579    -63.7913574   -953961.7841200  -2785274.7728001  -949961.7841200  -2791874.7728001  
4       776     704     0       0       63.3587439    -63.8878242   0.000   0.103   9.569   0.209   1      0.000   0.000   776     704     63.3587439    -63.8878242   -950761.7841200  -2778874.7728001  -950761.7841200  -2778874.7728001  
5       744     720     0       1       63.4208652    -63.8691311   0.000   0.322   24.442  0.626   3      0.000   0.200   744     721     63.4214319    -63.8654301   -947561.7841200  -2772474.7728001  -947361.7841200  -2772474.7728001  
6       912     728     47      23      63.1467555    -63.6295845   0.000   0.100   8.909   0.214   1      9.400   4.600   959     751     63.0815873    -63.4875011   -945961.7841200  -2806074.7728001  -941361.7841200  -2815474.7728001  
7       776     752     24      12      63.3858435    -63.7104432   348.750  0.285   28.386  0.680   3      4.800   2.400   800     764     63.3527412    -63.6360773   -941161.7841200  -2778874.7728001  -938761.7841200  -2783674.7728001  
8       1016    752     78      -11     62.9875406    -63.4143371   0.000   0.107   11.869  0.246   1      15.600  -2.200  1094    741     62.8520316    -63.3599961   -941161.7841200  -2826874.7728001  -943361.7841200  -2842474.7728001  
9       984     760     78      -10     63.0450777    -63.4240429   0.000   0.204   21.653  0.531   3      15.600  -2.000  1062    750     62.9100923    -63.3658927   -939561.7841200  -2820474.7728001  -941561.7841200  -2836074.7728001  
10      704     768     18      -5      63.5143466    -63.7416190   0.000   0.129   10.642  0.475   3      3.600   -1.000  722     763     63.4816524    -63.7375084   -937961.7841200  -2764474.7728001  -938961.7841200  -2768074.7728001  
11      808     768     21      20      63.3416985    -63.6113312   348.750  0.213   19.359  0.620   3      4.200   4.000   829     788     63.3179787    -63.5113887   -937961.7841200  -2785274.7728001  -933961.7841200  -2789474.7728001  
12      1136    768     90      -26     62.7971276    -63.2116405   0.000   0.162   17.290  0.348   2      18.000  -5.200  1226    742     62.6335466    -63.1986258   -937961.7841200  -2850874.7728001  -943161.7841200  -2868874.7728001  
13      672     784     19      -2      63.5764847    -63.7224559   5.625   0.309   32.790  0.694   3      3.800   -0.400  691     782     63.5438086    -63.7059326   -934761.7841200  -2758074.7728001  -935161.7841200  -2761874.7728001  
14      776     784     18      12      63.4037743    -63.5919820   348.750  0.126   15.097  0.457   3      3.600   2.400   794     796     63.3805683    -63.5251582   -934761.7841200  -2778874.7728001  -932361.7841200  -2782474.7728001  
15      984     792     78      -10     63.0627193    -63.3069386   0.000   0.173   17.537  0.519   3      15.600  -2.000  1062    782     62.9276707    -63.2493545   -933161.7841200  -2820474.7728001  -935161.7841200  -2836074.7728001  
16      584     800     25      -1      63.7316598    -63.7742918   11.250  0.123   10.258  0.338   2      5.000   -0.200  609     799     63.6895679    -63.7462326   -931561.7841200  -2740474.7728001  -931761.7841200  -2745474.7728001  
17      1168    800     92      -34     62.7613846    -63.0576036   0.000   0.140   14.304  0.523   3      18.400  -6.800  1260    766     62.5901601    -63.0720286   -931561.7841200  -2857274.7728001  -938361.7841200  -2875674.7728001  
18      624     808     23      2       63.6697150    -63.6935358   5.625   0.144   15.908  0.586   3      4.600   0.400   647     810     63.6326224    -63.6569940   -929961.7841200  -2748474.7728001  -929561.7841200  -2753074.7728001  
19      1096    808     79      -26     62.8853705    -63.1139666   0.000   0.098   9.854   0.254   1      15.800  -5.200  1175    782     62.7399905    -63.1145369   -929961.7841200  -2842874.7728001  -935161.7841200  -2858674.7728001  
20      552     816     32      -3      63.7938560    -63.7550444   0.000   0.096   8.628   0.273   1      6.400   -0.600  584     813     63.7389913    -63.7255494   -928361.7841200  -2734074.7728000  -928961.7841200  -2740474.7728000  
21      672     816     23      -1      63.5944399    -63.6031176   5.625   0.194   18.942  0.512   3      4.600   -0.200  695     815     63.5556575    -63.5779960   -928361.7841200  -2758074.7728001  -928561.7841200  -2762674.7728001  
22      1056    832     81      -18     62.9648994    -63.0741010   5.625   0.170   16.719  0.385   2      16.200  -3.600  1137    814     62.8204839    -63.0434588   -925161.7841200  -2834874.7728001  -928761.7841200  -2851074.7728001  
23      864     840     74      7       63.2885477    -63.2762864   5.625   0.225   26.324  0.643   3      14.800  1.400   938     847     63.1693037    -63.1606618   -923561.7841200  -2796474.7728001  -922161.7841200  -2811274.7728001  
24      1112    840     83      -29     62.8761037    -62.9784384   11.250  0.119   12.954  0.512   3      16.600  -5.800  1195    811     62.7224636    -62.9859210   -923561.7841200  -2846074.7728001  -929361.7841200  -2862674.7728001  
25      792     864     75      6       63.4215029    -63.2754644   0.000   0.139   11.953  0.266   1      15.000  1.200   867     870     63.2999843    -63.1617331   -918761.7841200  -2782074.7728001  -917561.7841200  -2797074.7728001  
26      912     864     82      4       63.2218277    -63.1294223   5.625   0.273   29.214  0.656   3      16.400  0.800   994     868     63.0875453    -63.0162325   -918761.7841200  -2806074.7728001  -917961.7841200  -2822474.7728001  
27      944     872     83      0       63.1729252    -63.0614008   5.625   0.256   27.407  0.641   3      16.600  0.000   1027    872     63.0347869    -62.9622497   -917161.7841200  -2812474.7728001  -917161.7841200  -2829074.7728001  
28      976     872     83      -4      63.1196672    -63.0230488   5.625   0.212   21.735  0.603   3      16.600  -0.800  1059    868     62.9793745    -62.9389364   -917161.7841200  -2818874.7728001  -917961.7841200  -2835474.7728001  
29      1080    872     85      -19     62.9465780    -62.8994852   5.625   0.178   15.722  0.381   3      17.000  -3.800  1165    853     62.7949407    -62.8687734   -917161.7841200  -2839674.7728001  -920961.7841200  -2856674.7728001  
