CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       1912    312     0       -1      72.5540741    -92.2172178   0.000   0.294   32.793  0.422   3      0.000   -0.067  1912    311     72.5527490    -92.2213053   -1397423.7479300  -1293248.7652520  -1397623.7479300  -1293248.7652520  
1       1944    312     0       -1      72.5147825    -92.0761925   0.000   0.313   33.856  0.686   3      0.000   -0.067  1944    311     72.5134605    -92.0802815   -1397423.7479300  -1299648.7652520  -1397623.7479300  -1299648.7652520  
2       1864    344     0       -1      72.6553346    -92.2989101   0.000   0.358   39.131  0.616   3      0.000   -0.067  1864    343     72.6540074    -92.3030154   -1391023.7479300  -1283648.7652520  -1391223.7479300  -1283648.7652520  
3       1896    344     0       -1      72.6160928    -92.1568634   0.000   0.401   44.596  0.818   3      0.000   -0.067  1896    343     72.6147687    -92.1609704   -1391023.7479300  -1290048.7652520  -1391223.7479300  -1290048.7652520  
4       1944    352     0       -1      72.5675925    -91.9121157   0.000   0.381   43.167  0.732   3      0.000   -0.067  1944    351     72.5662739    -91.9162300   -1389423.7479300  -1299648.7652520  -1389623.7479300  -1299648.7652520  
5       1880    376     0       -1      72.6781021    -92.0960704   0.000   0.383   43.038  0.798   3      0.000   -0.067  1880    375     72.6767792    -92.1001970   -1384623.7479300  -1286848.7652520  -1384823.7479300  -1286848.7652520  
6       1920    392     0       -1      72.6499361    -91.8528203   0.000   0.414   47.108  0.746   3      0.000   -0.067  1920    391     72.6486185    -91.8569589   -1381423.7479300  -1294848.7652520  -1381623.7479300  -1294848.7652520  
7       1968    392     0       -1      72.5905439    -91.6416024   0.000   0.387   42.969  0.754   3      0.000   -0.067  1968    391     72.5892311    -91.6457429   -1381423.7479300  -1304448.7652520  -1381623.7479300  -1304448.7652520  
8       1880    408     0       -1      72.7203919    -91.9636805   0.000   0.424   48.999  0.866   3      0.000   -0.067  1880    407     72.7190716    -91.9678276   -1378223.7479300  -1286848.7652520  -1378423.7479300  -1286848.7652520  
9       1992    424     0       -1      72.6026545    -91.4036857   0.000   0.340   36.799  0.669   3      0.000   -0.067  1992    423     72.6013468    -91.4078473   -1375023.7479300  -1309248.7652520  -1375223.7479300  -1309248.7652520  
10      1944    432     0       -1      72.6728075    -91.5809232   0.000   0.425   50.078  0.722   3      0.000   -0.067  1944    431     72.6714957    -91.5850883   -1373423.7479300  -1299648.7652520  -1373623.7479300  -1299648.7652520  
11      1880    440     0       -1      72.7625947    -91.8306320   0.000   0.405   47.504  0.818   3      0.000   -0.067  1880    439     72.7612772    -91.8347998   -1371823.7479300  -1286848.7652520  -1372023.7479300  -1286848.7652520  
12      2000    456     0       -1      72.6344670    -91.2352244   0.000   0.375   41.754  0.705   3      0.000   -0.067  2000    455     72.6331628    -91.2394066   -1368623.7479300  -1310848.7652520  -1368823.7479300  -1310848.7652520  
13      1936    464     0       -1      72.7246932    -91.4825463   0.000   0.415   46.344  0.760   3      0.000   -0.067  1936    463     72.7233833    -91.4867316   -1367023.7479300  -1298048.7652520  -1367223.7479300  -1298048.7652520  
14      1968    464     0       -1      72.6848444    -91.3418169   0.000   0.417   46.696  0.661   3      0.000   -0.067  1968    463     72.6835378    -91.3460032   -1367023.7479300  -1304448.7652520  -1367223.7479300  -1304448.7652520  
15      1872    472     0       -1      72.8146195    -91.7324992   0.000   0.463   52.834  0.828   3      0.000   -0.067  1872    471     72.8133040    -91.7366874   -1365423.7479300  -1285248.7652520  -1365623.7479300  -1285248.7652520  
16      2024    488     0       -1      72.6460730    -90.9964182   0.000   0.354   38.752  0.700   3      0.000   -0.067  2024    487     72.6447740    -91.0006214   -1362223.7479300  -1315648.7652520  -1362423.7479300  -1315648.7652520  
