CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       184     168     48      -14     70.2161437    -141.8215922  0.000   0.158   14.816  0.335   3      1.920   -0.560  232     154     70.2012337    -141.5605868  -2148503.8110800  257014.7915020  -2151303.8110800  247414.7915020  
1       240     176     48      -11     70.2420781    -141.5317708  0.000   0.138   14.944  0.408   3      1.920   -0.440  288     165     70.2320692    -141.2723824  -2146903.8110800  245814.7915020  -2149103.8110800  236214.7915020  
2       272     184     48      -10     70.2627888    -141.3678305  0.000   0.173   16.863  0.461   3      1.920   -0.400  320     174     70.2543119    -141.1088169  -2145303.8110800  239414.7915020  -2147303.8110800  229814.7915020  
3       360     192     42      2       70.2939415    -140.9075249  0.000   0.318   33.926  0.654   3      1.680   0.080   402     194     70.3051234    -140.6863585  -2143703.8110800  221814.7915020  -2143303.8110800  213414.7915020  
4       392     200     42      3       70.3140494    -140.7424873  0.000   0.343   35.326  0.712   3      1.680   0.120   434     203     70.3268029    -140.5215095  -2142103.8110800  215414.7915020  -2141503.8110800  207014.7915020  
5       464     208     41      3       70.3408416    -140.3649144  0.000   0.191   19.371  0.379   2      1.640   0.120   505     211     70.3529437    -140.1486992  -2140503.8110800  201014.7915020  -2139903.8110800  192814.7915020  
6       328     216     42      2       70.3307697    -141.0902511  0.000   0.296   32.401  0.657   3      1.680   0.080   370     218     70.3421905    -140.8687681  -2138903.8110800  228214.7915020  -2138503.8110800  219814.7915020  
7       504     216     38      1       70.3617193    -140.1564077  0.000   0.188   20.228  0.410   3      1.520   0.040   542     217     70.3695167    -139.9548652  -2138903.8110800  193014.7915020  -2138703.8110800  185414.7915020  
8       432     224     42      3       70.3639668    -140.5429157  0.000   0.300   32.159  0.677   3      1.680   0.120   474     227     70.3764622    -140.3212356  -2137303.8110800  207414.7915020  -2136703.8110800  199014.7915020  
9       576     224     36      2       70.3872105    -139.7771162  354.375  0.117   10.896  0.357   2      1.440   0.080   612     226     70.3960618    -139.5862426  -2137303.8110800  178614.7915020  -2136903.8110800  171414.7915020  
10      168     232     42      -10     70.3267012    -141.9466953  354.375  0.150   14.281  0.349   2      1.680   -0.400  210     222     70.3178504    -141.7183023  -2135703.8110800  260214.7915020  -2137703.8110800  251814.7915020  
11      368     232     42      2       70.3668152    -140.8870268  0.000   0.271   30.348  0.577   3      1.680   0.080   410     234     70.3779722    -140.6650115  -2135703.8110800  220214.7915020  -2135303.8110800  211814.7915020  
12      264     248     38      -7      70.3753111    -141.4481855  0.000   0.129   9.467   0.234   1      1.520   -0.280  302     241     70.3703625    -141.2424201  -2132503.8110800  241014.7915020  -2133903.8110800  233414.7915020  
13      704     248     33      4       70.4479489    -139.1041437  0.000   0.331   37.344  0.702   3      1.320   0.160   737     252     70.4592612    -138.9291552  -2132503.8110800  153014.7915020  -2131703.8110800  146414.7915020  
14      424     264     41      3       70.4340254    -140.6062559  0.000   0.281   29.225  0.612   3      1.640   0.120   465     267     70.4464367    -140.3891431  -2129303.8110800  209014.7915020  -2128703.8110800  200814.7915020  
15      600     264     31      5       70.4623114    -139.6666999  0.000   0.225   22.192  0.548   3      1.240   0.200   631     269     70.4757071    -139.5030407  -2129303.8110800  173814.7915020  -2128303.8110800  167614.7915020  
16      736     264     33      4       70.4806295    -138.9389262  0.000   0.353   33.975  0.674   3      1.320   0.160   769     268     70.4917736    -138.7635429  -2129303.8110800  146614.7915020  -2128503.8110800  140014.7915020  
17      840     264     33      4       70.4925491    -138.3815207  0.000   0.302   32.105  0.630   3      1.320   0.160   873     268     70.5031224    -138.2057145  -2129303.8110800  125814.7915020  -2128503.8110800  119214.7915020  
18      872     264     33      4       70.4958518    -138.2098774  0.000   0.327   34.789  0.679   3      1.320   0.160   905     268     70.5062492    -138.0339475  -2129303.8110800  119414.7915020  -2128503.8110800  112814.7915020  
19      912     264     33      4       70.4997386    -137.9952424  0.000   0.349   38.910  0.696   3      1.320   0.160   945     268     70.5099158    -137.8191624  -2129303.8110800  111414.7915020  -2128503.8110800  104814.7915020  
