CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       1600    880     3       18      63.7613826    -161.1401335  16.875  0.116   9.068   0.323   2      0.200   1.200   1603    898     63.7920555    -161.1609163  -2595387.9289700  1273722.4795600  -2591787.9289700  1273122.4795600  
1       1312    928     0       0       63.6096794    -162.2421921  0.000   0.086   7.728   0.234   1      0.000   0.000   1312    928     63.6096794    -162.2421921  -2585787.9289700  1331322.4795600  -2585787.9289700  1331322.4795600  
2       1136    944     0       0       63.4917631    -162.8846205  0.000   0.115   11.472  0.304   2      0.000   0.000   1136    944     63.4917631    -162.8846205  -2582587.9289700  1366522.4795600  -2582587.9289700  1366522.4795600  
3       1064    952     0       0       63.4448664    -163.1484025  0.000   0.156   14.661  0.353   2      0.000   0.000   1064    952     63.4448664    -163.1484025  -2580987.9289700  1380922.4795600  -2580987.9289700  1380922.4795600  
4       1032    960     0       0       63.4307115    -163.2735632  0.000   0.120   11.184  0.409   3      0.000   0.000   1032    960     63.4307115    -163.2735632  -2579387.9289701  1387322.4795600  -2579387.9289701  1387322.4795600  
5       1168    960     0       0       63.5427634    -162.8028765  0.000   0.146   13.840  0.251   1      0.000   0.000   1168    960     63.5427634    -162.8028765  -2579387.9289700  1360122.4795600  -2579387.9289700  1360122.4795600  
6       1312    960     -7      22      63.6595626    -162.3000192  0.000   0.084   7.951   0.231   1      -0.467  1.467   1305    982     63.6882062    -162.3644821  -2579387.9289700  1331322.4795600  -2574987.9289700  1332722.4795600  
7       1608    976     -17     -1      63.9187588    -161.2801757  5.625   0.115   10.325  0.306   1      -1.133  -0.067  1591    975     63.9039562    -161.3391691  -2576187.9289700  1272122.4795600  -2576387.9289700  1275522.4795600  
8       1000    984     0       0       63.4410953    -163.4283706  0.000   0.104   9.754   0.245   1      0.000   0.000   1000    984     63.4410953    -163.4283706  -2574587.9289700  1393722.4795600  -2574587.9289700  1393722.4795600  
9       1688    984     0       -1      63.9932687    -161.0074072  0.000   0.201   20.656  0.586   3      0.000   -0.067  1688    983     63.9916903    -161.0056533  -2574587.9289700  1256122.4795600  -2574787.9289700  1256122.4795600  
10      1608    1024    -11     -1      63.9943071    -161.3651928  5.625   0.116   10.757  0.296   1      -0.733  -0.067  1597    1023    63.9841489    -161.4028275  -2566587.9289700  1272122.4795600  -2566787.9289700  1274322.4795600  
11      1672    1024    0       -1      64.0440259    -161.1353478  0.000   0.186   17.327  0.386   2      0.000   -0.067  1672    1023    64.0424489    -161.1335823  -2566587.9289700  1259322.4795600  -2566787.9289700  1259322.4795600  
12      1232    1048    82      -34     63.7316206    -162.7412523  5.625   0.126   11.106  0.504   3      5.467   -2.267  1314    1014    63.7453183    -162.3910844  -2561787.9289700  1347322.4795600  -2568587.9289700  1330922.4795600  
13      1600    1064    -7      0       64.0509786    -161.4651522  5.625   0.159   15.937  0.510   3      -0.467  0.000   1593    1064    64.0454963    -161.4902711  -2558587.9289700  1273722.4795600  -2558587.9289700  1275122.4795600  
14      888     1072    0       0       63.4820977    -163.9787569  0.000   0.094   9.944   0.264   1      0.000   0.000   888     1072    63.4820977    -163.9787569  -2556987.9289700  1416122.4795600  -2556987.9289700  1416122.4795600  
15      1656    1072    0       0       64.1072715    -161.2780313  0.000   0.313   30.467  0.793   3      0.000   0.000   1656    1072    64.1072715    -161.2780313  -2556987.9289700  1262522.4795600  -2556987.9289700  1262522.4795600  
16      1016    1096    46      -26     63.6270249    -163.5831150  0.000   0.108   11.281  0.246   1      3.067   -1.733  1062    1070    63.6254126    -163.3748221  -2552187.9289700  1390522.4795600  -2557387.9289700  1381322.4795600  
17      1656    1104    0       0       64.1576784    -161.3350754  0.000   0.175   17.157  0.336   2      0.000   0.000   1656    1104    64.1576784    -161.3350754  -2550587.9289700  1262522.4795600  -2550587.9289700  1262522.4795600  
18      1096    1112    42      -29     63.7185677    -163.3354302  0.000   0.112   10.024  0.394   2      2.800   -1.933  1138    1083    63.7086037    -163.1347653  -2548987.9289700  1374522.4795600  -2554787.9289700  1366122.4795600  
19      1704    1144    0       0       64.2580785    -161.2329021  0.000   0.092   11.129  0.238   1      0.000   0.000   1704    1144    64.2580785    -161.2329021  -2542587.9289700  1252922.4795600  -2542587.9289700  1252922.4795600  
20      1376    1168    19      -18     64.0354218    -162.4543951  354.375  0.172   17.386  0.481   3      1.267   -1.200  1395    1150    64.0227133    -162.3536372  -2537787.9289700  1318522.4795600  -2541387.9289700  1314722.4795600  
21      1512    1176    8       10      64.1572135    -161.9833212  354.375  0.114   13.492  0.404   2      0.533   0.667   1520    1186    64.1792536    -161.9728764  -2536187.9289700  1291322.4795600  -2534187.9289700  1289722.4795600  
22      1712    1176    0       -1      64.3147618    -161.2611384  0.000   0.166   15.908  0.377   2      0.000   -0.067  1712    1175    64.3131848    -161.2593457  -2536187.9289700  1251322.4795600  -2536387.9289700  1251322.4795600  
23      1088    1184    20      -29     63.8230042    -163.4991885  343.125  0.142   13.944  0.509   3      1.333   -1.933  1108    1155    63.7949645    -163.3745116  -2534587.9289700  1376122.4795600  -2540387.9289700  1372122.4795600  
24      1336    1184    17      -24     64.0278549    -162.6261256  354.375  0.183   19.027  0.530   3      1.133   -1.600  1353    1160    64.0043105    -162.5213126  -2534587.9289700  1326522.4795600  -2539387.9289700  1323122.4795600  
25      1456    1184    11      2       64.1249144    -162.1985912  354.375  0.133   11.290  0.319   1      0.733   0.133   1467    1186    64.1368702    -162.1629079  -2534587.9289700  1302522.4795600  -2534187.9289700  1300322.4795600  
