CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       928     672     1       0       59.1603856    -65.8569788   0.000   0.185   18.126  0.281   1      0.050   0.000   929     672     59.1587779    -65.8557861   -1217850.5158501  -3196434.8698202  -1217850.5158501  -3196634.8698202  
1       864     680     1       0       59.2681920    -65.9084587   0.000   0.170   16.836  0.202   1      0.050   0.000   865     680     59.2665840    -65.9072588   -1216250.5158501  -3183634.8698202  -1216250.5158501  -3183834.8698202  
2       896     688     1       0       59.2216396    -65.8450331   0.000   0.289   31.148  0.634   3      0.050   0.000   897     688     59.2200313    -65.8438386   -1214650.5158501  -3190034.8698202  -1214650.5158501  -3190234.8698202  
3       832     752     1       0       59.3637368    -65.7200933   0.000   0.391   46.233  0.818   3      0.050   0.000   833     752     59.3621262    -65.7188999   -1201850.5158501  -3177234.8698202  -1201850.5158501  -3177434.8698202  
4       816     800     1       0       59.4186804    -65.5874917   0.000   0.295   31.149  0.545   3      0.050   0.000   817     800     59.4170679    -65.5863034   -1192250.5158501  -3174034.8698202  -1192250.5158501  -3174234.8698202  
5       744     840     1       0       59.5590428    -65.5463061   0.000   0.280   27.427  0.512   3      0.050   0.000   745     840     59.5574289    -65.5451143   -1184250.5158501  -3159634.8698202  -1184250.5158501  -3159834.8698202  
6       528     1304    1       2       60.1825020    -64.3014828   0.000   0.145   12.522  0.343   3      0.050   0.100   529     1306    60.1820131    -64.2937853   -1091450.5158500  -3116434.8698201  -1091050.5158500  -3116634.8698201  
7       576     1304    1       1       60.1041999    -64.2465737   0.000   0.095   9.645   0.228   1      0.050   0.050   577     1305    60.1031381    -64.2421656   -1091450.5158500  -3126034.8698201  -1091250.5158500  -3126234.8698201  
8       608     1384    -27     6       60.0971772    -63.9487472   5.625   0.087   7.651   0.260   1      -1.350  0.300   581     1390    60.1446706    -63.9594655   -1075450.5158500  -3132434.8698201  -1074250.5158500  -3127034.8698201  
