CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       40      24      138     38      83.8086589    150.5076784   0.000   0.138   13.247  0.326   2      9.200   2.533   178     62      84.0722160    150.5126729   -179488.7301130  646878.8046560  -171888.7301130  619278.8046560  
1       120     24      139     41      83.9504645    150.8813644   0.000   0.114   9.463   0.203   1      9.267   2.733   259     65      84.2173283    150.8558080   -179488.7301130  630878.8046560  -171288.7301130  603078.8046560  
2       88      32      138     40      83.8977482    150.5964378   354.375  0.165   17.549  0.498   3      9.200   2.667   226     72      84.1623145    150.5706463   -177888.7301130  637278.8046560  -169888.7301130  609678.8046560  
3       120     56      138     39      83.9663219    150.3422239   354.375  0.093   9.173   0.285   1      9.200   2.600   258     95      84.2304027    150.3221166   -173088.7301130  630878.8046560  -165288.7301130  603278.8046560  
4       256     64      137     50      84.2115101    150.8584063   0.000   0.180   18.523  0.456   3      9.133   3.333   393     114     84.4793838    150.6542925   -171488.7301130  603678.8046560  -161488.7301130  576278.8046560  
5       208     72      137     48      84.1303749    150.4836427   0.000   0.125   10.530  0.340   2      9.133   3.200   345     120     84.3971193    150.3009486   -169888.7301130  613278.8046560  -160288.7301130  585878.8046560  
6       312     72      137     52      84.3147354    150.9998362   0.000   0.128   12.107  0.283   1      9.133   3.467   449     124     84.5836831    150.7612725   -169888.7301130  592478.8046560  -159488.7301130  565078.8046560  
7       72      88      135     39      83.8961513    149.5879776   354.375  0.154   13.975  0.361   2      9.000   2.600   207     127     84.1548160    149.5203357   -166688.7301130  640478.8046560  -158888.7301130  613478.8046560  
8       168     96      136     43      84.0708575    149.8809838   354.375  0.217   19.025  0.496   3      9.067   2.867   304     139     84.3332561    149.7572904   -165088.7301130  621278.8046560  -156488.7301130  594078.8046560  
9       344     96      136     53      84.3835181    150.7316524   0.000   0.176   16.874  0.477   3      9.067   3.533   480     149     84.6510819    150.4521922   -165088.7301130  586078.8046560  -154488.7301130  558878.8046560  
10      392     96      136     55      84.4685733    150.9803533   0.000   0.098   8.254   0.202   1      9.067   3.667   528     151     84.7372669    150.6703579   -165088.7301130  576478.8046560  -154088.7301130  549278.8046560  
11      40      104     134     38      83.8463993    149.1836190   354.375  0.140   13.324  0.375   2      8.933   2.533   174     142     84.1027604    149.1117940   -163488.7301130  646878.8046560  -155888.7301130  620078.8046560  
12      288     104     135     52      84.2880732    150.3081873   354.375  0.159   15.848  0.396   2      9.000   3.467   423     156     84.5531510    150.0265236   -163488.7301130  597278.8046560  -153088.7301130  570278.8046560  
13      112     112     135     40      83.9785105    149.3571393   354.375  0.106   10.495  0.411   2      9.000   2.667   247     152     84.2376163    149.2603739   -161888.7301130  632478.8046560  -153888.7301130  605478.8046560  
14      80      120     133     39      83.9250122    149.0842631   0.000   0.100   9.160   0.187   1      8.867   2.600   213     159     84.1800355    148.9850640   -160288.7301130  638878.8046560  -152488.7301130  612278.8046560  
15      224     120     134     49      84.1818566    149.7208712   0.000   0.152   13.874  0.414   3      8.933   3.267   358     169     84.4434486    149.4670861   -160288.7301130  610078.8046560  -150488.7301130  583278.8046560  
16      456     120     136     57      84.5940823    150.8737280   0.000   0.153   15.221  0.240   1      9.067   3.800   592     177     84.8637310    150.5109074   -160288.7301130  563678.8046560  -148888.7301130  536478.8046560  
17      408     128     136     54      84.5129229    150.4725672   0.000   0.212   22.250  0.544   3      9.067   3.600   544     182     84.7808678    150.1533239   -158688.7301130  573278.8046560  -147888.7301130  546078.8046560  
