CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       928     176     70      137     76.6088592    -142.3157369  0.000   0.117   11.449  0.322   2      7.000   13.700  998     313     76.8724266    -141.8985960  -1445138.3874400  185529.9471140  -1417738.3874400  171529.9471140  
1       960     184     70      137     76.6306248    -142.0737232  0.000   0.194   18.598  0.475   3      7.000   13.700  1030    321     76.8937920    -141.6509844  -1443538.3874400  179129.9471140  -1416138.3874400  165129.9471140  
2       992     184     71      136     76.6376793    -141.8234177  0.000   0.192   20.293  0.446   3      7.100   13.600  1063    320     76.8988110    -141.3865020  -1443538.3874400  172729.9471140  -1416338.3874400  158529.9471140  
3       1040    184     71      136     76.6477865    -141.4474712  0.000   0.186   17.933  0.449   3      7.100   13.600  1111    320     76.9082542    -141.0026721  -1443538.3874400  163129.9471140  -1416338.3874400  148929.9471140  
4       1072    192     72      136     76.6687012    -141.2033503  0.000   0.194   21.833  0.459   3      7.200   13.600  1144    328     76.9289210    -140.7449195  -1441938.3874400  156729.9471140  -1414738.3874400  142329.9471140  
5       1112    192     72      135     76.6763793    -140.8889958  0.000   0.231   23.314  0.547   3      7.200   13.500  1184    327     76.9342031    -140.4232328  -1441938.3874400  148729.9471140  -1414938.3874400  134329.9471140  
6       1144    192     72      135     76.6822353    -140.6372549  0.000   0.204   19.935  0.389   2      7.200   13.500  1216    327     76.9395873    -140.1662818  -1441938.3874400  142329.9471140  -1414938.3874400  127929.9471140  
7       1192    200     72      136     76.7050592    -140.2650461  0.000   0.220   21.649  0.585   3      7.200   13.600  1264    336     76.9635279    -139.7865284  -1440338.3874400  132729.9471140  -1413138.3874400  118329.9471140  
8       1224    200     72      135     76.7102829    -140.0125009  5.625   0.144   13.585  0.386   2      7.200   13.500  1296    335     76.9664483    -139.5281133  -1440338.3874400  126329.9471140  -1413338.3874400  111929.9471140  
9       1256    200     66      133     76.7152504    -139.7597602  0.000   0.080   8.487   0.219   1      6.600   13.300  1322    333     76.9664682    -139.3173457  -1440338.3874400  119929.9471140  -1413738.3874400  106729.9471140  
