CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       2808    768     0       0       53.0526320    -82.2095073   0.000   0.222   24.329  0.230   1      0.000   0.000   2808    768     53.0526320    -82.2095073   -2504509.0009505  -3298432.1079606  -2504509.0009505  -3298432.1079606  
1       2808    816     0       0       53.1009730    -82.1035844   0.000   0.249   26.127  0.570   3      0.000   0.000   2808    816     53.1009730    -82.1035844   -2494909.0009505  -3298432.1079606  -2494909.0009505  -3298432.1079606  
2       2760    824     0       0       53.1728558    -82.1662680   0.000   0.294   33.164  0.750   3      0.000   0.000   2760    824     53.1728558    -82.1662680   -2493309.0009505  -3288832.1079606  -2493309.0009505  -3288832.1079606  
3       2752    864     0       0       53.2237840    -82.0910720   0.000   0.331   35.012  0.670   3      0.000   0.000   2752    864     53.2237840    -82.0910720   -2485309.0009504  -3287232.1079606  -2485309.0009504  -3287232.1079606  
4       2784    880     0       0       53.1972502    -82.0019881   0.000   0.315   32.348  0.709   3      0.000   0.000   2784    880     53.1972502    -82.0019881   -2482109.0009505  -3293632.1079606  -2482109.0009505  -3293632.1079606  
5       2752    912     0       0       53.2720392    -81.9844544   0.000   0.344   36.468  0.694   3      0.000   0.000   2752    912     53.2720392    -81.9844544   -2475709.0009504  -3287232.1079606  -2475709.0009504  -3287232.1079606  
6       2784    912     0       0       53.2293609    -81.9309146   0.000   0.379   40.714  0.709   3      0.000   0.000   2784    912     53.2293609    -81.9309146   -2475709.0009504  -3293632.1079606  -2475709.0009504  -3293632.1079606  
7       2704    928     0       0       53.3521164    -82.0293796   0.000   0.387   41.675  0.658   3      0.000   0.000   2704    928     53.3521164    -82.0293796   -2472509.0009504  -3277632.1079606  -2472509.0009504  -3277632.1079606  
8       2672    944     0       0       53.4108779    -82.0475471   0.000   0.247   25.280  0.516   3      0.000   0.000   2672    944     53.4108779    -82.0475471   -2469309.0009504  -3271232.1079606  -2469309.0009504  -3271232.1079606  
9       2752    944     0       0       53.3041503    -81.9132096   0.000   0.390   42.132  0.746   3      0.000   0.000   2752    944     53.3041503    -81.9132096   -2469309.0009504  -3287232.1079606  -2469309.0009504  -3287232.1079606  
10      2800    944     0       0       53.2400542    -81.8330076   0.000   0.359   38.122  0.674   3      0.000   0.000   2800    944     53.2400542    -81.8330076   -2469309.0009504  -3296832.1079606  -2469309.0009504  -3296832.1079606  
11      1240    968     0       0       55.3236059    -84.5457242   0.000   0.237   24.899  0.509   3      0.000   0.000   1240    968     55.3236059    -84.5457242   -2464509.0009503  -2984832.1079604  -2464509.0009503  -2984832.1079604  
12      2600    968     0       0       53.5310479    -82.1155104   0.000   0.247   27.588  0.659   3      0.000   0.000   2600    968     53.5310479    -82.1155104   -2464509.0009504  -3256832.1079606  -2464509.0009504  -3256832.1079606  
13      2792    984     0       0       53.2907378    -81.7571712   0.000   0.312   34.758  0.680   3      0.000   0.000   2792    984     53.2907378    -81.7571712   -2461309.0009504  -3295232.1079606  -2461309.0009504  -3295232.1079606  
14      2568    992     0       0       53.5979260    -82.1159925   0.000   0.196   20.088  0.335   2      0.000   0.000   2568    992     53.5979260    -82.1159925   -2459709.0009504  -3250432.1079606  -2459709.0009504  -3250432.1079606  
15      2528    1040    0       0       53.6997235    -82.0761263   0.000   0.088   7.490   0.223   1      0.000   0.000   2528    1040    53.6997235    -82.0761263   -2450109.0009504  -3242432.1079605  -2450109.0009504  -3242432.1079605  
16      1296    1072    0       0       55.3619040    -84.2023524   0.000   0.193   20.024  0.341   2      0.000   0.000   1296    1072    55.3619040    -84.2023524   -2443709.0009503  -2996032.1079604  -2443709.0009503  -2996032.1079604  
