CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       1392    200     1       1       69.6800430    -140.6717845  0.000   0.144   15.408  0.338   2      0.067   0.067   1393    201     69.6820022    -140.6671653  -2212753.5726900  219761.6903170  -2212553.5726900  219561.6903170  
1       1360    208     1       1       69.6885511    -140.8400304  0.000   0.156   16.656  0.490   3      0.067   0.067   1361    209     69.6905150    -140.8354258  -2211153.5726900  226161.6903170  -2210953.5726900  225961.6903170  
2       1432    208     1       1       69.7012591    -140.4705200  0.000   0.101   8.383   0.185   1      0.067   0.067   1433    209     69.7032128    -140.4658760  -2211153.5726900  211761.6903170  -2210953.5726900  211561.6903170  
3       1312    240     0       1       69.7366131    -141.1036358  0.000   0.193   19.086  0.518   3      0.000   0.067   1312    241     69.7383943    -141.1041853  -2204753.5726900  235761.6903170  -2204553.5726900  235761.6903170  
4       1344    240     1       1       69.7426263    -140.9391468  0.000   0.160   17.905  0.554   3      0.067   0.067   1345    241     69.7445933    -140.9345394  -2204753.5726900  229361.6903170  -2204553.5726900  229161.6903170  
5       1280    248     0       1       69.7446814    -141.2725396  0.000   0.219   22.837  0.556   3      0.000   0.067   1280    249     69.7464620    -141.2731045  -2203153.5726900  242161.6903170  -2202953.5726900  242161.6903170  
6       1264    280     0       1       69.7985041    -141.3731149  0.000   0.233   23.784  0.509   3      0.000   0.067   1264    281     69.8002846    -141.3736904  -2196753.5726900  245361.6903170  -2196553.5726900  245361.6903170  
7       1416    296     -6      -9      69.8554159    -140.5969441  11.250  0.113   10.186  0.274   1      -0.400  -0.600  1410    287     69.8383149    -140.6234035  -2193553.5726900  214961.6903170  -2195353.5726900  216161.6903170  
8       1224    312     0       1       69.8473786    -141.5981708  0.000   0.147   15.174  0.334   2      0.000   0.067   1224    313     69.8491587    -141.5987680  -2190353.5726900  253361.6903170  -2190153.5726900  253361.6903170  
9       1192    328     0       1       69.8691792    -141.7731210  0.000   0.147   14.794  0.372   2      0.000   0.067   1192    329     69.8709587    -141.7737347  -2187153.5726900  259761.6903170  -2186953.5726900  259761.6903170  
10      1160    336     0       1       69.8765652    -141.9434194  0.000   0.155   16.972  0.428   3      0.000   0.067   1160    337     69.8783441    -141.9440487  -2185553.5726900  266161.6903170  -2185353.5726900  266161.6903170  
11      1120    360     0       1       69.9104474    -142.1655625  0.000   0.195   18.967  0.467   3      0.000   0.067   1120    361     69.9122256    -142.1662129  -2180753.5726900  274161.6903170  -2180553.5726900  274161.6903170  
12      1448    368     -9      -15     69.9893904    -140.4669931  0.000   0.244   23.789  0.557   3      -0.600  -1.000  1439    353     69.9610821    -140.5063529  -2179153.5726900  208561.6903170  -2182153.5726900  210361.6903170  
13      1416    384     -8      -13     70.0123867    -140.6419236  5.625   0.175   18.705  0.491   3      -0.533  -0.867  1408    371     69.9877806    -140.6769047  -2175953.5726900  214961.6903170  -2178553.5726900  216561.6903170  
14      1384    392     -8      -12     70.0209323    -140.8130120  0.000   0.136   13.314  0.324   2      -0.533  -0.800  1376    380     69.9980733    -140.8483272  -2174353.5726900  221361.6903170  -2176753.5726900  222961.6903170  
15      1288    400     -7      -2      70.0170085    -141.3179096  5.625   0.197   18.833  0.448   3      -0.467  -0.133  1281    398     70.0120599    -141.3532180  -2172753.5726900  240561.6903170  -2173153.5726900  241961.6903170  
16      1480    400     -7      -17     70.0518978    -140.3157242  0.000   0.184   17.787  0.485   3      -0.467  -1.133  1473    383     70.0203842    -140.3440094  -2172753.5726900  202161.6903170  -2176153.5726900  203561.6903170  
17      1328    408     -6      -6      70.0390321    -141.1138884  5.625   0.189   19.590  0.473   3      -0.400  -0.400  1322    402     70.0271879    -141.1418262  -2171153.5726900  232561.6903170  -2172353.5726900  233761.6903170  
18      1088    416     0       1       70.0027652    -142.3684659  0.000   0.201   20.657  0.517   3      0.000   0.067   1088    417     70.0045432    -142.3691377  -2169553.5726900  280561.6903170  -2169353.5726900  280561.6903170  
19      1288    456     -23     -3      70.1168080    -141.3503788  5.625   0.164   17.315  0.384   2      -1.533  -0.200  1265    453     70.1068570    -141.4690094  -2161553.5726900  240561.6903170  -2162153.5726900  245161.6903170  
20      1536    464     -43     -6      70.1752756    -140.0523886  0.000   0.114   10.557  0.274   1      -2.867  -0.400  1493    458     70.1576157    -140.2757516  -2159953.5726900  190961.6903170  -2161153.5726900  199561.6903170  
21      1272    496     -18     -1      70.1849004    -141.4578490  5.625   0.141   14.032  0.246   1      -1.200  -0.067  1254    495     70.1794607    -141.5517953  -2153553.5726900  243761.6903170  -2153753.5726900  247361.6903170  
22      1544    496     -56     -9      70.2337159    -140.0250864  354.375  0.121   10.774  0.323   2      -3.733  -0.600  1488    487     70.2085829    -140.3162240  -2153553.5726900  189361.6903170  -2155353.5726900  200561.6903170  
23      640     512     0       1       70.0533096    -144.7671675  0.000   0.230   23.787  0.667   3      0.000   0.067   640     513     70.0550766    -144.7680585  -2150353.5726900  370161.6903170  -2150153.5726900  370161.6903170  
24      608     520     0       1       70.0576233    -144.9399525  0.000   0.228   23.896  0.625   3      0.000   0.067   608     521     70.0593894    -144.9408593  -2148753.5726900  376561.6903170  -2148553.5726900  376561.6903170  
25      672     520     0       0       70.0771052    -144.6084825  0.000   0.227   22.365  0.645   3      0.000   0.000   672     520     70.0771052    -144.6084825  -2148753.5726900  363761.6903170  -2148753.5726900  363761.6903170  
26      720     520     0       1       70.0912875    -144.3594520  0.000   0.178   17.827  0.560   3      0.000   0.067   720     521     70.0930569    -144.3603078  -2148753.5726900  354161.6903170  -2148553.5726900  354161.6903170  
27      904     528     0       1       70.1564231    -143.4077726  0.000   0.260   28.823  0.672   3      0.000   0.067   904     529     70.1581974    -143.4085447  -2147153.5726900  317361.6903170  -2146953.5726900  317361.6903170  
28      952     528     0       1       70.1688248    -143.1569173  0.000   0.225   23.509  0.546   3      0.000   0.067   952     529     70.1706003    -143.1576670  -2147153.5726900  307761.6903170  -2146953.5726900  307761.6903170  
29      1280    528     -46     0       70.2435521    -141.4347790  0.000   0.145   13.469  0.280   1      -3.067  0.000   1234    528     70.2341301    -141.6770761  -2147153.5726900  242161.6903170  -2147153.5726900  251361.6903170  
30      1576    528     -61     -7      70.2958656    -139.8704810  354.375  0.134   14.597  0.466   3      -4.067  -0.467  1515    521     70.2737576    -140.1901611  -2147153.5726900  182961.6903170  -2148553.5726900  195161.6903170  
31      760     536     0       1       70.1311521    -144.1650711  0.000   0.204   20.243  0.463   3      0.000   0.067   760     537     70.1329227    -144.1659110  -2145553.5726900  346161.6903170  -2145353.5726900  346161.6903170  
32      792     536     0       1       70.1402108    -143.9984210  0.000   0.179   17.377  0.512   3      0.000   0.067   792     537     70.1419822    -143.9992462  -2145553.5726900  339761.6903170  -2145353.5726900  339761.6903170  
33      824     536     0       1       70.1491048    -143.8316172  0.000   0.206   20.662  0.626   3      0.000   0.067   824     537     70.1508770    -143.8324276  -2145553.5726900  333361.6903170  -2145353.5726900  333361.6903170  
34      864     544     0       1       70.1741768    -143.6292388  0.000   0.274   28.883  0.575   3      0.000   0.067   864     545     70.1759501    -143.6300317  -2143953.5726900  325361.6903170  -2143753.5726900  325361.6903170  
35      728     552     0       1       70.1502438    -144.3452576  0.000   0.199   20.116  0.579   3      0.000   0.067   728     553     70.1520135    -144.3461148  -2142353.5726900  352561.6903170  -2142153.5726900  352561.6903170  
36      1496    552     -70     -8      70.3260296    -140.3058748  0.000   0.145   13.802  0.347   2      -4.667  -0.533  1426    544     70.2997249    -140.6726561  -2142353.5726900  198961.6903170  -2143953.5726900  212961.6903170  
37      536     560     0       1       70.1054878    -145.3497583  0.000   0.227   24.782  0.606   3      0.000   0.067   536     561     70.1072519    -145.3507044  -2140753.5726900  390961.6903170  -2140553.5726900  390961.6903170  
38      568     560     0       0       70.1157159    -145.1839082  0.000   0.230   25.164  0.546   3      0.000   0.000   568     560     70.1157159    -145.1839082  -2140753.5726900  384561.6903170  -2140753.5726900  384561.6903170  
39      832     568     0       1       70.2080240    -143.8157780  0.000   0.233   24.324  0.621   3      0.000   0.067   832     569     70.2097966    -143.8165894  -2139153.5726900  331761.6903170  -2138953.5726900  331761.6903170  
40      1200    576     -49     -5      70.3124441    -141.8865078  354.375  0.126   12.729  0.464   3      -3.267  -0.333  1151    571     70.2928029    -142.1419645  -2137553.5726900  258161.6903170  -2138553.5726900  267961.6903170  
41      1320    576     -58     -5      70.3370786    -141.2516289  0.000   0.085   7.668   0.265   1      -3.867  -0.333  1262    571     70.3165543    -141.5556491  -2137553.5726900  234161.6903170  -2138553.5726900  245761.6903170  
42      632     584     0       1       70.1780911    -144.8733966  0.000   0.182   17.774  0.505   3      0.000   0.067   632     585     70.1798582    -144.8743030  -2135953.5726900  371761.6903170  -2135753.5726900  371761.6903170  
43      1088    584     -46     -9      70.3015511    -142.4830732  0.000   0.112   10.923  0.254   1      -3.067  -0.600  1042    575     70.2746274    -142.7191097  -2135953.5726900  280561.6903170  -2137753.5726900  289761.6903170  
44      504     592     0       1       70.1515183    -145.5462580  0.000   0.238   26.073  0.562   3      0.000   0.067   504     593     70.1532815    -145.5472241  -2134353.5726900  397361.6903170  -2134153.5726900  397361.6903170  
45      1440    592     -74     -7      70.3879170    -140.6235699  354.375  0.138   12.302  0.240   1      -4.933  -0.467  1366    585     70.3619557    -141.0128671  -2134353.5726900  210161.6903170  -2135753.5726900  224961.6903170  
46      1168    600     -47     -5      70.3482151    -142.0712474  0.000   0.112   9.112   0.333   2      -3.133  -0.333  1121    595     70.3287513    -142.3164200  -2132753.5726900  264561.6903170  -2133753.5726900  273961.6903170  
47      1352    600     -72     -1      70.3860759    -141.0956462  0.000   0.208   21.131  0.551   3      -4.800  -0.067  1280    599     70.3701425    -141.4772553  -2132753.5726900  227761.6903170  -2132953.5726900  242161.6903170  
48      560     608     0       1       70.1978911    -145.2704701  0.000   0.192   19.193  0.336   2      0.000   0.067   560     609     70.1996561    -145.2714135  -2131153.5726900  386161.6903170  -2130953.5726900  386161.6903170  
49      1560    608     -84     -5      70.4364379    -139.9922602  0.000   0.087   8.205   0.239   1      -5.600  -0.333  1476    603     70.4137957    -140.4376542  -2131153.5726900  186161.6903170  -2132153.5726900  202961.6903170  
50      1008    616     -49     0       70.3392062    -142.9280239  11.250  0.084   7.718   0.307   2      -3.267  0.000   959     616     70.3268817    -143.1865131  -2129553.5726900  296561.6903170  -2129553.5726900  306361.6903170  
51      528     624     0       1       70.2158000    -145.4523247  0.000   0.190   18.778  0.480   3      0.000   0.067   528     625     70.2175641    -145.4532855  -2127953.5726900  392561.6903170  -2127753.5726900  392561.6903170  
52      1320    624     -73     -1      70.4227108    -141.2796076  0.000   0.181   21.840  0.593   3      -4.867  -0.067  1247    623     70.4061550    -141.6670973  -2127953.5726900  234161.6903170  -2128153.5726900  248761.6903170  
53      1512    624     -79     -5      70.4573487    -140.2561469  0.000   0.147   13.470  0.328   2      -5.267  -0.333  1433    619     70.4349068    -140.6750538  -2127953.5726900  195761.6903170  -2128953.5726900  211561.6903170  
54      1408    632     -74     -1      70.4536330    -140.8153236  0.000   0.141   13.568  0.404   3      -4.933  -0.067  1334    631     70.4379345    -141.2091613  -2126353.5726900  216561.6903170  -2126553.5726900  231361.6903170  
55      464     640     0       0       70.2228381    -145.8011258  0.000   0.193   18.125  0.495   3      0.000   0.000   464     640     70.2228381    -145.8011258  -2124753.5726900  405361.6903170  -2124753.5726900  405361.6903170  
56      1152    640     -48     -6      70.4158872    -142.1825582  354.375  0.153   15.581  0.519   3      -3.200  -0.400  1104    634     70.3942468    -142.4330880  -2124753.5726900  267761.6903170  -2125953.5726900  277361.6903170  
57      1200    640     -54     -4      70.4264693    -141.9275918  0.000   0.224   22.395  0.573   3      -3.600  -0.267  1146    636     70.4074150    -142.2117224  -2124753.5726900  258161.6903170  -2125553.5726900  268961.6903170  
58      1584    640     -83     -7      70.4973773    -139.8787461  0.000   0.154   14.560  0.352   2      -5.533  -0.467  1501    633     70.4716166    -140.3193537  -2124753.5726900  181361.6903170  -2126153.5726900  197961.6903170  
59      1544    648     -83     -5      70.5054421    -140.0966609  0.000   0.144   13.531  0.447   3      -5.533  -0.333  1461    643     70.4826946    -140.5381876  -2123153.5726900  189361.6903170  -2124153.5726900  205961.6903170  
60      1096    656     -49     -9      70.4315353    -142.4908111  0.000   0.181   17.815  0.521   3      -3.267  -0.600  1047    647     70.4038647    -142.7443292  -2121553.5726900  278961.6903170  -2123353.5726900  288761.6903170  
61      1376    656     -73     0       70.4905767    -140.9993970  0.000   0.313   35.744  0.681   3      -4.867  0.000   1303    656     70.4764360    -141.3891001  -2121553.5726900  222961.6903170  -2121553.5726900  237561.6903170  
62      1512    656     -83     -5      70.5145552    -140.2719137  0.000   0.191   19.584  0.447   3      -5.533  -0.333  1429    651     70.4913559    -140.7134350  -2121553.5726900  195761.6903170  -2122553.5726900  212361.6903170  
