no.,vertice_idx1,vertice_idx2,vertice_idx3
0,601,583,500
1,158,52,18
2,564,583,601
3,145,194,111
4,75,78,83
5,92,75,76
6,134,158,144
7,158,187,144
8,636,685,602
9,685,693,708
10,592,610,637
11,610,638,637
12,485,576,602
13,485,463,486
14,852,857,856
15,583,517,500
16,564,517,583
17,517,564,544
18,172,194,145
19,75,64,76
20,40,64,75
21,270,308,263
22,210,243,225
23,475,449,442
24,489,449,475
25,95,78,75
26,92,95,75
27,241,187,242
28,241,288,262
29,187,175,242
30,175,187,158
31,175,158,18
32,242,175,500
33,288,306,262
34,385,427,426
35,466,415,500
36,660,636,637
37,636,660,685
38,612,636,602
39,571,612,602
40,603,592,637
41,636,603,637
42,612,603,636
43,603,571,592
44,603,612,571
45,576,577,602
46,577,571,602
47,660,661,685
48,638,661,637
49,661,660,637
50,463,467,486
51,456,485,445
52,485,456,463
53,547,483,488
54,483,510,482
55,571,572,592
56,610,572,578
57,572,610,592
58,851,852,856
59,852,851,847
60,492,517,544
61,492,466,500
62,517,492,500
63,427,455,426
64,455,427,410
65,455,415,466
66,415,455,410
67,357,345,333
68,345,372,344
69,400,356,421
70,444,400,421
71,529,513,549
72,513,489,475
73,513,529,489
74,194,234,263
75,195,234,194
76,172,173,194
77,195,173,168
78,173,195,194
79,309,281,329
80,281,310,329
81,93,92,76
82,210,217,243
83,258,217,211
84,217,258,243
85,217,152,211
86,152,217,210
87,153,113,121
88,113,153,152
89,151,152,210
90,113,151,94
91,151,113,152
92,418,423,392
93,481,460,482
94,481,510,509
95,510,481,482
96,230,202,250
97,173,146,168
98,146,172,145
99,146,173,172
100,78,123,83
101,95,123,78
102,83,123,111
103,123,145,111
104,123,146,145
105,123,95,92
106,146,123,92
107,187,200,144
108,0,13,12
109,30,44,12
110,13,30,12
111,30,13,45
112,8,0,12
113,34,10,35
114,10,34,33
115,10,40,75
116,8,10,0
117,327,269,242
118,269,241,242
119,241,269,288
120,307,306,288
121,269,307,288
122,307,269,327
123,403,385,426
124,427,386,410
125,385,386,427
126,415,390,500
127,327,390,351
128,390,415,410
129,390,242,500
130,390,327,242
131,405,428,411
132,446,487,468
133,440,446,468
134,467,440,468
135,428,440,411
136,440,428,446
137,440,467,463
138,485,545,576
139,545,519,576
140,467,493,486
141,524,577,576
142,519,524,576
143,528,524,509
144,524,487,509
145,487,524,519
146,461,418,419
147,449,461,419
148,483,461,488
149,461,489,488
150,461,449,489
151,554,483,547
152,554,510,483
153,510,554,546
154,554,547,578
155,572,554,578
156,554,572,546
157,534,510,546
158,528,534,571
159,510,534,509
160,534,528,509
161,534,572,571
162,572,534,546
163,851,846,847
164,846,851,842
165,693,674,708
166,674,693,685
167,661,674,685
168,674,661,638
169,664,674,638
170,632,664,638
171,610,632,638
172,705,681,669
173,681,646,669
174,646,601,669
175,707,728,718
176,728,707,725
177,553,492,544
178,492,553,507
179,564,553,544
180,575,553,564
181,615,575,616
182,615,634,622
183,615,616,634
184,455,479,426
185,480,455,466
186,492,480,466
187,480,492,507
188,479,480,507
189,480,479,455
190,497,502,472
191,489,520,488
192,529,520,489
193,520,547,488
194,513,514,549
195,514,513,475
196,416,391,445
197,456,434,463
198,434,456,445
199,391,434,445
200,434,391,383
201,404,434,383
202,55,65,94
203,416,396,391
204,396,416,445
205,194,396,602
206,396,485,602
207,485,396,445
208,308,352,263
209,352,194,263
210,352,396,194
211,207,180,197
212,118,93,124
213,93,118,92
214,146,118,168
215,118,146,92
216,196,195,168
217,196,234,195
218,129,105,64
219,64,79,76
220,105,79,64
221,355,356,400
222,299,305,285
223,244,219,220
224,231,259,211
225,259,258,211
226,259,260,279
227,260,259,231
228,152,178,211
229,153,178,152
230,56,41,61
231,232,260,231
232,460,448,482
233,448,423,418
234,448,483,482
235,461,448,418
236,448,461,483
237,449,412,442
238,412,449,419
239,243,268,225
240,268,271,225
241,258,268,243
242,271,268,314
243,313,271,314
244,283,313,312
245,313,283,271
246,255,230,250
247,10,32,40
248,32,10,33
249,200,186,144
250,233,241,262
251,241,233,187
252,233,200,187
253,179,91,185
254,306,277,262
255,143,179,167
256,13,37,45
257,66,87,103
258,57,66,103
259,66,57,44
260,87,109,103
261,81,82,121
262,80,56,61
263,113,80,121
264,80,81,121
265,56,80,65
266,65,80,94
267,80,113,94
268,49,41,23
269,41,49,61
270,49,80,61
271,80,49,81
272,62,49,23
273,62,82,81
274,49,62,81
275,102,139,101
276,212,244,220
277,433,403,426
278,479,433,426
279,403,409,357
280,409,433,439
