no.,vertice_idx1,vertice_idx2,vertice_idx3
0,526,286,270
1,286,526,360
2,242,286,360
3,11,54,235
4,463,508,473
5,526,456,360
6,508,456,526
7,463,456,508
8,176,163,133
9,264,242,360
10,403,392,411
11,242,231,286
12,231,210,286
13,231,188,210
14,200,176,270
15,503,508,510
16,508,517,510
17,521,517,508
18,525,508,526
19,525,521,508
20,523,528,524
21,456,402,360
22,392,402,411
23,402,429,411
24,429,402,456
25,429,451,428
26,451,429,456
27,451,463,455
28,451,456,463
29,243,259,235
30,236,243,235
31,132,112,133
32,163,132,133
33,193,163,176
34,200,193,176
35,193,200,210
36,293,310,320
37,281,293,320
38,376,385,353
39,343,376,353
40,310,337,320
41,349,354,369
42,210,181,182
43,188,181,210
44,181,188,153
45,231,205,188
46,286,269,270
47,269,200,270
48,210,269,286
49,200,269,210
50,11,30,54
51,522,517,524
52,527,528,531
53,528,527,524
54,527,522,524
55,457,468,452
56,468,457,462
57,474,468,462
58,451,438,428
59,438,451,455
60,503,504,508
61,504,503,498
62,508,504,473
63,503,499,498
64,499,503,510
65,525,530,521
66,530,526,532
67,530,525,526
68,520,517,521
69,523,520,521
70,517,520,524
71,520,523,524
72,359,392,369
73,359,402,392
74,402,359,360
75,354,359,369
76,337,359,354
77,359,310,360
78,359,337,310
79,417,429,428
80,417,403,411
81,429,417,411
82,163,192,182
83,193,192,163
84,192,210,182
85,192,193,210
86,86,77,54
87,90,77,86
88,129,143,107
89,277,293,281
90,293,277,275
91,326,279,320
92,279,326,285
93,353,352,336
94,385,352,353
95,385,395,394
96,381,392,403
97,376,381,403
98,392,381,369
99,399,376,403
100,376,399,385
101,399,395,385
102,335,337,354
103,349,335,354
104,337,335,320
105,258,278,292
106,258,295,260
107,295,258,292
108,304,295,292
109,295,304,309
110,188,187,153
111,205,187,188
112,30,65,54
113,25,23,11
114,23,30,11
115,436,468,287
116,513,514,516
117,527,513,516
118,513,474,512
119,474,513,531
120,513,527,531
121,509,499,510
122,511,513,512
123,513,511,514
124,522,518,517
125,466,471,478
126,466,449,450
127,482,495,474
128,391,384,394
129,384,385,394
130,372,391,378
131,372,384,391
132,461,463,473
133,463,461,455
134,484,471,480
135,419,430,418
136,419,391,394
137,471,481,478
138,490,481,488
139,481,484,488
140,484,481,471
141,499,491,498
142,479,485,480
143,529,523,521
144,530,529,521
145,529,530,532
146,523,529,528
147,529,532,531
148,528,529,531
149,255,265,287
150,265,255,236
151,259,255,287
152,243,255,259
153,255,243,236
154,216,265,236
155,189,216,235
156,216,236,235
157,265,306,287
158,306,321,287
159,328,323,307
160,323,328,350
161,132,126,112
162,89,69,112
163,69,89,85
164,126,89,112
165,91,101,86
166,101,90,86
167,143,128,107
168,128,91,107
169,152,128,143
170,128,152,134
171,128,101,91
172,90,127,117
173,154,127,134
174,90,100,77
175,100,90,117
176,77,100,54
177,173,130,174
178,130,173,129
179,212,178,201
180,282,293,275
181,293,282,310
182,310,282,360
183,282,264,360
184,280,281,320
185,279,280,320
186,130,155,174
187,373,352,385
188,373,358,352
189,384,373,385
190,358,373,351
191,349,368,343
192,368,376,343
193,368,381,376
194,368,349,369
195,381,368,369
196,334,326,320
197,335,334,320
198,326,334,343
199,334,349,343
200,334,335,349
201,304,322,309
202,326,305,285
203,305,278,285
204,305,304,292
205,278,305,292
206,274,254,260
207,342,358,351
208,352,342,336
209,358,342,352
210,342,322,336
211,342,308,309
212,322,342,309
213,333,342,351
214,342,333,308
215,239,278,258
216,239,279,285
217,278,239,285
218,308,291,309
219,291,295,309
220,290,291,308
221,295,291,260
222,291,274,260
223,291,290,274
224,208,205,231
225,187,148,153
226,198,209,214
227,135,119,158
228,119,144,158
229,264,241,242
230,226,241,264
231,246,226,264
232,6,3,0
233,3,1,0
234,1,2,0
235,17,25,11
236,17,11,12
237,18,17,12
238,65,64,54
239,64,86,54
240,91,92,107
241,444,436,434
242,468,444,452
243,436,444,468
244,499,507,497
245,509,507,499
246,507,509,514
247,511,507,514
248,519,518,522
249,519,527,516
250,527,519,522
251,517,515,510
252,518,515,517
253,515,509,510
254,514,515,516
255,509,515,514
256,515,519,516
257,519,515,518
258,453,459,446
259,459,453,465
260,430,439,418
261,449,439,430
262,439,453,446
263,453,439,449
264,475,459,465
265,482,483,495
266,387,401,398
267,391,390,378
268,390,387,378
269,387,390,401
270,364,331,332
271,315,339,332
272,365,372,378
273,365,339,340
274,372,367,384
275,373,367,351
276,367,373,384
277,484,492,488
278,440,443,450
279,449,440,450
280,440,449,430
281,441,438,455
282,414,419,394
283,395,414,394
284,454,441,455
285,441,454,443
286,486,485,479
287,491,486,473
288,486,479,473
289,487,484,480
290,485,487,480
291,487,492,484
292,408,409,422
293,265,250,307
294,250,296,307
295,323,311,307
296,311,323,321
297,306,311,321
298,311,265,307
299,311,306,265
300,366,344,350
301,344,323,350
302,323,344,321
303,321,344,287
304,344,436,287
305,344,396,436
306,344,366,379
307,396,344,379
308,288,271,272
309,276,288,272
310,288,276,312
311,169,189,235
312,54,169,235
313,100,169,54
314,190,194,228
315,169,190,189
316,190,169,194
317,324,327,312
318,327,317,312
319,345,328,346
320,328,345,350
321,374,345,346
322,345,374,379
323,366,345,379
324,345,366,350
325,296,313,307
326,313,328,307
327,120,126,141
328,140,120,141
329,120,89,126
330,149,126,132
331,149,163,182
332,149,132,163
333,126,149,141
334,73,69,85
335,47,176,133
336,112,47,133
337,69,47,112
338,101,118,90
339,118,127,90
340,127,118,134
341,118,128,134
342,128,118,101
343,169,122,142
344,122,169,100
345,129,172,143
346,173,172,129
347,222,207,212
348,207,178,212
349,207,222,221
350,151,127,154
351,127,151,117
352,262,282,275
353,262,234,240
354,234,262,275
355,245,262,240
356,234,230,214
357,198,230,158
358,230,198,214
359,124,155,130
360,325,305,326
361,325,343,353
362,325,326,343
363,325,353,336
364,322,325,336
365,325,322,304
366,305,325,304
367,300,273,301
368,273,300,299
369,300,315,299
370,212,229,249
371,229,212,201
372,254,268,238
373,268,254,274
374,273,268,301
375,290,268,274
376,319,331,330
377,341,333,351
378,333,297,308
379,297,290,308
380,268,297,301
381,297,268,290
382,239,197,174
383,197,173,174
384,197,224,202
385,224,197,239
386,230,157,158
387,157,135,158
388,131,109,125
389,198,191,209
390,103,136,147
391,115,135,114
392,115,119,135
393,121,119,104
394,119,121,144
395,144,121,147
396,103,121,104
397,121,103,147
398,31,23,25
399,23,31,30
400,75,65,30
401,75,92,65
402,215,241,226
403,246,225,226
404,10,18,12
405,11,10,12
406,2,10,11
407,33,17,18
408,78,64,65
409,78,92,91
410,92,78,65
411,78,91,86
412,64,78,86
413,396,386,388
414,374,386,379
415,386,396,379
416,457,458,462
417,447,458,457
418,458,447,442
419,459,448,446
420,425,448,442
421,458,448,459
422,448,458,442
423,453,460,465
424,460,466,478
425,460,449,466
426,460,453,449
427,477,460,478
428,460,477,465
429,481,477,478
430,483,477,481
431,489,481,490
432,489,483,481
433,483,489,495
434,387,375,378
435,375,365,378
436,375,364,332
437,339,375,332
438,365,375,339
439,389,387,398
440,375,389,364
441,389,375,387
442,404,390,391
443,404,419,418
444,419,404,391
445,390,404,401
446,331,356,330
