no.,vertice_idx1,vertice_idx2,vertice_idx3
0,544,1157,860
1,1183,1065,1136
2,400,369,428
3,434,400,428
4,18,2,0
5,1209,1183,1201
6,195,176,199
7,176,195,188
8,544,479,428
9,479,434,428
10,4,1,0
11,2,4,0
12,1157,1024,860
13,124,68,133
14,68,33,0
15,124,137,125
16,137,158,125
17,137,124,133
18,1158,1183,1136
19,1213,1212,1215
20,170,164,144
21,77,101,63
22,77,92,101
23,986,1065,899
24,472,500,471
25,439,472,471
26,500,516,471
27,516,500,552
28,488,516,515
29,516,456,471
30,456,516,488
31,1,5,63
32,8,4,2
33,22,32,18
34,33,22,0
35,22,18,0
36,668,709,695
37,859,831,860
38,887,859,860
39,1142,1100,1157
40,1100,1024,1157
41,290,261,133
42,1089,1110,1136
43,82,124,125
44,82,68,124
45,137,159,158
46,159,180,158
47,159,137,133
48,1154,1173,1172
49,1185,1160,1172
50,1160,1145,1137
51,1214,1213,1215
52,1214,1209,1210
53,1207,1206,1212
54,1213,1207,1212
55,1214,1207,1213
56,140,114,115
57,118,153,115
58,146,176,188
59,146,140,176
60,146,138,114
61,140,146,114
62,162,146,188
63,146,162,138
64,138,162,126
65,138,117,114
66,117,138,126
67,101,117,126
68,92,117,101
69,113,101,126
70,113,130,144
71,101,113,63
72,1,113,328
73,113,1,63
74,114,95,115
75,584,552,547
76,438,439,471
77,456,438,471
78,438,456,420
79,346,420,380
80,195,205,188
81,186,164,170
82,378,418,429
83,487,488,515
84,514,487,515
85,456,450,420
86,450,487,418
87,450,456,488
88,487,450,488
89,15,21,10
90,2,17,10
91,17,15,10
92,18,17,2
93,32,17,18
94,4,3,1
95,3,5,1
96,9,2,10
97,9,8,2
98,529,530,573
99,843,859,887
100,1109,1100,1142
101,958,887,860
102,1024,958,860
103,880,841,907
104,671,544,860
105,508,479,544
106,1122,1152,1130
107,852,886,850
108,1008,957,963
109,681,670,713
110,670,681,648
111,723,724,787
112,776,723,787
113,830,839,890
114,886,839,850
115,759,777,728
116,777,716,728
117,777,839,830
118,777,830,799
119,916,917,955
120,924,917,890
121,879,830,890
122,917,879,890
123,609,659,650
124,640,592,650
125,592,640,577
126,592,609,650
127,609,592,578
128,225,244,280
129,1075,1071,1049
130,1133,1116,1107
131,1116,1111,1090
132,1110,1111,1136
133,1111,1116,1136
134,1116,1096,1107
135,1096,1116,1090
136,1078,1096,1090
137,1050,1078,1090
138,1055,1050,1090
139,172,193,154
140,269,297,304
141,277,269,304
142,75,52,49
143,52,75,71
144,93,82,125
145,82,93,100
146,86,82,100
147,82,86,68
148,68,47,33
149,183,179,196
150,179,180,196
151,180,179,158
152,158,143,125
153,32,42,41
154,22,37,32
155,37,42,32
156,42,37,46
157,37,22,33
158,55,37,33
159,37,55,46
160,542,592,577
161,592,542,578
162,412,413,483
163,1190,1185,1172
164,1173,1190,1172
165,1185,1190,1201
166,1173,1165,1180
167,1165,1173,1154
168,1204,1209,1201
169,1194,1204,1201
170,979,902,980
171,1151,1160,1137
172,1151,1154,1172
173,1160,1151,1172
174,1171,1160,1185
175,1109,1148,1108
176,1148,1109,1142
177,1148,1142,1157
178,1124,1147,1131
179,1124,1106,1108
180,1148,1124,1108
181,1124,1148,1147
182,1147,1167,1131
183,1211,1208,1203
184,1211,1214,1210
185,1208,1211,1210
186,1165,1169,1180
187,1169,1165,1152
188,172,222,193
189,140,177,176
190,176,177,199
191,214,192,220
192,177,214,199
193,214,177,192
194,193,165,154
195,165,118,154
196,118,165,153
197,187,162,188
198,205,187,188
199,145,170,144
200,130,145,144
201,131,113,126
202,113,131,130
203,131,145,130
204,162,131,126
205,145,131,162
206,78,77,63
207,77,78,92
208,40,19,28
209,5,40,63
210,19,40,5
211,95,83,71
212,83,60,71
213,78,83,92
214,561,596,580
215,538,527,509
216,612,607,637
217,1036,1018,1065
218,1036,1001,1018
219,834,825,783
220,864,933,863
221,582,516,552
222,516,582,607
223,607,666,637
224,438,401,439
225,401,438,420
226,397,401,370
227,401,397,439
228,397,355,388
229,397,451,439
230,451,397,388
231,282,328,253
232,282,311,328
233,322,354,311
234,282,322,311
235,213,241,238
236,213,205,241
237,213,187,205
238,212,213,238
239,228,205,195
240,205,228,241
241,228,195,199
242,214,228,199
243,228,214,269
244,228,277,241
245,228,269,277
246,186,185,164
247,164,185,144
248,241,276,238
249,277,276,241
250,469,417,429
251,417,378,429
252,580,455,494
253,469,513,509
254,513,538,509
255,378,353,354
256,353,352,328
257,311,353,328
258,354,353,311
259,418,379,380
260,378,379,418
261,379,378,354
262,379,322,380
263,322,379,354
264,420,419,380
265,450,419,420
266,419,418,380
267,419,450,418
268,27,21,15
269,27,32,41
270,27,17,32
271,17,27,15
272,8,7,4
273,7,3,4
274,21,16,10
275,16,9,10
276,19,30,28
277,13,19,5
278,517,548,535
279,587,585,639
280,585,647,639
281,263,229,230
282,452,502,497
283,548,564,535
284,564,620,619
285,489,517,535
286,620,669,619
287,669,646,619
288,1100,1035,1024
289,1109,1074,1100
290,1074,1035,1100
291,1074,1109,1108
292,1009,1008,963
293,958,919,887
294,919,958,964
295,981,958,1024
296,958,981,964
297,841,853,907
298,853,892,907
299,892,853,842
300,840,880,852
301,880,840,841
302,479,448,434
303,508,448,479
304,400,448,369
305,434,448,400
306,671,636,544
307,615,636,671
308,1122,1141,1152
309,1141,1118,1127
310,1118,1141,1122
311,1118,1097,1127
312,1097,1118,1095
313,1118,1122,1105
314,1095,1118,1105
315,1015,1045,980
316,1045,1015,1041
317,1073,1095,1105
318,1115,1135,1128
319,956,918,945
320,957,939,963
321,906,880,907
322,939,906,907
323,906,939,957
324,1032,1007,1008
325,1007,957,1008
326,409,480,462
327,480,409,435
328,676,640,650
329,676,632,640
330,640,632,577
331,840,778,841
332,696,759,728
333,696,729,759
334,628,696,627
335,696,628,729
336,493,446,485
337,839,811,850
338,811,777,759
339,777,811,839
340,811,852,850
341,811,840,852
342,777,754,716
343,754,777,799
344,985,991,1031
345,1031,1016,1062
346,991,1016,1031
347,1016,1063,1062
348,923,902,867
349,902,923,980
350,819,838,867
351,848,819,867
352,944,916,955
353,916,904,869
354,904,944,938
