no.,vertice_idx1,vertice_idx2,vertice_idx3
0,1,4,7
1,0,4,1
2,34,32,36
3,32,30,27
4,34,31,26
5,9,35,36
6,35,34,36
7,34,35,9
8,29,34,26
9,34,29,32
10,29,30,32
11,30,29,27
12,17,12,27
13,3,0,2
14,0,3,4
15,0,5,2
16,12,5,27
17,13,5,12
18,31,33,28
19,33,31,34
20,8,9,7
21,4,8,7
22,3,8,4
23,10,3,2
24,14,13,12
25,18,19,17
26,18,29,26
27,29,18,27
28,18,17,27
29,8,6,9
30,6,10,9
31,6,8,3
32,10,6,3
33,11,5,13
34,10,11,13
35,5,11,2
36,11,10,2
37,17,16,12
38,16,14,12
39,15,10,13
40,14,15,13
41,10,15,9
42,19,20,17
43,20,16,17
44,33,23,28
45,15,23,9
46,23,34,9
47,23,33,34
48,23,25,28
49,22,20,19
50,31,22,26
51,22,18,26
52,18,22,19
53,20,21,16
54,16,21,14
55,21,25,23
56,21,15,14
57,21,23,15
58,21,24,25
59,25,24,28
60,22,24,20
61,24,21,20
62,24,31,28
63,24,22,31
