no.,vertice_idx1,vertice_idx2,vertice_idx3
0,56,79,96
1,17,1,127
2,72,17,127
3,96,88,94
4,79,88,96
5,100,90,72
6,95,96,94
7,56,47,79
8,47,30,79
9,219,179,127
10,179,129,127
11,129,179,178
12,93,100,94
13,93,90,100
14,90,86,72
15,56,99,163
16,0,4,6
17,7,13,6
18,9,10,12
19,4,10,6
20,26,47,56
21,151,121,157
22,126,129,178
23,93,91,90
24,99,130,132
25,100,98,94
26,99,98,100
27,98,95,94
28,24,4,17
29,4,5,17
30,7,11,13
31,11,9,12
32,15,11,12
33,13,20,18
34,20,26,18
35,106,108,136
36,108,110,136
37,110,151,136
38,121,128,157
39,157,128,178
40,128,126,178
41,99,152,163
42,152,99,132
43,92,91,93
44,92,89,91
45,89,92,88
46,88,92,94
47,92,93,94
48,45,17,72
49,97,98,99
50,97,56,96
51,97,99,56
52,95,97,96
53,98,97,95
54,38,10,4
55,10,38,30
56,30,38,79
57,38,42,79
58,17,3,1
59,5,3,17
60,3,0,1
61,3,5,0
62,2,4,0
63,5,2,0
64,2,5,4
65,8,11,7
66,11,8,9
67,8,10,9
68,8,7,6
69,10,8,6
70,11,14,13
71,14,11,15
72,14,20,13
73,20,14,15
74,10,16,12
75,16,15,12
76,16,19,15
77,16,10,30
78,19,16,30
79,19,21,15
80,21,20,15
81,26,41,47
82,35,41,26
83,33,41,35
84,47,41,30
85,41,33,30
86,102,100,72
87,151,118,121
88,123,128,121
89,128,125,126
90,154,151,157
91,159,154,157
92,153,159,158
93,153,154,159
94,155,183,167
95,155,153,158
96,153,155,147
97,159,177,158
98,177,157,178
99,177,159,157
100,179,177,178
101,222,221,225
102,87,86,90
103,87,89,88
104,91,87,90
105,89,87,91
106,83,88,79
107,84,83,76
108,74,69,72
109,82,84,76
110,84,82,86
111,70,67,76
112,139,130,131
113,152,149,156
114,24,36,4
115,36,38,4
116,38,36,42
117,28,35,26
118,25,28,26
119,21,22,20
120,20,22,26
121,22,25,26
122,27,19,30
123,105,106,131
124,103,105,131
125,130,101,131
126,101,103,131
127,101,99,100
128,101,130,99
129,102,101,100
130,101,102,103
131,110,115,151
132,115,118,151
133,114,112,126
134,114,102,112
135,126,124,129
136,117,124,126
137,116,117,126
138,154,150,151
139,153,150,154
140,150,153,147
141,151,150,136
142,150,147,136
143,212,179,219
144,212,203,179
145,203,193,179
146,177,180,158
147,180,155,158
148,155,180,183
149,180,177,179
