no.,vertice_idx1,vertice_idx2,vertice_idx3
0,181,198,226
1,220,212,141
2,198,225,226
3,190,187,141
4,225,224,226
5,170,175,178
6,181,189,198
7,203,190,141
8,187,112,141
9,179,181,178
10,175,179,178
11,1,2,0
12,212,205,141
13,205,203,141
14,187,192,180
15,192,213,198
16,215,225,198
17,213,215,198
18,112,77,141
19,220,214,212
20,223,220,226
21,224,223,226
22,124,156,104
23,156,169,170
24,192,177,180
25,185,189,181
26,153,112,187
27,103,153,111
28,153,103,112
29,173,161,187
30,173,187,180
31,174,173,180
32,159,157,138
33,204,222,213
34,222,224,225
35,103,93,88
36,77,68,141
37,91,103,88
38,103,91,112
39,223,219,220
40,169,168,182
41,168,177,182
42,177,168,167
43,168,158,167
44,171,175,170
45,169,171,170
46,171,179,175
47,189,186,198
48,186,192,198
49,8,5,0
50,62,63,100
51,146,159,138
52,159,146,148
53,161,155,187
54,155,153,187
55,160,159,148
56,159,160,174
57,160,173,174
58,157,130,138
59,165,159,174
60,165,157,159
61,11,7,2
62,7,11,27
63,11,36,27
64,190,191,187
65,195,191,190
66,205,206,203
67,208,221,204
68,222,221,224
69,221,222,204
70,221,223,224
71,219,221,216
72,221,219,223
73,218,215,213
74,222,218,213
75,215,218,225
76,218,222,225
77,97,101,100
78,102,103,111
79,102,93,103
80,101,102,111
81,93,102,97
82,102,101,97
83,60,41,141
84,68,60,141
85,60,48,41
86,70,68,77
87,214,217,216
88,217,214,220
89,217,219,216
90,219,217,220
91,162,169,156
92,162,168,169
93,124,162,156
94,168,162,124
95,142,168,124
96,168,142,158
97,172,169,182
98,172,171,169
99,172,185,181
100,185,172,182
101,179,172,181
102,171,172,179
103,183,177,192
104,186,183,192
105,184,185,182
106,184,183,186
107,177,184,182
108,183,184,177
109,4,1,0
110,5,4,0
111,14,8,15
112,14,5,8
113,93,86,88
114,86,93,97
115,129,128,100
116,173,154,161
117,160,154,173
118,146,136,148
119,130,123,138
120,123,130,110
121,78,36,62
122,78,73,27
123,36,78,27
124,78,94,73
125,94,78,110
126,90,62,100
127,90,78,62
128,73,72,27
129,72,7,27
130,72,85,7
131,130,134,110
132,142,140,158
133,158,140,167
134,140,163,167
135,176,174,180
136,176,165,174
137,177,176,180
138,199,197,203
139,203,197,190
140,197,195,190
141,65,70,69
142,60,65,48
143,65,60,68
144,70,65,68
145,87,91,88
146,87,81,91
147,81,82,91
148,82,77,112
149,91,82,112
150,82,70,77
151,70,82,69
152,135,140,142
153,135,142,124
154,185,188,189
155,184,188,185
156,188,186,189
157,188,184,186
158,26,20,8
159,20,26,28
160,1,6,2
161,6,11,2
162,83,87,88
163,87,83,81
164,155,137,153
165,150,154,160
166,128,122,100
167,122,90,100
168,96,84,94
169,94,84,73
170,84,72,73
171,72,84,85
172,84,96,85
173,106,99,96
174,96,92,85
175,99,92,96
176,115,94,110
177,134,115,110
178,117,115,143
179,115,134,143
180,107,106,96
181,107,117,114
182,106,107,114
183,134,144,143
184,140,147,163
185,166,176,177
186,176,166,165
187,166,177,167
188,163,166,167
189,147,166,163
190,193,191,195
191,193,204,213
192,192,193,213
193,193,192,187
194,191,193,187
195,201,200,199
196,201,208,204
197,200,201,204
198,206,210,208
199,221,210,216
200,210,221,208
201,135,109,114
202,109,106,114
203,106,109,99
204,95,109,105
205,109,95,99
206,21,26,8
207,41,21,0
208,21,8,0
209,26,33,28
210,48,33,41
211,33,21,41
212,21,33,26
213,19,20,28
214,8,19,15
215,20,19,8
216,4,3,1
217,3,6,1
218,10,4,5
219,14,12,5
220,12,10,5
221,10,12,16
222,137,132,153
223,132,137,129
224,153,132,111
225,132,101,111
226,101,132,100
227,132,129,100
228,152,155,161
229,152,137,155
230,150,126,128
231,126,122,128
232,122,126,125
233,149,136,125
234,126,149,125
235,149,126,150
236,136,149,148
237,149,160,148
238,149,150,160
239,136,127,125
240,127,121,125
241,127,146,138
242,127,136,146
243,98,105,104
244,98,95,105
245,7,98,2
246,85,98,7
247,95,98,85
248,156,98,104
249,2,98,156
250,95,89,99
251,89,92,99
252,89,95,85
253,92,89,85
254,108,96,94
255,108,107,96
256,107,108,117
257,115,108,94
258,108,115,117
259,144,145,157
260,145,144,134
261,145,130,157
262,145,134,130
263,133,147,140
264,117,133,114
265,133,117,143
266,147,133,143
267,133,135,114
268,135,133,140
269,166,164,165
270,144,164,143
271,164,147,143
272,164,166,147
273,165,164,157
274,164,144,157
275,194,193,195
276,194,200,204
277,193,194,204
278,202,201,199
279,202,199,203
280,206,202,203
281,202,206,208
282,201,202,208
283,207,210,206
284,210,207,209
285,207,206,205
286,207,205,212
287,209,207,212
288,211,209,212
289,211,210,209
290,210,211,216
291,214,211,212
292,211,214,216
293,109,113,105
294,113,109,135
295,113,135,124
296,113,124,104
297,105,113,104
298,23,19,28
299,31,23,38
300,19,23,15
301,18,12,14
302,12,18,16
303,18,23,31
304,18,14,15
305,23,18,15
306,11,22,36
307,6,22,11
308,83,71,81
309,71,67,69
310,82,71,69
311,71,82,81
312,57,65,69
313,67,57,69
314,65,57,48
315,63,79,100
316,79,97,100
317,79,86,97
318,86,76,88
319,76,83,88
320,154,151,161
321,151,152,161
322,116,120,121
323,120,122,125
324,121,120,125
325,122,120,90
326,120,116,90
327,90,118,78
328,116,118,90
329,78,118,110
330,118,123,110
331,197,196,195
332,196,194,195
333,196,197,199
334,200,196,199
335,194,196,200
336,39,23,28
337,23,39,38
338,18,25,16
339,25,18,31
340,25,24,16
341,22,29,36
342,29,22,30
343,22,17,30
344,24,17,16
345,17,24,30
346,58,63,62
347,36,58,62
348,29,58,36
349,79,75,86
350,51,33,48
351,57,51,48
352,131,151,154
353,131,150,128
354,150,131,154
355,129,131,128
356,118,119,123
357,127,119,121
358,119,116,121
359,119,118,116
360,123,119,138
361,119,127,138
362,33,44,28
363,44,39,28
364,9,22,6
365,9,17,22
366,9,3,4
367,3,9,6
368,35,31,38
369,43,35,38
370,25,32,24
371,32,25,31
372,35,32,31
373,76,80,66
374,80,75,66
375,80,76,86
376,75,80,86
377,61,57,67
378,61,51,57
379,71,61,67
380,61,71,83
381,64,61,83
382,74,76,66
383,76,74,83
384,74,64,83
385,59,74,66
386,74,59,64
387,131,139,151
388,152,139,137
389,151,139,152
390,137,139,129
391,139,131,129
392,75,54,66
393,54,75,79
394,51,50,33
395,50,59,49
396,59,50,64
397,61,50,51
398,50,61,64
399,40,44,46
400,40,43,38
401,39,40,38
402,44,40,39
