no.,vertice_idx1,vertice_idx2,vertice_idx3
0,1021,1000,1111
1,1107,1065,1111
2,1065,1021,1111
3,1021,1065,1048
4,258,316,297
5,381,403,423
6,424,425,451
7,951,966,1006
8,882,951,830
9,951,882,932
10,101,127,118
11,101,41,54
12,41,101,381
13,10,41,381
14,41,10,34
15,64,82,66
16,20,23,26
17,12,21,10
18,36,42,26
19,36,23,37
20,23,36,26
21,42,29,26
22,29,20,26
23,10,29,34
24,20,29,10
25,53,64,66
26,7,4,11
27,8,12,10
28,8,10,0
29,283,303,299
30,291,303,283
31,316,560,440
32,279,258,297
33,1000,965,945
34,964,965,1000
35,1021,1026,1000
36,1026,1021,1048
37,1204,1209,1210
38,425,398,412
39,531,550,523
40,479,470,523
41,571,594,554
42,594,571,550
43,660,634,635
44,912,882,883
45,882,912,932
46,303,347,299
47,347,303,328
48,494,535,501
49,590,596,577
50,535,529,501
51,529,500,501
52,131,126,143
53,110,106,137
54,106,133,137
55,78,81,54
56,87,101,54
57,81,87,54
58,97,87,81
59,68,55,51
60,41,55,54
61,55,41,51
62,63,53,66
63,270,287,286
64,87,102,101
65,102,87,97
66,195,177,157
67,177,160,157
68,103,125,124
69,125,103,114
70,15,20,10
71,20,15,23
72,21,15,10
73,15,21,23
74,29,35,34
75,35,29,42
76,53,48,64
77,48,36,37
78,36,48,42
79,48,53,42
80,70,59,77
81,86,112,111
82,23,28,37
83,21,28,23
84,4,1,0
85,1,2,0
86,2,1,4
87,8,9,12
88,2,3,0
89,3,8,0
90,3,9,8
91,3,2,5
92,9,3,5
93,482,525,513
94,742,771,764
95,742,716,720
96,432,409,448
97,432,379,409
98,360,388,354
99,158,172,143
100,321,363,328
101,257,240,278
102,267,244,268
103,300,267,268
104,240,267,278
105,267,240,244
106,261,291,283
107,266,261,283
108,252,261,228
109,139,158,143
110,126,139,143
111,139,126,158
112,96,112,85
113,77,96,85
114,126,96,158
115,96,560,158
116,647,648,710
117,648,722,710
118,1015,964,1000
119,1026,1015,1000
120,1102,1065,1107
121,682,720,681
122,721,682,683
123,747,721,725
124,684,721,683
125,721,684,725
126,722,731,710
127,756,731,722
128,1172,1173,1190
129,1182,1186,1170
130,398,366,412
131,366,398,372
132,403,397,424
133,397,403,381
134,371,397,381
135,469,424,451
136,653,660,635
137,649,699,667
138,634,607,635
139,435,470,479
140,435,479,451
141,425,435,451
142,435,425,412
143,499,531,523
144,470,499,523
145,882,848,883
146,654,590,623
147,590,654,596
148,640,659,628
149,691,659,640
150,784,659,757
151,659,691,757
152,659,784,830
153,659,594,628
154,594,659,554
155,659,951,1006
156,951,659,830
157,691,737,757
158,670,691,640
159,660,670,634
160,670,660,692
161,347,370,351
162,326,351,350
163,282,266,283
164,282,283,299
165,418,370,408
166,370,418,351
167,375,358,350
168,581,637,575
169,465,494,501
170,439,465,438
171,664,665,706
172,665,664,631
173,590,591,623
174,529,528,500
175,534,528,577
176,532,492,533
177,581,532,533
178,532,581,575
179,112,122,111
180,122,116,111
181,133,153,137
182,153,133,154
183,133,107,116
184,106,107,133
185,93,97,81
186,78,93,81
187,67,68,79
188,67,55,68
189,55,67,54
190,78,67,79
