CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       1496    24      -4      -1      86.6880279    40.1727170    0.000   0.183   17.846  0.234   1      -0.800  -0.200  1492    23      86.6904793    40.2973931    357600.0000000  -30200.0000000  357400.0000000  -29400.0000000  
1       1456    32      -4      -2      86.6786896    41.4633895    0.000   0.154   16.210  0.207   1      -0.800  -0.400  1452    30      86.6828196    41.5867367    359200.0000000  -22200.0000000  358800.0000000  -21400.0000000  
2       1504    56      -4      -1      86.6279493    40.0071660    0.000   0.206   21.585  0.514   3      -0.800  -0.200  1500    55      86.6304216    40.1294974    364000.0000000  -31800.0000000  363800.0000000  -31000.0000000  
3       1536    64      -4      -1      86.6076221    39.0350501    0.000   0.226   24.404  0.401   3      -0.800  -0.200  1532    63      86.6102161    39.1559229    365600.0000000  -38200.0000000  365400.0000000  -37400.0000000  
4       1424    72      -4      -2      86.6080878    42.5361785    0.000   0.163   16.929  0.264   1      -0.800  -0.400  1420    70      86.6120834    42.6582386    367200.0000000  -15800.0000000  366800.0000000  -15000.0000000  
5       1464    80      -4      -2      86.5893883    41.3076159    0.000   0.240   23.473  0.450   3      -0.800  -0.400  1460    78      86.5935377    41.4275387    368800.0000000  -23800.0000000  368400.0000000  -23000.0000000  
6       1504    88      -4      -1      86.5691392    40.0930104    0.000   0.208   21.943  0.480   3      -0.800  -0.200  1500    87      86.5716007    40.2133037    370400.0000000  -31800.0000000  370200.0000000  -31000.0000000  
7       1576    104     -4      -1      86.5259450    37.9504970    0.000   0.184   19.386  0.344   2      -0.800  -0.200  1572    103     86.5286740    38.0676944    373600.0000000  -46200.0000000  373400.0000000  -45400.0000000  
8       1400    128     -5      -2      86.5064464    43.3348939    0.000   0.334   35.430  0.583   3      -1.000  -0.400  1395    126     86.5103902    43.4845921    378400.0000000  -11000.0000000  378000.0000000  -10000.0000000  
9       1488    128     -5      -2      86.4979666    40.6777229    0.000   0.219   22.142  0.442   3      -1.000  -0.400  1483    126     86.5023290    40.8239095    378400.0000000  -28600.0000000  378000.0000000  -27600.0000000  
10      1520    128     -4      -1      86.4930236    39.7154792    0.000   0.230   24.800  0.506   3      -0.800  -0.200  1516    127     86.4955326    39.8328912    378400.0000000  -35000.0000000  378200.0000000  -34200.0000000  
11      1560    136     -4      -1      86.4707969    38.5439925    0.000   0.170   16.960  0.388   2      -0.800  -0.200  1556    135     86.4734522    38.6598083    380000.0000000  -43000.0000000  379800.0000000  -42200.0000000  
12      1368    152     -5      -2      86.4633959    44.3122444    0.000   0.224   23.242  0.401   3      -1.000  -0.400  1363    150     86.4671836    44.4611841    383200.0000000  -4600.0000000  382800.0000000  -3600.0000000  
13      1400    160     -5      -2      86.4474443    43.3625728    0.000   0.245   25.148  0.394   2      -1.000  -0.400  1395    158     86.4513838    43.5098111    384800.0000000  -11000.0000000  384400.0000000  -10000.0000000  
14      1432    160     -5      -2      86.4452677    42.4109462    0.000   0.273   28.109  0.380   2      -1.000  -0.400  1427    158     86.4493581    42.5570206    384800.0000000  -17400.0000000  384400.0000000  -16400.0000000  
15      1464    160     -4      -2      86.4421124    41.4607467    0.000   0.227   22.732  0.491   3      -0.800  -0.400  1460    158     86.4462428    41.5758749    384800.0000000  -23800.0000000  384400.0000000  -23000.0000000  
16      1528    160     -5      -2      86.4328772    39.5666947    0.000   0.232   23.828  0.488   3      -1.000  -0.400  1523    158     86.4374120    39.7088241    384800.0000000  -36600.0000000  384400.0000000  -35600.0000000  
17      1328    168     -5      -2      86.4339997    45.5041424    0.000   0.255   26.579  0.420   3      -1.000  -0.400  1323    166     86.4375955    45.6530842    386400.0000000  3400.0000000  386000.0000000  4400.0000000  
18      1496    168     -5      -2      86.4232699    40.5309987    0.000   0.183   19.170  0.388   2      -1.000  -0.400  1491    166     86.4276552    40.6739474    386400.0000000  -30200.0000000  386000.0000000  -29200.0000000  
19      1632    168     -4      -1      86.3950325    36.5504617    0.000   0.266   25.693  0.500   3      -0.800  -0.200  1628    167     86.3979342    36.6623052    386400.0000000  -57400.0000000  386200.0000000  -56600.0000000  
20      1368    184     -5      -2      86.4043748    44.3235412    0.000   0.296   29.585  0.526   3      -1.000  -0.400  1363    182     86.4081607    44.4700439    389600.0000000  -4600.0000000  389200.0000000  -3600.0000000  
21      1568    192     -5      -1      86.3664980    38.4958953    0.000   0.163   14.041  0.360   2      -1.000  -0.200  1563    191     86.3693642    38.6372927    391200.0000000  -44600.0000000  391000.0000000  -43600.0000000  
22      1432    200     -5      -2      86.3715608    42.4636068    0.000   0.294   29.407  0.482   3      -1.000  -0.400  1427    198     86.3756430    42.6067680    392800.0000000  -17400.0000000  392400.0000000  -16400.0000000  
23      1464    200     -5      -2      86.3684698    41.5326515    0.000   0.238   24.667  0.482   3      -1.000  -0.400  1459    198     86.3726986    41.6746263    392800.0000000  -23800.0000000  392400.0000000  -22800.0000000  
24      1496    200     -5      -2      86.3644223    40.6035255    0.000   0.251   26.032  0.445   3      -1.000  -0.400  1491    198     86.3687965    40.7442434    392800.0000000  -30200.0000000  392400.0000000  -29200.0000000  
25      1632    216     -5      -1      86.3074365    36.7524469    0.000   0.203   20.630  0.408   3      -1.000  -0.200  1627    215     86.3105741    36.8901650    396000.0000000  -57400.0000000  395800.0000000  -56400.0000000  
26      1320    224     -5      -2      86.3305563    45.7204824    0.000   0.267   28.818  0.481   3      -1.000  -0.400  1315    222     86.3341172    45.8654293    397600.0000000  5000.0000000  397200.0000000  6000.0000000  
27      1552    224     -4      -2      86.3110225    39.0555129    0.000   0.145   16.798  0.401   2      -0.800  -0.400  1548    222     86.3154490    39.1637522    397600.0000000  -41400.0000000  397200.0000000  -40600.0000000  
28      1600    224     -4      -2      86.3008048    37.6906053    0.000   0.191   18.958  0.415   3      -0.800  -0.400  1596    222     86.3053960    37.7968805    397600.0000000  -51000.0000000  397200.0000000  -50200.0000000  
29      1464    232     -5      -2      86.3095537    41.5881079    0.000   0.267   27.284  0.407   3      -1.000  -0.400  1459    230     86.3137739    41.7278755    399200.0000000  -23800.0000000  398800.0000000  -22800.0000000  
30      1496    232     -5      -2      86.3055710    40.6737403    0.000   0.269   27.161  0.541   3      -1.000  -0.400  1491    230     86.3099342    40.8122955    399200.0000000  -30200.0000000  398800.0000000  -29200.0000000  
31      1264    240     -5      -2      86.2983173    47.3145875    0.000   0.216   21.849  0.273   1      -1.000  -0.400  1259    238     86.3016189    47.4597450    400800.0000000  16200.0000000  400400.0000000  17200.0000000  
32      1352    240     -5      -2      86.3013128    44.7998659    0.000   0.324   33.239  0.537   3      -1.000  -0.400  1347    238     86.3050224    44.9427615    400800.0000000  -1400.0000000  400400.0000000  -400.0000000  
33      1424    240     -5      -2      86.2984645    42.7425030    0.000   0.294   31.195  0.545   3      -1.000  -0.400  1419    238     86.3025026    42.8831377    400800.0000000  -15800.0000000  400400.0000000  -14800.0000000  
34      1536    256     -5      -2      86.2552075    39.5984881    0.000   0.219   22.433  0.406   3      -1.000  -0.400  1531    254     86.2597375    39.7339002    404000.0000000  -38200.0000000  403600.0000000  -37200.0000000  
35      1600    256     -5      -2      86.2422567    37.8051746    0.000   0.125   13.548  0.349   2      -1.000  -0.400  1595    254     86.2470613    37.9378923    404000.0000000  -51000.0000000  403600.0000000  -50000.0000000  
36      1672    256     -5      -1      86.2233251    35.8046603    0.000   0.199   18.975  0.330   2      -1.000  -0.200  1667    255     86.2266090    35.9385021    404000.0000000  -65400.0000000  403800.0000000  -64400.0000000  
37      1232    264     -5      -2      86.2512682    48.1892185    0.000   0.206   21.131  0.394   2      -1.000  -0.400  1227    262     86.2544263    48.3333034    405600.0000000  22600.0000000  405200.0000000  23600.0000000  
38      1632    264     -5      -2      86.2198008    36.9450630    0.000   0.186   18.883  0.433   3      -1.000  -0.400  1627    262     86.2247354    37.0758827    405600.0000000  -57400.0000000  405200.0000000  -56400.0000000  
39      1416    272     -5      -2      86.2400326    43.0027738    0.000   0.237   23.881  0.479   3      -1.000  -0.400  1411    270     86.2440295    43.1414970    407200.0000000  -14200.0000000  406800.0000000  -13200.0000000  
40      1304    288     -5      -2      86.2120504    46.1446464    0.000   0.280   29.347  0.484   3      -1.000  -0.400  1299    286     86.2155427    46.2854457    410400.0000000  8200.0000000  410000.0000000  9200.0000000  
41      1344    288     -5      -2      86.2128053    45.0279219    0.000   0.281   29.559  0.562   3      -1.000  -0.400  1339    286     86.2164782    45.1676945    410400.0000000  200.0000000   410000.0000000  1200.0000000  
42      1520    288     -5      -2      86.1990680    40.1254589    0.000   0.190   19.445  0.352   2      -1.000  -0.400  1515    286     86.2035165    40.2594894    410400.0000000  -35000.0000000  410000.0000000  -34000.0000000  
43      1600    288     -5      -2      86.1836960    37.9162259    0.000   0.231   23.607  0.453   3      -1.000  -0.400  1595    286     86.1884837    38.0470425    410400.0000000  -51000.0000000  410000.0000000  -50000.0000000  
44      1680    288     -5      -1      86.1627046    35.7279533    0.000   0.202   21.164  0.349   2      -1.000  -0.200  1675    287     86.1660005    35.8596118    410400.0000000  -67000.0000000  410200.0000000  -66000.0000000  
45      1240    296     -5      -2      86.1931192    47.9178908    0.000   0.316   35.488  0.475   3      -1.000  -0.400  1235    294     86.1963219    48.0595452    412000.0000000  21000.0000000  411600.0000000  22000.0000000  
46      1384    296     -5      -2      86.1973704    43.9154036    0.000   0.296   29.936  0.523   3      -1.000  -0.400  1379    294     86.2012219    44.0535086    412000.0000000  -7800.0000000  411600.0000000  -6800.0000000  
47      1632    296     -5      -2      86.1613566    37.0685835    0.000   0.180   18.527  0.420   3      -1.000  -0.400  1627    294     86.1662726    37.1975660    412000.0000000  -57400.0000000  411600.0000000  -56400.0000000  
48      1208    304     -5      -2      86.1749367    48.7901686    0.000   0.351   39.010  0.551   3      -1.000  -0.400  1203    302     86.1779960    48.9318612    413600.0000000  27400.0000000  413200.0000000  28400.0000000  
49      1272    312     -5      -2      86.1661762    47.0139062    0.000   0.306   31.835  0.427   3      -1.000  -0.400  1267    310     86.1695270    47.1537925    415200.0000000  14600.0000000  414800.0000000  15600.0000000  
