CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       1720    536     0       0       73.1289407    -22.7048730   0.000   0.106   10.421  0.319   2      0.000   0.000   1720    536     73.1289407    -22.7048730   698200.0000000  -1702800.0000000  698200.0000000  -1702800.0000000  
1       1728    568     0       0       73.0935396    -22.5397689   0.000   0.144   12.257  0.227   1      0.000   0.000   1728    568     73.0935396    -22.5397689   704600.0000000  -1704400.0000000  704600.0000000  -1704400.0000000  
2       1744    616     0       0       73.0335152    -22.3029857   0.000   0.281   28.525  0.571   3      0.000   0.000   1744    616     73.0335152    -22.3029857   714200.0000000  -1707600.0000000  714200.0000000  -1707600.0000000  
3       1152    648     1       -1      73.9926825    -20.6087642   0.000   0.124   12.242  0.286   1      0.200   -0.200  1153    647     73.9917804    -20.6174566   720600.0000000  -1589200.0000000  720400.0000000  -1589400.0000000  
4       1744    656     0       0       73.0054837    -22.0749053   0.000   0.224   22.363  0.419   3      0.000   0.000   1744    656     73.0054837    -22.0749053   722200.0000000  -1707600.0000000  722200.0000000  -1707600.0000000  
5       1088    688     -1      1       74.0679570    -20.1939819   0.000   0.140   13.364  0.346   2      -0.200  0.200   1087    689     74.0688415    -20.1852234   728600.0000000  -1576400.0000000  728800.0000000  -1576200.0000000  
6       1000    696     0       0       74.2064500    -19.8998576   0.000   0.147   13.791  0.263   1      0.000   0.000   1000    696     74.2064500    -19.8998576   730200.0000000  -1558800.0000000  730200.0000000  -1558800.0000000  
7       1056    696     0       1       74.1144718    -20.0570716   0.000   0.201   20.080  0.438   3      0.000   0.200   1056    697     74.1137074    -20.0510711   730200.0000000  -1570000.0000000  730400.0000000  -1570000.0000000  
8       1672    704     -1      1       73.0910476    -21.6260289   0.000   0.200   20.390  0.549   3      -0.200  0.200   1671    705     73.0919897    -21.6178613   731800.0000000  -1693200.0000000  732000.0000000  -1693000.0000000  
9       1728    712     -1      1       72.9923660    -21.7178845   0.000   0.168   15.633  0.297   1      -0.200  0.200   1727    713     72.9933117    -21.7097701   733400.0000000  -1704400.0000000  733600.0000000  -1704200.0000000  
10      1096    720     -1      2       74.0304006    -20.0248629   0.000   0.167   17.031  0.385   2      -0.200  0.400   1095    722     74.0305125    -20.0101490   735000.0000000  -1578000.0000000  735400.0000000  -1577800.0000000  
11      1504    720     0       0       73.3578033    -21.1125105   0.000   0.164   15.739  0.398   2      0.000   0.000   1504    720     73.3578033    -21.1125105   735000.0000000  -1659600.0000000  735000.0000000  -1659600.0000000  
12      1000    728     0       0       74.1817550    -19.7072524   0.000   0.232   25.960  0.463   3      0.000   0.000   1000    728     74.1817550    -19.7072524   736600.0000000  -1558800.0000000  736600.0000000  -1558800.0000000  
13      1032    736     0       1       74.1231143    -19.7498875   0.000   0.232   24.278  0.471   3      0.000   0.200   1032    737     74.1223411    -19.7438988   738200.0000000  -1565200.0000000  738400.0000000  -1565200.0000000  
14      1680    736     -1      1       73.0547537    -21.4636181   0.000   0.109   9.829   0.232   1      -0.200  0.200   1679    737     73.0556890    -21.4554591   738200.0000000  -1694800.0000000  738400.0000000  -1694600.0000000  
15      1792    736     0       0       72.8689806    -21.7378146   0.000   0.082   7.102   0.218   1      0.000   0.000   1792    736     72.8689806    -21.7378146   738200.0000000  -1717200.0000000  738200.0000000  -1717200.0000000  
16      1760    744     17      10      72.9163560    -21.6149315   0.000   0.163   12.582  0.341   2      3.400   2.000   1777    754     72.8809870    -21.6000163   739800.0000000  -1710800.0000000  741800.0000000  -1714200.0000000  
17      1072    752     -1      1       74.0451806    -19.7669632   0.000   0.157   14.920  0.398   2      -0.200  0.200   1071    753     74.0460472    -19.7581935   741400.0000000  -1573200.0000000  741600.0000000  -1573000.0000000  
