CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       832     136     0       0       75.3857459    -105.2452943  0.000   0.348   36.302  0.482   3      0.000   0.000   832     136     75.3857459    -105.2452943  -1381600.0000000  -789800.0000000  -1381600.0000000  -789800.0000000  
1       792     144     0       0       75.4343449    -105.4675035  0.000   0.442   49.529  0.786   3      0.000   0.000   792     144     75.4343449    -105.4675035  -1380000.0000000  -781800.0000000  -1380000.0000000  -781800.0000000  
2       816     176     0       0       75.4632982    -105.2021402  0.000   0.459   52.370  0.812   3      0.000   0.000   816     176     75.4632982    -105.2021402  -1373600.0000000  -786600.0000000  -1373600.0000000  -786600.0000000  
3       784     184     0       0       75.5047630    -105.3748900  0.000   0.415   47.942  0.723   3      0.000   0.000   784     184     75.5047630    -105.3748900  -1372000.0000000  -780200.0000000  -1372000.0000000  -780200.0000000  
4       832     216     0       0       75.5118161    -104.9568936  0.000   0.294   31.106  0.367   2      0.000   0.000   832     216     75.5118161    -104.9568936  -1365600.0000000  -789800.0000000  -1365600.0000000  -789800.0000000  
5       776     224     0       0       75.5751537    -105.2813630  0.000   0.394   42.983  0.654   3      0.000   0.000   776     224     75.5751537    -105.2813630  -1364000.0000000  -778600.0000000  -1364000.0000000  -778600.0000000  
6       832     248     0       0       75.5621506    -104.8401095  0.000   0.273   30.032  0.291   1      0.000   0.000   832     248     75.5621506    -104.8401095  -1359200.0000000  -789800.0000000  -1359200.0000000  -789800.0000000  
7       768     256     0       0       75.6328917    -105.2160468  0.000   0.459   52.266  0.724   3      0.000   0.000   768     256     75.6328917    -105.2160468  -1357600.0000000  -777000.0000000  -1357600.0000000  -777000.0000000  
8       800     256     0       0       75.6038970    -105.0130023  0.000   0.438   48.912  0.675   3      0.000   0.000   800     256     75.6038970    -105.0130023  -1357600.0000000  -783400.0000000  -1357600.0000000  -783400.0000000  
9       432     288     0       0       75.9779760    -107.2865676  0.000   0.471   54.181  0.728   3      0.000   0.000   432     288     75.9779760    -107.2865676  -1351200.0000000  -709800.0000000  -1351200.0000000  -709800.0000000  
10      752     296     0       0       75.7104792    -105.1719781  0.000   0.439   48.953  0.691   3      0.000   0.000   752     296     75.7104792    -105.1719781  -1349600.0000000  -773800.0000000  -1349600.0000000  -773800.0000000  
11      400     304     0       0       76.0307859    -107.4439928  0.000   0.459   52.205  0.632   3      0.000   0.000   400     304     76.0307859    -107.4439928  -1348000.0000000  -703400.0000000  -1348000.0000000  -703400.0000000  
