CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       72      72      -14     -2      82.7945104    95.0348572    0.000   0.113   11.650  0.156   1      -2.800  -0.400  58      70      82.7771119    95.1888106    502000.0000000  599000.0000000  501600.0000000  601800.0000000  
1       232     96      -14     -4      82.9881726    93.2087904    0.000   0.163   16.504  0.242   1      -2.800  -0.800  218     92      82.9738378    93.3939341    506800.0000000  567000.0000000  506000.0000000  569800.0000000  
2       64      104     -14     -2      82.7453418    94.7525248    0.000   0.191   18.475  0.352   2      -2.800  -0.400  50      102     82.7280398    94.9061109    508400.0000000  600600.0000000  508000.0000000  603400.0000000  
3       96      112     -14     -3      82.7805883    94.3606108    0.000   0.252   26.055  0.486   3      -2.800  -0.600  82      109     82.7646125    94.5269899    510000.0000000  594200.0000000  509400.0000000  597000.0000000  
4       144     112     -14     -3      82.8473502    93.8988360    0.000   0.228   23.060  0.438   3      -2.800  -0.600  130     109     82.8315421    94.0677968    510000.0000000  584600.0000000  509400.0000000  587400.0000000  
5       264     120     -13     -5      83.0022676    92.6166211    0.000   0.130   12.853  0.239   1      -2.600  -1.000  251     115     82.9907653    92.8043872    511600.0000000  560600.0000000  510600.0000000  563200.0000000  
6       392     120     -13     -3      83.1743668    91.2808121    0.000   0.117   10.766  0.288   1      -2.600  -0.600  379     117     83.1608633    91.4531194    511600.0000000  535000.0000000  511000.0000000  537600.0000000  
7       176     128     -14     -3      82.8720968    93.4083120    0.000   0.150   16.127  0.338   2      -2.800  -0.600  162     125     82.8564688    93.5789438    513200.0000000  578200.0000000  512600.0000000  581000.0000000  
8       64      136     -13     -3      82.7071794    94.3987054    0.000   0.130   13.469  0.311   2      -2.600  -0.600  51      133     82.6925909    94.5539483    514800.0000000  600600.0000000  514200.0000000  603200.0000000  
9       336     136     -13     -5      83.0793746    91.6951579    0.000   0.179   18.727  0.438   3      -2.600  -1.000  323     131     83.0682404    91.8865307    514800.0000000  546200.0000000  513800.0000000  548800.0000000  
10      296     144     -13     -5      83.0156141    92.0221195    0.000   0.227   23.962  0.465   3      -2.600  -1.000  283     139     83.0043496    92.2112176    516400.0000000  554200.0000000  515400.0000000  556800.0000000  
11      432     144     -13     -4      83.1965352    90.5820533    0.000   0.299   31.980  0.471   3      -2.600  -0.800  419     140     83.1845658    90.7674062    516400.0000000  527000.0000000  515600.0000000  529600.0000000  
12      256     152     -13     -4      82.9516350    92.3431415    0.000   0.174   17.678  0.376   2      -2.600  -0.800  243     148     82.9390008    92.5189665    518000.0000000  562200.0000000  517200.0000000  564800.0000000  
13      504     152     -13     -5      83.2800666    89.6997920    0.000   0.270   27.324  0.456   3      -2.600  -1.000  491     147     83.2697389    89.9000850    518000.0000000  512600.0000000  517000.0000000  515200.0000000  
14      536     152     -13     -4      83.3213555    89.3399138    0.000   0.143   13.977  0.369   2      -2.600  -0.800  523     148     83.3098629    89.5309222    518000.0000000  506200.0000000  517200.0000000  508800.0000000  
