CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       584     760     0       0       80.5107925    46.9580674    0.000   0.383   47.532  0.706   3      0.000   0.000   584     760     80.5107925    46.9580674    1029600.0000000  35200.0000000  1029600.0000000  35200.0000000  
1       296     792     0       0       80.4195828    50.1186251    0.000   0.211   21.567  0.375   2      0.000   0.000   296     792     80.4195828    50.1186251    1036000.0000000  92800.0000000  1036000.0000000  92800.0000000  
2       264     808     0       0       80.3849598    50.4528207    0.000   0.268   27.654  0.511   3      0.000   0.000   264     808     80.3849598    50.4528207    1039200.0000000  99200.0000000  1039200.0000000  99200.0000000  
3       232     824     0       0       80.3500151    50.7845962    0.000   0.275   28.170  0.607   3      0.000   0.000   232     824     80.3500151    50.7845962    1042400.0000000  105600.0000000  1042400.0000000  105600.0000000  
4       312     840     0       0       80.3344584    49.8978491    0.000   0.183   19.524  0.425   3      0.000   0.000   312     840     80.3344584    49.8978491    1045600.0000000  89600.0000000  1045600.0000000  89600.0000000  
5       280     848     0       0       80.3146632    50.2378378    0.000   0.192   20.839  0.406   3      0.000   0.000   280     848     80.3146632    50.2378378    1047200.0000000  96000.0000000  1047200.0000000  96000.0000000  
6       248     856     0       0       80.2945305    50.5764214    0.000   0.336   35.006  0.577   3      0.000   0.000   248     856     80.2945305    50.5764214    1048800.0000000  102400.0000000  1048800.0000000  102400.0000000  
7       368     856     0       0       80.3134246    49.2750288    0.000   0.302   34.649  0.576   3      0.000   0.000   368     856     80.3134246    49.2750288    1048800.0000000  78400.0000000  1048800.0000000  78400.0000000  
8       168     864     0       0       80.2645997    51.4311754    0.000   0.207   21.035  0.401   3      0.000   0.000   168     864     80.2645997    51.4311754    1050400.0000000  118400.0000000  1050400.0000000  118400.0000000  
9       344     888     0       0       80.2515538    49.5083082    0.000   0.275   29.139  0.464   3      0.000   0.000   344     888     80.2515538    49.5083082    1055200.0000001  83200.0000000  1055200.0000001  83200.0000000  
10      128     896     0       0       80.1978602    51.8205386    0.000   0.186   18.055  0.259   1      0.000   0.000   128     896     80.1978602    51.8205386    1056800.0000001  126400.0000000  1056800.0000001  126400.0000000  
11      224     896     0       0       80.2171938    50.7921743    0.000   0.245   24.502  0.459   3      0.000   0.000   224     896     80.2171938    50.7921743    1056800.0000001  107200.0000000  1056800.0000001  107200.0000000  
12      88      912     0       0       80.1597814    52.2261139    0.000   0.178   17.864  0.289   1      0.000   0.000   88      912     80.1597814    52.2261139    1060000.0000001  134400.0000000  1060000.0000001  134400.0000000  
13      200     928     0       0       80.1543146    51.0134943    0.000   0.167   17.277  0.257   1      0.000   0.000   200     928     80.1543146    51.0134943    1063200.0000001  112000.0000000  1063200.0000001  112000.0000000  
14      232     928     0       0       80.1602865    50.6721740    0.000   0.228   24.650  0.403   3      0.000   0.000   232     928     80.1602865    50.6721740    1063200.0000001  105600.0000000  1063200.0000001  105600.0000000  
15      168     944     0       0       80.1188447    51.3354741    0.000   0.219   22.250  0.334   2      0.000   0.000   168     944     80.1188447    51.3354741    1066400.0000001  118400.0000000  1066400.0000001  118400.0000000  
16      80      960     0       0       80.0706462    52.2462938    0.000   0.273   27.805  0.450   3      0.000   0.000   80      960     80.0706462    52.2462938    1069600.0000001  136000.0000000  1069600.0000001  136000.0000000  
17      128     968     0       0       80.0667954    51.7296976    0.000   0.135   13.050  0.233   1      0.000   0.000   128     968     80.0667954    51.7296976    1071200.0000001  126400.0000000  1071200.0000001  126400.0000000  
18      256     968     0       0       80.0915367    50.3757074    0.000   0.350   37.930  0.657   3      0.000   0.000   256     968     80.0915367    50.3757074    1071200.0000001  100800.0000000  1071200.0000001  100800.0000000  
19      392     976     0       0       80.0971318    48.9246569    0.000   0.169   18.049  0.398   2      0.000   0.000   392     976     80.0971318    48.9246569    1072800.0000001  73600.0000000  1072800.0000001  73600.0000000  
20      88      992     0       0       80.0142870    52.1197733    0.000   0.199   19.746  0.361   2      0.000   0.000   88      992     80.0142870    52.1197733    1076000.0000001  134400.0000000  1076000.0000001  134400.0000000  
21      128     1000    0       0       80.0085446    51.6900924    0.000   0.166   17.171  0.277   1      0.000   0.000   128     1000    80.0085446    51.6900924    1077600.0000001  126400.0000000  1077600.0000001  126400.0000000  
22      344     1000    1       -1      80.0468587    49.4149687    0.000   0.234   24.051  0.528   3      0.200   -0.200  345     999     80.0488271    49.4052120    1077600.0000001  83200.0000000  1077400.0000001  83000.0000000  
23      304     1016    0       0       80.0117236    49.8233028    0.000   0.172   18.017  0.311   2      0.000   0.000   304     1016    80.0117236    49.8233028    1080800.0000001  91200.0000000  1080800.0000001  91200.0000000  
24      264     1104    -3      9       79.8446874    50.1605639    354.375  0.080   7.255   0.153   1      -0.600  1.800   261     1113    79.8277679    50.1831595    1098400.0000001  99200.0000000  1100200.0000001  99800.0000000  
25      384     1120    7       26      79.8328383    48.9052001    354.375  0.122   11.240  0.280   1      1.400   5.200   391     1146    79.7861706    48.8147620    1101600.0000001  75200.0000000  1106800.0000001  73800.0000000  
26      432     1136    5       31      79.8091823    48.3980768    354.375  0.190   18.173  0.376   2      1.000   6.200   437     1167    79.7530193    48.3277628    1104800.0000001  65600.0000000  1111000.0000001  64600.0000000  
27      496     1184    9       39      79.7276120    47.7126315    354.375  0.143   11.121  0.335   2      1.800   7.800   505     1223    79.6570070    47.6020990    1114400.0000001  52800.0000000  1122200.0000001  51000.0000000  
28      392     1192    9       30      79.7022001    48.7731824    0.000   0.171   15.810  0.373   2      1.800   6.000   401     1222    79.6484275    48.6615287    1116000.0000001  73600.0000000  1122000.0000001  71800.0000000  
29      784     1200    12      87      79.7096564    44.7539209    0.000   0.120   11.141  0.233   1      2.400   17.400  796     1287    79.5501769    44.6365427    1117600.0000001  -4800.0000000  1135000.0000001  -7200.0000000  
