CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       832     240     -3      -22     80.8657397    67.9239128    0.000   0.146   14.821  0.288   1      -0.600  -4.400  829     218     80.9007544    68.0553894    913200.0000000  386200.0000000  908800.0000000  386800.0000000  
1       768     248     -4      -22     80.8059039    68.5649480    0.000   0.218   22.685  0.506   3      -0.800  -4.400  764     226     80.8399426    68.7085656    914800.0000000  399000.0000000  910400.0000000  399800.0000000  
2       736     256     -4      -22     80.7688510    68.8637953    0.000   0.193   19.417  0.416   3      -0.800  -4.400  732     234     80.8027680    69.0079396    916400.0000000  405400.0000000  912000.0000000  406200.0000000  
3       800     256     -3      -23     80.8157283    68.1910442    0.000   0.161   14.826  0.392   2      -0.600  -4.600  797     233     80.8523281    68.3273925    916400.0000000  392600.0000000  911800.0000000  393200.0000000  
4       472     280     -12     -30     80.5230784    71.4455087    0.000   0.126   12.036  0.346   2      -2.400  -6.000  460     250     80.5624404    71.7151053    921200.0000000  458200.0000000  915200.0000000  460600.0000000  
5       712     288     -4      -23     80.6973313    68.9659454    0.000   0.218   20.728  0.363   2      -0.800  -4.600  708     265     80.7328786    69.1140005    922800.0000000  410200.0000000  918200.0000000  411000.0000000  
6       744     288     -4      -23     80.7210225    68.6332862    0.000   0.157   15.389  0.356   2      -0.800  -4.600  740     265     80.7567092    68.7804363    922800.0000000  403800.0000000  918200.0000000  404600.0000000  
7       816     288     -2      -25     80.7731820    67.8786064    0.000   0.177   18.297  0.316   2      -0.400  -5.000  814     263     80.8139930    68.0114783    922800.0000000  389400.0000000  917800.0000000  389800.0000000  
8       904     288     -2      -23     80.8347451    66.9447128    0.000   0.224   22.369  0.355   2      -0.400  -4.600  902     265     80.8725002    67.0655820    922800.0000000  371800.0000000  918200.0000000  372200.0000000  
9       616     296     -5      -27     80.6111009    69.9156943    0.000   0.178   17.818  0.373   2      -1.000  -5.400  611     269     80.6521111    70.0953444    924400.0000000  429400.0000000  919000.0000000  430400.0000000  
10      680     304     -4      -25     80.6465702    69.2225996    0.000   0.145   12.979  0.357   2      -0.800  -5.000  676     279     80.6853496    69.3801782    926000.0000000  416600.0000000  921000.0000000  417400.0000000  
11      776     304     -3      -23     80.7174328    68.2269614    0.000   0.184   16.944  0.272   1      -0.600  -4.600  773     281     80.7540145    68.3619968    926000.0000000  397400.0000000  921400.0000000  398000.0000000  
12      544     312     -6      -30     80.5282340    70.5682700    0.000   0.231   24.624  0.508   3      -1.200  -6.000  538     282     80.5730621    70.7738478    927600.0000000  443800.0000000  921600.0000000  445000.0000000  
13      576     312     -6      -29     80.5534168    70.2457271    0.000   0.225   23.543  0.478   3      -1.200  -5.800  570     283     80.5967797    70.4454882    927600.0000000  437400.0000000  921800.0000000  438600.0000000  
14      648     320     -4      -28     80.5956277    69.4764664    0.000   0.173   15.822  0.344   2      -0.800  -5.600  644     292     80.6392930    69.6483384    929200.0000000  423000.0000000  923600.0000000  423800.0000000  
15      888     320     -3      -24     80.7693109    66.9776710    0.000   0.205   21.581  0.472   3      -0.600  -4.800  885     296     80.8080612    67.1127733    929200.0000000  375000.0000000  924400.0000000  375600.0000000  
16      288     328     -11     -44     80.2904144    73.0040722    0.000   0.173   17.648  0.397   2      -2.200  -8.800  277     284     80.3520161    73.3363193    930800.0000000  495000.0000000  922000.0000000  497200.0000000  
17      344     328     -11     -42     80.3382003    72.4639647    0.000   0.091   9.543   0.244   1      -2.200  -8.400  333     286     80.3970863    72.7841355    930800.0000000  483800.0000000  922400.0000000  486000.0000000  
18      616     328     -5      -28     80.5578334    69.7649906    0.000   0.163   14.238  0.349   2      -1.000  -5.600  611     300     80.6005809    69.9476941    930800.0000000  429400.0000000  925200.0000000  430400.0000000  
19      744     328     -3      -26     80.6537476    68.4521822    0.000   0.133   12.470  0.218   1      -0.600  -5.200  741     302     80.6952840    68.6007955    930800.0000000  403800.0000000  925600.0000000  404400.0000000  
20      856     328     -3      -25     80.7335973    67.2816132    0.000   0.241   24.528  0.461   3      -0.600  -5.000  853     303     80.7739265    67.4218328    930800.0000000  381400.0000000  925800.0000000  382000.0000000  
21      256     336     -11     -45     80.2498112    73.2692323    0.000   0.162   16.080  0.332   2      -2.200  -9.000  245     291     80.3127598    73.6069817    932400.0000000  501400.0000000  923400.0000000  503600.0000000  
22      704     336     -3      -26     80.6108792    68.8289353    0.000   0.143   13.504  0.390   2      -0.600  -5.200  701     310     80.6522537    68.9785408    932400.0000000  411800.0000000  927200.0000000  412400.0000000  
23      128     352     -13     -48     80.1109512    74.3914696    0.000   0.180   19.611  0.392   2      -2.600  -9.600  115     304     80.1757129    74.7661997    935600.0000000  527000.0000000  926000.0000000  529600.0000000  
24      384     352     -8      -37     80.3325999    71.9556427    0.000   0.157   14.274  0.315   2      -1.600  -7.400  376     315     80.3863269    72.2180642    935600.0000000  475800.0000000  928200.0000000  477400.0000000  
25      816     352     -3      -25     80.6648891    67.5972497    0.000   0.235   25.361  0.436   3      -0.600  -5.000  813     327     80.7050897    67.7378005    935600.0000000  389400.0000000  930600.0000000  390000.0000000  
26      64      360     -12     -48     80.0401458    74.9406939    0.000   0.239   26.445  0.510   3      -2.400  -9.600  52      312     80.1052076    75.3071054    937200.0000001  539800.0000000  927600.0000000  542200.0000000  
27      744     360     -3      -27     80.5998660    68.3091744    0.000   0.150   14.541  0.363   2      -0.600  -5.400  741     333     80.6431425    68.4607814    937200.0000000  403800.0000000  931800.0000000  404400.0000000  
28      464     368     -8      -33     80.3718634    71.0944196    0.000   0.230   23.877  0.367   2      -1.600  -6.600  456     335     80.4196755    71.3334847    938800.0000000  459800.0000000  932200.0000000  461400.0000000  
29      536     368     -7      -31     80.4292021    70.3813206    0.000   0.186   18.964  0.402   3      -1.400  -6.200  529     337     80.4749967    70.5986483    938800.0000000  445400.0000000  932600.0000000  446800.0000000  
30      688     368     -4      -28     80.5453276    68.8480019    0.000   0.151   12.730  0.234   1      -0.800  -5.600  684     340     80.5892954    69.0160151    938800.0000000  415000.0000000  933200.0000000  415800.0000000  
31      776     368     -4      -26     80.6094252    67.9432489    0.000   0.181   19.820  0.290   1      -0.800  -5.200  772     342     80.6504524    68.0992655    938800.0000000  397400.0000000  933600.0000000  398200.0000000  
32      144     384     -13     -48     80.0740882    74.0762894    0.000   0.263   26.634  0.491   3      -2.600  -9.600  131     336     80.1392003    74.4475332    942000.0000000  523800.0000000  932400.0000000  526400.0000000  
33      208     384     -12     -47     80.1305656    73.4781864    0.000   0.109   10.622  0.198   1      -2.400  -9.400  196     337     80.1956250    73.8329581    942000.0000000  511000.0000000  932600.0000000  513400.0000000  
34      384     384     -9      -37     80.2802627    71.7981372    354.375  0.161   16.397  0.394   3      -1.800  -7.400  375     347     80.3332729    72.0679755    942000.0000000  475800.0000000  934600.0000000  477600.0000000  
35      808     384     -4      -26     80.6050501    67.5420821    0.000   0.185   18.974  0.401   3      -0.800  -5.200  804     358     80.6462544    67.6962558    942000.0000000  391000.0000000  936800.0000000  391800.0000000  
36      840     384     -4      -25     80.6273963    67.2092241    0.000   0.256   26.343  0.448   3      -0.800  -5.000  836     359     80.6670507    67.3579880    942000.0000000  384600.0000000  937000.0000000  385400.0000000  
37      96      392     -13     -48     80.0182719    74.4786901    0.000   0.202   21.195  0.485   3      -2.600  -9.600  83      344     80.0829288    74.8504712    943600.0000001  533400.0000000  934000.0000000  536000.0000000  
38      240     392     -12     -46     80.1454711    73.1361111    0.000   0.136   11.448  0.206   1      -2.400  -9.200  228     346     80.2092822    73.4840000    943600.0000000  504600.0000000  934400.0000000  507000.0000000  
39      872     392     -4      -25     80.6358059    66.8411808    0.000   0.213   19.636  0.379   2      -0.800  -5.000  868     367     80.6756156    66.9885057    943600.0000000  378200.0000000  938600.0000000  379000.0000000  
40      488     400     -9      -32     80.3383009    70.7052149    0.000   0.213   21.030  0.466   3      -1.800  -6.400  479     368     80.3839304    70.9465635    945200.0000000  455000.0000000  938800.0000000  456800.0000000  
41      768     400     -4      -27     80.5496459    67.8862072    0.000   0.192   20.134  0.417   3      -0.800  -5.400  764     373     80.5923833    68.0453700    945200.0000000  399000.0000000  939800.0000000  399800.0000000  
42      904     400     -4      -24     80.6438303    66.4724882    0.000   0.163   15.728  0.289   1      -0.800  -4.800  900     376     80.6820883    66.6141828    945200.0000000  371800.0000000  940400.0000000  372600.0000000  
43      272     408     -4      -49     80.1470501    72.7530533    0.000   0.233   23.655  0.493   3      -0.800  -9.800  268     359     80.2230124    73.0375640    946800.0000000  498200.0000000  937000.0000000  499000.0000000  
44      552     408     -5      -32     80.3753303    70.0347804    0.000   0.239   23.761  0.460   3      -1.000  -6.400  547     376     80.4245624    70.2339774    946800.0000000  442200.0000000  940400.0000000  443200.0000000  
45      656     408     -5      -29     80.4544673    68.9928018    0.000   0.221   21.764  0.487   3      -1.000  -5.800  651     379     80.4992826    69.1745567    946800.0000000  421400.0000000  941000.0000000  422400.0000000  
46      696     408     -4      -29     80.4840604    68.5874600    0.000   0.199   19.013  0.430   3      -0.800  -5.800  692     379     80.5298286    68.7576559    946800.0000000  413400.0000000  941000.0000000  414200.0000000  
47      208     416     -5      -49     80.0789654    73.3158846    0.000   0.154   14.336  0.281   1      -1.000  -9.800  203     367     80.1535614    73.6121704    948400.0000001  511000.0000000  938600.0000000  512000.0000000  
48      328     416     -9      -39     80.1813884    72.1803358    0.000   0.200   19.844  0.277   1      -1.800  -7.800  319     377     80.2373410    72.4594696    948400.0000000  487000.0000000  940600.0000000  488800.0000000  
49      800     416     -5      -26     80.5452075    67.4876157    0.000   0.208   21.024  0.462   3      -1.000  -5.200  795     390     80.5857262    67.6509140    948400.0000000  392600.0000000  943200.0000000  393600.0000000  
50      832     416     -5      -26     80.5675011    67.1567501    0.000   0.216   22.114  0.430   3      -1.000  -5.200  827     390     80.6081752    67.3190026    948400.0000000  386200.0000000  943200.0000000  387200.0000000  
51      88      424     -12     -48     79.9599880    74.3863800    0.000   0.158   15.522  0.420   3      -2.400  -9.600  76      376     80.0256539    74.7461936    950000.0000001  535000.0000000  940400.0000001  537400.0000000  
52      360     424     -9      -39     80.1949619    71.8346084    0.000   0.198   19.642  0.307   2      -1.800  -7.800  351     385     80.2512016    72.1121381    950000.0000000  480600.0000000  942200.0000000  482400.0000000  
53      392     424     -9      -36     80.2213044    71.5264389    0.000   0.170   16.118  0.390   2      -1.800  -7.200  383     388     80.2728895    71.7882552    950000.0000000  474200.0000000  942800.0000000  476000.0000000  
54      456     424     -9      -34     80.2731407    70.9051137    0.000   0.157   16.376  0.376   2      -1.800  -6.800  447     390     80.3219168    71.1553846    950000.0000000  461400.0000000  943200.0000000  463200.0000000  
55      752     432     -5      -28     80.4841598    67.9116698    0.000   0.199   19.719  0.360   2      -1.000  -5.600  747     404     80.5278504    68.0844615    951600.0000000  402200.0000000  946000.0000000  403200.0000000  
56      160     440     -5      -49     79.9983474    73.6416151    0.000   0.196   18.267  0.328   2      -1.000  -9.800  155     391     80.0726441    73.9379333    953200.0000001  520600.0000000  943400.0000001  521600.0000000  
57      640     440     -5      -30     80.3889213    69.0104343    0.000   0.190   18.868  0.436   3      -1.000  -6.000  635     410     80.4353964    69.1955431    953200.0000000  424600.0000000  947200.0000000  425600.0000000  
58      792     448     -5      -27     80.4853614    67.4338376    0.000   0.221   21.353  0.402   3      -1.000  -5.400  787     421     80.5275955    67.6001503    954800.0000000  394200.0000000  949400.0000000  395200.0000000  
59      848     448     -5      -26     80.5240797    66.8572573    0.000   0.257   26.831  0.494   3      -1.000  -5.200  843     422     80.5648900    67.0174622    954800.0000000  383000.0000000  949600.0000000  384000.0000000  
60      96      456     -12     -49     79.9159978    74.1491263    0.000   0.174   15.807  0.368   2      -2.400  -9.800  84      407     79.9835145    74.5109796    956400.0000001  533400.0000000  946600.0000001  535800.0000000  
61      200     456     -4      -49     80.0074424    73.1898936    0.000   0.188   19.044  0.333   2      -0.800  -9.800  196     407     80.0830177    73.4737280    956400.0000001  512600.0000000  946600.0000000  513400.0000000  
62      368     456     -10     -37     80.1491558    71.6033793    0.000   0.191   19.175  0.414   3      -2.000  -7.400  358     419     80.2014833    71.8781398    956400.0000000  479000.0000000  949000.0000000  481000.0000000  
63      408     456     -11     -35     80.1817736    71.2189445    0.000   0.104   11.610  0.263   1      -2.200  -7.000  397     421     80.2303179    71.4925861    956400.0000000  471000.0000000  949400.0000000  473200.0000000  
64      480     456     -6      -35     80.2393704    70.5205237    0.000   0.219   17.801  0.430   3      -1.200  -7.000  474     421     80.2924689    70.7433315    956400.0000000  456600.0000000  949400.0000000  457800.0000000  
65      336     464     -10     -39     80.1096676    71.8704476    0.000   0.202   20.658  0.406   3      -2.000  -7.800  326     425     80.1650353    72.1553126    958000.0000001  485400.0000000  950200.0000000  487400.0000000  
66      512     464     -7      -33     80.2512301    70.1705853    0.000   0.168   16.737  0.368   2      -1.400  -6.600  505     431     80.3004600    70.3922382    958000.0000000  450200.0000000  951400.0000000  451600.0000000  
