CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       864     360     94      105     73.9996964    -79.5355927   0.000   0.127   12.095  0.230   1      9.400   10.500  958     465     73.9652241    -78.6191569   -988800.0000000  -1436800.0000000  -967800.0000000  -1455600.0000000  
1       1688    368     1       1       72.7582586    -76.6490001   0.000   0.120   11.631  0.304   2      0.100   0.100   1689    369     72.7576685    -76.6406196   -987200.0000000  -1601600.0000000  -987000.0000000  -1601800.0000000  
2       1728    368     3       3       72.6967117    -76.5216254   0.000   0.149   15.474  0.407   3      0.300   0.300   1731    371     72.6949240    -76.4965896   -987200.0000000  -1609600.0000000  -986600.0000000  -1610200.0000000  
3       1064    376     0       0       73.7160738    -78.7187083   0.000   0.259   28.100  0.418   3      0.000   0.000   1064    376     73.7160738    -78.7187083   -985600.0000000  -1476800.0000000  -985600.0000000  -1476800.0000000  
4       896     384     95      103     73.9764377    -79.2868770   0.000   0.125   12.342  0.285   1      9.500   10.300  991     487     73.9373676    -78.3796965   -984000.0000000  -1443200.0000000  -963400.0000000  -1462200.0000000  
5       928     384     99      94      73.9285043    -79.1689725   5.625   0.103   9.685   0.241   1      9.900   9.400   1027    478     73.8739259    -78.2995808   -984000.0000000  -1449600.0000000  -965200.0000000  -1469400.0000000  
6       1712    400     3       3       72.7515314    -76.4064764   0.000   0.240   25.223  0.573   3      0.300   0.300   1715    403     72.7497285    -76.3813721   -980800.0000000  -1606400.0000000  -980200.0000000  -1607000.0000000  
7       1752    400     3       3       72.6898262    -76.2800287   0.000   0.254   25.282  0.520   3      0.300   0.300   1755    403     72.6880072    -76.2550285   -980800.0000000  -1614400.0000000  -980200.0000000  -1615000.0000000  
8       1080    408     0       0       73.7240125    -78.4894830   0.000   0.275   28.901  0.400   2      0.000   0.000   1080    408     73.7240125    -78.4894830   -979200.0000000  -1480000.0000000  -979200.0000000  -1480000.0000000  
9       912     416     102     92      73.9850169    -79.0541690   0.000   0.212   21.471  0.449   3      10.200  9.200   1014    508     73.9234108    -78.1823003   -977600.0000000  -1446400.0000000  -959200.0000000  -1466800.0000000  
10      1792    416     2       2       72.6429782    -76.0716581   0.000   0.197   18.800  0.564   3      0.200   0.200   1794    418     72.6417480    -76.0550512   -977600.0000000  -1622400.0000000  -977200.0000000  -1622800.0000000  
11      960     448     106     86      73.9451367    -78.7045949   5.625   0.128   12.309  0.296   2      10.600  8.600   1066    534     73.8700925    -77.8550377   -971200.0000000  -1456000.0000000  -954000.0000000  -1477200.0000000  
12      760     456     97      109     74.2535696    -79.4012276   0.000   0.120   10.835  0.385   2      9.700   10.900  857     565     74.2179108    -78.4369323   -969600.0000000  -1416000.0000000  -947800.0000000  -1435400.0000000  
13      800     472     97      104     74.2099902    -79.1628430   5.625   0.090   9.797   0.337   2      9.700   10.400  897     576     74.1682877    -78.2296041   -966400.0000000  -1424000.0000000  -945600.0000000  -1443400.0000000  
14      1008    472     108     80      73.8967002    -78.4004048   5.625   0.181   17.564  0.373   2      10.800  8.000   1116    552     73.8115212    -77.5807443   -966400.0000000  -1465600.0000000  -950400.0000000  -1487200.0000000  
15      728     480     98      107     74.3260269    -79.3896694   0.000   0.120   13.121  0.275   1      9.800   10.700  826     587     74.2867883    -78.4283855   -964800.0000000  -1409600.0000000  -943400.0000000  -1429200.0000000  
16      872     480     102     90      74.1099152    -78.8515464   0.000   0.203   20.564  0.470   3      10.200  9.000   974     570     74.0454529    -77.9846432   -964800.0000000  -1438400.0000000  -946800.0000000  -1458800.0000000  
17      1840    480     0       0       72.6277801    -75.5905804   0.000   0.188   18.707  0.318   2      0.000   0.000   1840    480     72.6277801    -75.5905804   -964800.0000000  -1632000.0000000  -964800.0000000  -1632000.0000000  
18      760     488     97      108     74.2862747    -79.2245553   0.000   0.213   20.293  0.455   3      9.700   10.800  857     596     74.2488071    -78.2642496   -963200.0000000  -1416000.0000000  -941600.0000000  -1435400.0000000  
19      840     488     102     91      74.1661467    -78.9257907   0.000   0.124   11.271  0.258   1      10.200  9.100   942     579     74.1029657    -78.0499281   -963200.0000000  -1432000.0000000  -945000.0000000  -1452400.0000000  
20      1872    496     0       0       72.5926563    -75.4092719   0.000   0.147   13.709  0.308   2      0.000   0.000   1872    496     72.5926563    -75.4092719   -961600.0000000  -1638400.0000000  -961600.0000000  -1638400.0000000  
21      1704    504     0       0       72.8610847    -75.8880908   0.000   0.101   8.906   0.223   1      0.000   0.000   1704    504     72.8610847    -75.8880908   -960000.0000000  -1604800.0000000  -960000.0000000  -1604800.0000000  
22      696     512     99      109     74.4066834    -79.3334770   0.000   0.144   17.037  0.328   2      9.900   10.900  795     621     74.3676510    -78.3523900   -958400.0000000  -1403200.0000000  -936600.0000000  -1423000.0000000  
23      1624    520     0       0       72.9999251    -76.0570030   0.000   0.314   32.187  0.653   3      0.000   0.000   1624    520     72.9999251    -76.0570030   -956800.0000000  -1588800.0000000  -956800.0000000  -1588800.0000000  
