CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       984     64      -16     73      80.1184422    -157.3487668  0.000   0.201   20.584  0.366   2      -3.200  14.600  968     137     80.2307514    -157.8085012  -992400.0000001  408000.0000000  -977800.0000000  411200.0000000  
1       1040    96      -17     74      80.2114646    -156.9215346  0.000   0.222   22.728  0.484   3      -3.400  14.800  1023    170     80.3253682    -157.3949694  -986000.0000000  396800.0000000  -971200.0000000  400200.0000000  
2       952     120     -17     72      80.1906388    -157.8962782  0.000   0.199   19.632  0.363   2      -3.400  14.400  935     192     80.2997872    -158.3714559  -981200.0000000  414400.0000000  -966800.0000000  417800.0000000  
3       1120    136     -18     81      80.3336498    -156.2742497  0.000   0.169   18.297  0.361   2      -3.600  16.200  1102    217     80.4597141    -156.7849741  -978000.0000000  380800.0000000  -961800.0000000  384400.0000000  
4       992     144     -18     73      80.2595743    -157.5981948  0.000   0.181   18.465  0.377   2      -3.600  14.600  974     217     80.3701191    -158.0877782  -976400.0000000  406400.0000000  -961800.0000000  410000.0000000  
5       1056    144     -18     74      80.3040585    -156.9550279  0.000   0.266   26.838  0.547   3      -3.600  14.800  1038    218     80.4172269    -157.4436386  -976400.0000000  393600.0000000  -961600.0000000  397200.0000000  
6       1088    144     -18     80      80.3258425    -156.6312365  0.000   0.134   12.093  0.311   2      -3.600  16.000  1070    224     80.4496701    -157.1420853  -976400.0000000  387200.0000000  -960400.0000000  390800.0000000  
7       936     152     -18     71      80.2331433    -158.1900774  0.000   0.264   26.904  0.480   3      -3.600  14.200  918     223     80.3394645    -158.6762953  -974800.0000000  417600.0000000  -960600.0000000  421200.0000000  
8       1152    152     -18     81      80.3821797    -156.0107233  0.000   0.172   17.551  0.364   2      -3.600  16.200  1134    233     80.5086440    -156.5205602  -974800.0000000  374400.0000000  -958600.0000000  378000.0000000  
9       1008    176     -19     73      80.3250157    -157.5711954  0.000   0.205   18.304  0.457   3      -3.800  14.600  989     249     80.4348888    -158.0739843  -970000.0000000  403200.0000000  -955400.0000000  407000.0000000  
10      1064    176     -18     74      80.3639617    -157.0048015  0.000   0.170   17.961  0.365   2      -3.600  14.800  1046    250     80.4770658    -157.4970921  -970000.0000000  392000.0000000  -955200.0000000  395600.0000000  
11      1200    176     -16     79      80.4545963    -155.6104006  0.000   0.197   18.952  0.429   3      -3.200  15.800  1184    255     80.5795612    -156.0898007  -970000.0000000  364800.0000000  -954200.0000000  368000.0000000  
12      920     184     -18     71      80.2753925    -158.4864493  0.000   0.173   18.241  0.425   3      -3.600  14.200  902     255     80.3812903    -158.9780866  -968400.0000000  420800.0000000  -954200.0000000  424400.0000000  
13      1136    184     -18     80      80.4263182    -156.3018806  0.000   0.154   15.464  0.423   3      -3.600  16.000  1118    264     80.5506509    -156.8138552  -968400.0000000  377600.0000000  -952400.0000000  381200.0000000  
14      1168    184     -17     79      80.4474806    -155.9724617  0.000   0.176   16.101  0.272   1      -3.400  15.800  1151    263     80.5712683    -156.4667150  -968400.0000000  371200.0000000  -952600.0000000  374600.0000000  
15      976     192     -19     71      80.3293625    -157.9607073  0.000   0.119   11.148  0.241   1      -3.800  14.200  957     263     80.4352943    -158.4594061  -966800.0000000  409600.0000000  -952600.0000000  413400.0000000  
16      1232    192     -16     79      80.5026171    -155.3401204  0.000   0.231   23.390  0.407   3      -3.200  15.800  1216    271     80.6279624    -155.8183722  -966800.0000000  358400.0000000  -951000.0000000  361600.0000000  
17      1096    200     -20     80      80.4266795    -156.7768419  0.000   0.126   12.174  0.453   3      -4.000  16.000  1076    280     80.5489095    -157.3157428  -965200.0000000  385600.0000000  -949200.0000000  389600.0000000  
18      896     224     -19     70      80.3248705    -158.9004638  0.000   0.296   33.053  0.612   3      -3.800  14.000  877     294     80.4277430    -159.4047155  -960400.0000000  425600.0000000  -946400.0000000  429400.0000000  
19      1056    224     -19     74      80.4399632    -157.2852527  0.000   0.187   19.656  0.419   3      -3.800  14.800  1037    298     80.5519610    -157.7951781  -960400.0000000  393600.0000000  -945600.0000000  397400.0000000  
20      1176    224     -17     78      80.5212262    -156.0487038  0.000   0.272   28.496  0.493   3      -3.400  15.600  1159    302     80.6432082    -156.5437373  -960400.0000000  369600.0000000  -944800.0000000  373000.0000000  
21      1256    224     -16     79      80.5729296    -155.2126940  0.000   0.254   26.116  0.472   3      -3.200  15.800  1240    303     80.6984599    -155.6928556  -960400.0000000  353600.0000000  -944600.0000000  356800.0000000  
22      992     232     -19     72      80.4083472    -157.9702987  0.000   0.282   28.262  0.543   3      -3.800  14.400  973     304     80.5159560    -158.4777092  -958800.0000000  406400.0000000  -944400.0000000  410200.0000000  
23      1024    232     -19     73      80.4310959    -157.6453192  0.000   0.227   23.637  0.539   3      -3.800  14.600  1005    305     80.5408717    -158.1546341  -958800.0000000  400000.0000000  -944200.0000000  403800.0000000  
24      1088    232     -19     79      80.4756694    -156.9907347  0.000   0.144   13.239  0.233   1      -3.800  15.800  1069    311     80.5965784    -157.5205656  -958800.0000000  387200.0000000  -943000.0000000  391000.0000000  
25      1128    232     -17     77      80.5028960    -156.5785180  0.000   0.143   12.864  0.240   2      -3.400  15.400  1111    309     80.6224164    -157.0752298  -958800.0000000  379200.0000000  -943400.0000000  382600.0000000  
26      1224    232     -17     78      80.5662274    -155.5796173  0.000   0.194   17.894  0.398   2      -3.400  15.600  1207    310     80.6888789    -156.0708826  -958800.0000000  360000.0000000  -943200.0000000  363400.0000000  
27      1312    240     -15     79      80.6355650    -154.6826372  0.000   0.169   16.990  0.355   2      -3.000  15.800  1297    319     80.7624585    -155.1481054  -957200.0000000  342400.0000000  -941400.0000000  345400.0000000  
28      1344    256     -16     79      80.6828633    -154.4023278  0.000   0.145   13.543  0.259   1      -3.200  15.800  1328    335     80.8095088    -154.8771215  -954000.0000000  336000.0000000  -938200.0000000  339200.0000000  
