CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       1464    112     -39     -53     73.8960757    -134.8433475  0.000   0.163   16.023  0.437   3      -2.600  -3.533  1425    59      73.8001162    -135.0973203  -1755600.0000000  -4800.0000000  -1766200.0000000  3000.0000000  
1       1408    120     -40     -54     73.9105213    -135.2090601  0.000   0.176   17.082  0.499   3      -2.667  -3.600  1368    66      73.8122847    -135.4674983  -1754000.0000000  6400.0000000  -1764800.0000000  14400.0000000  
2       1360    136     -41     -56     73.9389500    -135.5235932  0.000   0.287   32.757  0.559   3      -2.733  -3.733  1319    80      73.8366678    -135.7868733  -1750800.0000000  16000.0000000  -1762000.0000000  24200.0000000  
3       1408    152     -41     -55     73.9684932    -135.2098257  0.000   0.352   37.846  0.677   3      -2.733  -3.667  1367    97      73.8684154    -135.4756620  -1747600.0000000  6400.0000000  -1758600.0000000  14600.0000000  
4       1280    160     -42     -54     73.9804375    -136.0499769  0.000   0.143   15.447  0.373   2      -2.800  -3.600  1238    106     73.8810599    -136.3173620  -1746000.0000000  32000.0000000  -1756800.0000000  40400.0000000  
5       1448    160     -41     -54     73.9830871    -134.9474953  0.000   0.300   31.671  0.607   3      -2.733  -3.600  1407    106     73.8851543    -135.2152495  -1746000.0000000  -1600.0000000  -1756800.0000000  6600.0000000  
6       1488    160     -40     -52     73.9828547    -134.6849748  0.000   0.226   23.323  0.487   3      -2.667  -3.467  1448    108     73.8888828    -134.9478062  -1746000.0000000  -9600.0000000  -1756400.0000000  -1600.0000000  
7       1320    168     -42     -54     73.9960929    -135.7882435  0.000   0.184   18.231  0.449   3      -2.800  -3.600  1278    114     73.8970498    -136.0575276  -1744400.0000000  24000.0000000  -1755200.0000000  32400.0000000  
8       1200    184     -44     -56     74.0205867    -136.5790840  0.000   0.104   13.663  0.263   1      -2.933  -3.733  1156    128     73.9167837    -136.8564605  -1741200.0000000  48000.0000000  -1752400.0000000  56800.0000000  
9       1352    184     -42     -56     74.0257739    -135.5791244  0.000   0.302   31.323  0.592   3      -2.800  -3.733  1310    128     73.9233724    -135.8500234  -1741200.0000000  17600.0000000  -1752400.0000000  26000.0000000  
10      1432    192     -42     -54     74.0410694    -135.0526979  0.000   0.334   36.922  0.601   3      -2.800  -3.600  1390    138     73.9429768    -135.3273261  -1739600.0000000  1600.0000000  -1750400.0000000  10000.0000000  
11      1496    192     -42     -52     74.0407494    -134.6311199  0.000   0.150   14.093  0.392   2      -2.800  -3.467  1454    140     73.9468385    -134.9083268  -1739600.0000000  -11200.0000000  -1750000.0000000  -2800.0000000  
12      1288    200     -43     -55     74.0531641    -136.0020795  0.000   0.288   28.833  0.605   3      -2.867  -3.667  1245    145     73.9519789    -136.2773957  -1738000.0000000  30400.0000000  -1749000.0000000  39000.0000000  
13      1208    216     -44     -56     74.0789463    -136.5321020  0.000   0.217   22.344  0.587   3      -2.933  -3.733  1164    160     73.9751910    -136.8108098  -1734800.0000000  46400.0000000  -1746000.0000000  55200.0000000  
14      1160    224     -45     -56     74.0908706    -136.8505930  0.000   0.269   27.587  0.542   3      -3.000  -3.733  1115    168     73.9866214    -137.1339735  -1733200.0000000  56000.0000000  -1744400.0000000  65000.0000000  
15      1432    224     -43     -54     74.0990596    -135.0528925  0.000   0.330   36.654  0.689   3      -2.867  -3.600  1389    170     74.0009421    -135.3350976  -1733200.0000000  1600.0000000  -1744000.0000000  10200.0000000  
16      1496    224     -42     -56     74.0987384    -134.6297578  0.000   0.209   18.346  0.285   1      -2.800  -3.733  1454    168     73.9975682    -134.9080325  -1733200.0000000  -11200.0000000  -1744400.0000000  -2800.0000000  
17      1464    232     -43     -54     74.1135048    -134.8411763  0.000   0.274   27.854  0.500   3      -2.867  -3.600  1421    178     74.0156703    -135.1249562  -1731600.0000000  -4800.0000000  -1742400.0000000  3800.0000000  
18      1296    240     -44     -55     74.1258921    -135.9537376  0.000   0.229   22.341  0.484   3      -2.933  -3.667  1252    185     74.0247136    -136.2372122  -1730000.0000000  28800.0000000  -1741000.0000000  37600.0000000  
19      1376    240     -43     -55     74.1276352    -135.4239148  0.000   0.200   20.313  0.437   3      -2.867  -3.667  1333    185     74.0272002    -135.7042320  -1730000.0000000  12800.0000000  -1741000.0000000  21400.0000000  
20      1192    248     -45     -56     74.1361158    -136.6437693  0.000   0.401   41.941  0.621   3      -3.000  -3.733  1147    192     74.0321361    -136.9293306  -1728400.0000000  49600.0000000  -1739600.0000000  58600.0000000  
21      1224    248     -45     -56     74.1376723    -136.4317649  0.000   0.274   26.833  0.566   3      -3.000  -3.733  1179    192     74.0339818    -136.7187529  -1728400.0000000  43200.0000000  -1739600.0000000  52200.0000000  
22      1408    256     -44     -55     74.1569569    -135.2123531  0.000   0.223   22.631  0.520   3      -2.933  -3.667  1364    201     74.0567827    -135.5011357  -1726800.0000000  6400.0000000  -1737800.0000000  15200.0000000  
23      1504    256     -42     -56     74.1566345    -134.5752997  0.000   0.343   39.560  0.672   3      -2.800  -3.733  1462    200     74.0555224    -134.8549477  -1726800.0000000  -12800.0000000  -1738000.0000000  -4400.0000000  
24      1472    264     -42     -56     74.1714576    -134.7874500  0.000   0.247   23.182  0.530   3      -2.800  -3.733  1430    208     74.0700597    -135.0659937  -1725200.0000000  -6400.0000000  -1736400.0000000  2000.0000000  
25      1032    272     -45     -59     74.1685698    -137.7105171  0.000   0.215   23.248  0.470   3      -3.000  -3.933  987     213     74.0577169    -137.9885267  -1723600.0000000  81600.0000000  -1735400.0000000  90600.0000000  
26      1536    272     -42     -56     74.1850972    -134.3617815  0.000   0.220   22.050  0.484   3      -2.800  -3.733  1494    216     74.0842634    -134.6433096  -1723600.0000000  -19200.0000000  -1734800.0000000  -10800.0000000  
27      1080    280     -46     -57     74.1869313    -137.3942478  0.000   0.298   31.604  0.532   3      -3.067  -3.800  1034    223     74.0800298    -137.6820230  -1722000.0000000  72000.0000000  -1733400.0000000  81200.0000000  
28      1128    280     -46     -57     74.1903242    -137.0753153  0.000   0.388   40.611  0.702   3      -3.067  -3.800  1082    223     74.0838600    -137.3653208  -1722000.0000000  62400.0000000  -1733400.0000000  71600.0000000  
