CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       88      32      1       1       84.3786101    -16.3490221   0.000   0.350   38.047  0.588   3      0.200   0.200   89      33      84.3761105    -16.3415401   292200.0000000  -534800.0000000  292400.0000000  -535000.0000000  
1       120     32      1       1       84.3268142    -16.6348882   0.000   0.335   35.261  0.573   3      0.200   0.200   121     33      84.3243183    -16.6273486   292200.0000000  -541200.0000000  292400.0000000  -541400.0000000  
2       152     32      1       1       84.2748820    -16.9155669   0.000   0.369   39.918  0.594   3      0.200   0.200   153     33      84.2723899    -16.9079734   292200.0000000  -547600.0000000  292400.0000000  -547800.0000000  
3       248     32      1       1       84.1183053    -17.7277287   0.000   0.315   33.421  0.491   3      0.200   0.200   249     33      84.1158245    -17.7199937   292200.0000000  -566800.0000000  292400.0000000  -567000.0000000  
4       296     40      1       1       84.0329243    -17.9913570   0.000   0.336   36.197  0.544   3      0.200   0.200   297     41      84.0304474    -17.9836232   293800.0000000  -576400.0000000  294000.0000000  -576600.0000000  
5       328     40      1       1       83.9803660    -18.2465024   0.000   0.313   32.974  0.486   3      0.200   0.200   329     41      83.9778928    -18.2387312   293800.0000000  -582800.0000000  294000.0000000  -583000.0000000  
6       360     40      1       1       83.9276931    -18.4972184   0.000   0.274   28.421  0.512   3      0.200   0.200   361     41      83.9252236    -18.4894125   293800.0000000  -589200.0000000  294000.0000000  -589400.0000000  
7       392     40      1       1       83.8749085    -18.7436100   0.000   0.210   21.190  0.392   2      0.200   0.200   393     41      83.8724427    -18.7357720   293800.0000000  -595600.0000000  294000.0000000  -595800.0000000  
8       424     40      1       0       83.8220153    -18.9857792   0.000   0.212   21.596  0.444   3      0.200   0.000   425     40      83.8203607    -18.9932801   293800.0000000  -602000.0000000  293800.0000000  -602200.0000000  
9       464     40      1       0       83.7557504    -19.2827040   0.000   0.203   20.200  0.309   2      0.200   0.000   465     40      83.7540918    -19.2900462   293800.0000000  -610000.0000000  293800.0000000  -610200.0000000  
10      496     40      1       0       83.7026232    -19.5157314   0.000   0.233   24.710  0.491   3      0.200   0.000   497     40      83.7009614    -19.5229501   293800.0000000  -616400.0000000  293800.0000000  -616600.0000000  
11      536     40      1       1       83.6360744    -19.8015279   0.000   0.150   15.946  0.466   3      0.200   0.200   537     41      83.6336250    -19.7935754   293800.0000000  -624400.0000000  294000.0000000  -624600.0000000  
12      576     40      1       2       83.5693750    -20.0813907   0.000   0.264   27.392  0.542   3      0.200   0.400   577     42      83.5661541    -20.0585192   293800.0000000  -632400.0000000  294200.0000000  -632600.0000000  
13      608     48      1       2       83.5097437    -20.1827837   0.000   0.252   26.171  0.429   3      0.200   0.400   609     50      83.5065276    -20.1600722   295400.0000000  -638800.0000000  295800.0000000  -639000.0000000  
14      648     48      1       2       83.4428488    -20.4533480   0.000   0.249   26.128  0.462   3      0.200   0.400   649     50      83.4396450    -20.4307359   295400.0000000  -646800.0000000  295800.0000000  -647000.0000000  
15      680     48      1       2       83.3892328    -20.6658451   0.000   0.250   26.585  0.490   3      0.200   0.400   681     50      83.3860387    -20.6433137   295400.0000000  -653200.0000000  295800.0000000  -653400.0000000  
16      760     48      1       1       83.2548191    -21.1822533   0.000   0.333   35.450  0.572   3      0.200   0.200   761     49      83.2523925    -21.1742511   295400.0000000  -669200.0000000  295600.0000000  -669400.0000000  
17      800     48      1       1       83.1874200    -21.4327893   0.000   0.378   41.118  0.695   3      0.200   0.200   801     49      83.1849978    -21.4247771   295400.0000000  -677200.0000000  295600.0000000  -677400.0000000  
18      840     48      0       0       83.1198981    -21.6784011   0.000   0.257   25.773  0.494   3      0.000   0.000   840     48      83.1198981    -21.6784011   295400.0000000  -685200.0000000  295400.0000000  -685200.0000000  
19      888     48      0       0       83.0387148    -21.9668252   0.000   0.327   34.117  0.490   3      0.000   0.000   888     48      83.0387148    -21.9668252   295400.0000000  -694800.0000000  295400.0000000  -694800.0000000  
20      920     48      0       0       82.9845006    -22.1553878   0.000   0.398   45.194  0.640   3      0.000   0.000   920     48      82.9845006    -22.1553878   295400.0000000  -701200.0000000  295400.0000000  -701200.0000000  
