CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       600     240     3       -4      75.2490234    -20.3269908   0.000   0.125   13.173  0.331   2      0.600   -0.800  603     236     75.2471013    -20.3618470   670600.0000000  -1459800.0000000  669800.0000000  -1460400.0000000  
1       648     312     0       0       75.1149454    -20.0061649   0.000   0.157   16.251  0.269   1      0.000   0.000   648     312     75.1149454    -20.0061649   685000.0000000  -1469400.0000000  685000.0000000  -1469400.0000000  
2       640     360     0       0       75.0910308    -19.6753060   0.000   0.227   22.266  0.201   1      0.000   0.000   640     360     75.0910308    -19.6753060   694600.0000000  -1467800.0000000  694600.0000000  -1467800.0000000  
3       480     368     0       0       75.3469295    -19.1318809   0.000   0.362   39.238  0.614   3      0.000   0.000   480     368     75.3469295    -19.1318809   696200.0000000  -1435800.0000000  696200.0000000  -1435800.0000000  
4       440     376     0       0       75.4059327    -18.9541343   0.000   0.271   27.829  0.500   3      0.000   0.000   440     376     75.4059327    -18.9541343   697800.0000000  -1427800.0000000  697800.0000000  -1427800.0000000  
5       512     384     0       0       75.2819171    -19.1287697   0.000   0.344   36.522  0.470   3      0.000   0.000   512     384     75.2819171    -19.1287697   699400.0000000  -1442200.0000000  699400.0000000  -1442200.0000000  
6       600     384     0       0       75.1378909    -19.4006055   0.000   0.287   29.988  0.413   3      0.000   0.000   600     384     75.1378909    -19.4006055   699400.0000000  -1459800.0000000  699400.0000000  -1459800.0000000  
7       408     408     0       0       75.4324416    -18.6449409   0.000   0.191   19.263  0.378   2      0.000   0.000   408     408     75.4324416    -18.6449409   704200.0000000  -1421400.0000000  704200.0000000  -1421400.0000000  
8       696     424     0       0       74.9492570    -19.4383899   0.000   0.232   23.054  0.398   2      0.000   0.000   696     424     74.9492570    -19.4383899   707400.0000000  -1479000.0000000  707400.0000000  -1479000.0000000  
9       768     432     0       0       74.8250002    -19.6037086   0.000   0.219   21.806  0.383   2      0.000   0.000   768     432     74.8250002    -19.6037086   709000.0000000  -1493400.0000000  709000.0000000  -1493400.0000000  
10      400     440     0       0       75.4195307    -18.4123546   0.000   0.236   24.425  0.348   2      0.000   0.000   400     440     75.4195307    -18.4123546   710600.0000000  -1419800.0000000  710600.0000000  -1419800.0000000  
11      824     448     0       1       74.7207110    -19.6695407   0.000   0.097   14.071  0.236   1      0.000   0.200   824     449     74.7199344    -19.6633191   712200.0000000  -1504600.0000000  712400.0000000  -1504600.0000000  
12      352     456     0       0       75.4843942    -18.1528656   0.000   0.182   18.647  0.289   1      0.000   0.000   352     456     75.4843942    -18.1528656   713800.0000000  -1410200.0000000  713800.0000000  -1410200.0000000  
13      720     456     0       0       74.8848374    -19.3095543   0.000   0.252   25.271  0.436   3      0.000   0.000   720     456     74.8848374    -19.3095543   713800.0000000  -1483800.0000000  713800.0000000  -1483800.0000000  
14      760     464     0       1       74.8130912    -19.3797246   0.000   0.179   17.628  0.386   2      0.000   0.200   760     465     74.8123061    -19.3734798   715400.0000000  -1491800.0000000  715600.0000000  -1491800.0000000  
15      792     480     0       1       74.7481591    -19.3756564   0.000   0.230   25.213  0.370   2      0.000   0.200   792     481     74.7473741    -19.3694386   718600.0000000  -1498200.0000000  718800.0000000  -1498200.0000000  
16      352     496     0       0       75.4514089    -17.8947133   0.000   0.295   30.539  0.392   2      0.000   0.000   352     496     75.4514089    -17.8947133   721800.0000000  -1410200.0000000  721800.0000000  -1410200.0000000  
17      664     496     0       0       74.9445776    -18.8880557   0.000   0.140   13.520  0.291   1      0.000   0.000   664     496     74.9445776    -18.8880557   721800.0000000  -1472600.0000000  721800.0000000  -1472600.0000000  
18      736     496     0       0       74.8270877    -19.1077457   0.000   0.203   20.018  0.262   1      0.000   0.000   736     496     74.8270877    -19.1077457   721800.0000000  -1487000.0000000  721800.0000000  -1487000.0000000  
