CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       2616    1592    0       0       69.9057727    -142.1385932  0.000   0.502   59.349  0.816   3      0.000   0.000   2616    1592    69.9057727    -142.1385932  -2181400.0000000  273200.0000000  -2181400.0000000  273200.0000000  
1       2648    1592    0       0       69.9128175    -141.9730299  0.000   0.435   49.939  0.719   3      0.000   0.000   2648    1592    69.9128175    -141.9730299  -2181400.0000000  266800.0000000  -2181400.0000000  266800.0000000  
2       2616    1632    0       0       69.9769114    -142.1645969  0.000   0.402   44.345  0.621   3      0.000   0.000   2616    1632    69.9769114    -142.1645969  -2173400.0000000  273200.0000000  -2173400.0000000  273200.0000000  
3       2560    1672    0       0       70.0352396    -142.4823050  0.000   0.421   46.718  0.565   3      0.000   0.000   2560    1672    70.0352396    -142.4823050  -2165400.0000000  284400.0000000  -2165400.0000000  284400.0000000  
4       2464    1744    0       0       70.1399305    -143.0338672  0.000   0.301   30.981  0.483   3      0.000   0.000   2464    1744    70.1399305    -143.0338672  -2151000.0000000  303600.0000000  -2151000.0000000  303600.0000000  
5       2136    1752    0       0       70.0631960    -144.7465183  0.000   0.313   32.094  0.645   3      0.000   0.000   2136    1752    70.0631960    -144.7465183  -2149400.0000000  369200.0000000  -2149400.0000000  369200.0000000  
6       2096    1760    0       0       70.0650549    -144.9607967  0.000   0.327   34.351  0.557   3      0.000   0.000   2096    1760    70.0650549    -144.9607967  -2147800.0000000  377200.0000000  -2147800.0000000  377200.0000000  
7       2184    1760    0       0       70.0917310    -144.5047110  0.000   0.330   33.359  0.605   3      0.000   0.000   2184    1760    70.0917310    -144.5047110  -2147800.0000000  359600.0000000  -2147800.0000000  359600.0000000  
8       2240    1760    0       0       70.1080622    -144.2138366  0.000   0.274   28.214  0.435   3      0.000   0.000   2240    1760    70.1080622    -144.2138366  -2147800.0000000  348400.0000000  -2147800.0000000  348400.0000000  
9       2312    1768    0       0       70.1424973    -143.8456375  0.000   0.335   35.973  0.610   3      0.000   0.000   2312    1768    70.1424973    -143.8456375  -2146200.0000000  334000.0000000  -2146200.0000000  334000.0000000  
