CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       464     80      0       0       83.5231791    -73.4698280   0.000   0.388   42.470  0.565   3      0.000   0.000   464     80      83.5231791    -73.4698280   -334800.0000000  -617400.0000000  -334800.0000000  -617400.0000000  
1       448     120     0       0       83.5839648    -73.0162928   0.000   0.394   42.908  0.673   3      0.000   0.000   448     120     83.5839648    -73.0162928   -326800.0000000  -614200.0000000  -326800.0000000  -614200.0000000  
2       504     120     0       0       83.4927881    -72.5891187   0.000   0.358   38.019  0.597   3      0.000   0.000   504     120     83.4927881    -72.5891187   -326800.0000000  -625400.0000000  -326800.0000000  -625400.0000000  
3       416     136     0       0       83.6498006    -73.0313719   0.000   0.385   42.825  0.598   3      0.000   0.000   416     136     83.6498006    -73.0313719   -323600.0000000  -607800.0000000  -323600.0000000  -607800.0000000  
4       512     152     0       0       83.5067464    -72.0672498   0.000   0.331   35.135  0.488   3      0.000   0.000   512     152     83.5067464    -72.0672498   -320400.0000000  -627000.0000000  -320400.0000000  -627000.0000000  
5       544     152     0       0       83.4542453    -71.8321793   0.000   0.370   40.116  0.563   3      0.000   0.000   544     152     83.4542453    -71.8321793   -320400.0000000  -633400.0000000  -320400.0000000  -633400.0000000  
6       408     168     0       0       83.6903223    -72.6212475   0.000   0.404   45.006  0.666   3      0.000   0.000   408     168     83.6903223    -72.6212475   -317200.0000000  -606200.0000000  -317200.0000000  -606200.0000000  
7       440     168     0       0       83.6380701    -72.3748053   0.000   0.427   47.173  0.692   3      0.000   0.000   440     168     83.6380701    -72.3748053   -317200.0000000  -612600.0000000  -317200.0000000  -612600.0000000  
8       480     168     0       0       83.5725962    -72.0724056   0.000   0.391   43.372  0.656   3      0.000   0.000   480     168     83.5725962    -72.0724056   -317200.0000000  -620600.0000000  -317200.0000000  -620600.0000000  
9       520     184     0       0       83.5201649    -71.5431714   0.000   0.362   39.567  0.670   3      0.000   0.000   520     184     83.5201649    -71.5431714   -314000.0000000  -628600.0000000  -314000.0000000  -628600.0000000  
10      480     200     0       0       83.5991884    -71.6019686   0.000   0.358   37.664  0.475   3      0.000   0.000   480     200     83.5991884    -71.6019686   -310800.0000000  -620600.0000000  -310800.0000000  -620600.0000000  
11      568     200     0       0       83.4539591    -70.9658354   0.000   0.379   41.854  0.644   3      0.000   0.000   568     200     83.4539591    -70.9658354   -310800.0000000  -638200.0000000  -310800.0000000  -638200.0000000  
12      600     200     0       0       83.4009597    -70.7414811   0.000   0.358   39.732  0.625   3      0.000   0.000   600     200     83.4009597    -70.7414811   -310800.0000000  -644600.0000000  -310800.0000000  -644600.0000000  
13      440     208     0       0       83.6715888    -71.7816270   0.000   0.408   45.387  0.632   3      0.000   0.000   440     208     83.6715888    -71.7816270   -309200.0000000  -612600.0000000  -309200.0000000  -612600.0000000  
14      312     224     0       0       83.8947134    -72.5327933   0.000   0.252   26.734  0.310   2      0.000   0.000   312     224     83.8947134    -72.5327933   -306000.0000000  -587000.0000000  -306000.0000000  -587000.0000000  
15      384     232     0       0       83.7835278    -71.8463578   0.000   0.352   37.869  0.559   3      0.000   0.000   384     232     83.7835278    -71.8463578   -304400.0000000  -601400.0000000  -304400.0000000  -601400.0000000  
16      608     232     0       0       83.4130066    -70.2233237   0.000   0.384   42.441  0.589   3      0.000   0.000   608     232     83.4130066    -70.2233237   -304400.0000000  -646200.0000000  -304400.0000000  -646200.0000000  
17      344     240     0       0       83.8558533    -72.0342999   0.000   0.375   40.164  0.586   3      0.000   0.000   344     240     83.8558533    -72.0342999   -302800.0000000  -593400.0000000  -302800.0000000  -593400.0000000  
18      440     240     0       0       83.6979124    -71.3025723   0.000   0.400   44.114  0.676   3      0.000   0.000   440     240     83.6979124    -71.3025723   -302800.0000000  -612600.0000000  -302800.0000000  -612600.0000000  
19      520     240     0       0       83.5655644    -70.7203669   0.000   0.362   38.629  0.567   3      0.000   0.000   520     240     83.5655644    -70.7203669   -302800.0000000  -628600.0000000  -302800.0000000  -628600.0000000  
20      576     240     0       0       83.4725498    -70.3269251   0.000   0.372   40.413  0.568   3      0.000   0.000   576     240     83.4725498    -70.3269251   -302800.0000000  -639800.0000000  -302800.0000000  -639800.0000000  
21      656     264     0       0       83.3575649    -69.4373719   0.000   0.349   37.654  0.591   3      0.000   0.000   656     264     83.3575649    -69.4373719   -298000.0000000  -655800.0000000  -298000.0000000  -655800.0000000  
22      488     272     0       0       83.6441356    -70.4719232   0.000   0.430   46.822  0.670   3      0.000   0.000   488     272     83.6441356    -70.4719232   -296400.0000000  -622200.0000000  -296400.0000000  -622200.0000000  
23      520     272     0       0       83.5909067    -70.2450036   0.000   0.429   48.545  0.696   3      0.000   0.000   520     272     83.5909067    -70.2450036   -296400.0000000  -628600.0000000  -296400.0000000  -628600.0000000  
24      560     272     0       0       83.5242358    -69.9666159   0.000   0.416   46.211  0.630   3      0.000   0.000   560     272     83.5242358    -69.9666159   -296400.0000000  -636600.0000000  -296400.0000000  -636600.0000000  
25      288     280     0       0       83.9811448    -71.8556112   0.000   0.377   40.755  0.592   3      0.000   0.000   288     280     83.9811448    -71.8556112   -294800.0000000  -582200.0000000  -294800.0000000  -582200.0000000  
26      344     280     0       0       83.8889752    -71.4180996   0.000   0.368   40.586  0.614   3      0.000   0.000   344     280     83.8889752    -71.4180996   -294800.0000000  -593400.0000000  -294800.0000000  -593400.0000000  
27      376     280     0       0       83.8361544    -71.1739859   0.000   0.344   37.410  0.642   3      0.000   0.000   376     280     83.8361544    -71.1739859   -294800.0000000  -599800.0000000  -294800.0000000  -599800.0000000  
28      408     280     0       0       83.7832263    -70.9340324   0.000   0.351   38.828  0.596   3      0.000   0.000   408     280     83.7832263    -70.9340324   -294800.0000000  -606200.0000000  -294800.0000000  -606200.0000000  
29      608     280     0       0       83.4501644    -69.5227329   0.000   0.384   43.669  0.602   3      0.000   0.000   608     280     83.4501644    -69.5227329   -294800.0000000  -646200.0000000  -294800.0000000  -646200.0000000  
30      688     280     0       0       83.3159366    -68.9978022   0.000   0.319   33.036  0.518   3      0.000   0.000   688     280     83.3159366    -68.9978022   -294800.0000000  -662200.0000000  -294800.0000000  -662200.0000000  
31      440     288     0       0       83.7365660    -70.5765103   0.000   0.380   41.817  0.605   3      0.000   0.000   440     288     83.7365660    -70.5765103   -293200.0000000  -612600.0000000  -293200.0000000  -612600.0000000  
32      576     304     0       0       83.5220638    -69.3832015   0.000   0.434   49.110  0.647   3      0.000   0.000   576     304     83.5220638    -69.3832015   -290000.0000000  -639800.0000000  -290000.0000000  -639800.0000000  
33      264     312     0       0       84.0471023    -71.5412309   0.000   0.338   35.219  0.582   3      0.000   0.000   264     312     84.0471023    -71.5412309   -288400.0000000  -577400.0000000  -288400.0000000  -577400.0000000  
34      352     312     0       0       83.9017088    -70.8597410   0.000   0.390   42.989  0.649   3      0.000   0.000   352     312     83.9017088    -70.8597410   -288400.0000000  -595000.0000000  -288400.0000000  -595000.0000000  
35      384     312     0       0       83.8486365    -70.6199410   0.000   0.379   41.292  0.662   3      0.000   0.000   384     312     83.8486365    -70.6199410   -288400.0000000  -601400.0000000  -288400.0000000  -601400.0000000  
36      544     312     0       0       83.5817808    -69.4807466   0.000   0.415   45.228  0.626   3      0.000   0.000   544     312     83.5817808    -69.4807466   -288400.0000000  -633400.0000000  -288400.0000000  -633400.0000000  
