CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       1296    712     0       -1      70.3848245    -26.1849432   0.000   0.231   25.214  0.461   3      0.000   -0.200  1296    711     70.3854033    -26.1900001   691800.0000000  -2030400.0000000  691600.0000000  -2030400.0000000  
1       1328    712     0       -1      70.3304569    -26.2399220   0.000   0.088   12.213  0.127   1      0.000   -0.200  1328    711     70.3310339    -26.2449664   691800.0000000  -2036800.0000000  691600.0000000  -2036800.0000000  
2       1232    736     -1      1       70.4795136    -25.9521674   0.000   0.224   23.432  0.519   3      -0.200  0.200   1231    737     70.4806245    -25.9453403   696600.0000000  -2017600.0000000  696800.0000000  -2017400.0000000  
3       768     760     0       -1      71.2510256    -24.9781840   0.000   0.262   27.610  0.552   3      0.000   -0.200  768     759     71.2516415    -24.9834397   701400.0000000  -1924800.0000000  701200.0000000  -1924800.0000000  
4       1184    760     0       0       70.5467880    -25.7455493   0.000   0.296   28.885  0.663   3      0.000   0.000   1184    760     70.5467880    -25.7455493   701400.0000000  -2008000.0000000  701400.0000000  -2008000.0000000  
5       840     768     0       -2      71.1243835    -25.0733748   0.000   0.449   48.200  0.893   3      0.000   -0.400  840     766     71.1256091    -25.0838211   703000.0000000  -1939200.0000000  702600.0000000  -1939200.0000000  
6       888     776     0       -1      71.0383223    -25.1222477   0.000   0.255   26.169  0.459   3      0.000   -0.200  888     775     71.0389336    -25.1274482   704600.0000000  -1948800.0000000  704400.0000000  -1948800.0000000  
7       928     776     0       0       70.9706740    -25.1971838   0.000   0.165   16.994  0.414   3      0.000   0.000   928     776     70.9706740    -25.1971838   704600.0000000  -1956800.0000000  704600.0000000  -1956800.0000000  
8       768     800     0       -1      71.2262628    -24.7682436   0.000   0.398   42.331  0.617   3      0.000   -0.200  768     799     71.2268848    -24.7734852   709400.0000000  -1924800.0000000  709200.0000000  -1924800.0000000  
9       896     808     0       0       71.0051670    -24.9711482   0.000   0.207   21.253  0.367   2      0.000   0.000   896     808     71.0051670    -24.9711482   711000.0000000  -1950400.0000000  711000.0000000  -1950400.0000000  
10      936     816     0       -1      70.9326772    -25.0051491   0.000   0.238   23.268  0.489   3      0.000   -0.200  936     815     70.9332917    -25.0103164   712600.0000000  -1958400.0000000  712400.0000000  -1958400.0000000  
11      1064    840     0       -1      70.7017433    -25.1203773   0.000   0.177   17.233  0.546   3      0.000   -0.200  1064    839     70.7023541    -25.1254854   717400.0000000  -1984000.0000000  717200.0000000  -1984000.0000000  
12      984     856     0       -1      70.8269862    -24.8893642   0.000   0.236   23.760  0.504   3      0.000   -0.200  984     855     70.8276040    -24.8944987   720600.0000000  -1968000.0000000  720400.0000000  -1968000.0000000  
