CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       1496    224     -64     3       85.6473671    144.3944315   0.000   0.170   17.593  0.322   2      -6.400  0.300   1432    227     85.5317915    144.0771921   -77000.0000000  465400.0000000  -76400.0000000  478200.0000000  
1       1464    232     -64     3       85.5915021    144.0798566   0.000   0.189   19.341  0.276   1      -6.400  0.300   1400    235     85.4758010    143.7745907   -75400.0000000  471800.0000000  -74800.0000000  484600.0000000  
2       1512    256     -64     3       85.6857707    143.6846721   0.000   0.235   24.520  0.365   2      -6.400  0.300   1448    259     85.5699022    143.3832485   -70600.0000000  462200.0000000  -70000.0000000  475000.0000000  
3       1424    264     -64     3       85.5274457    143.1835936   0.000   0.276   28.445  0.570   3      -6.400  0.300   1360    267     85.4113970    142.9052608   -69000.0000000  479800.0000000  -68400.0000000  492600.0000000  
4       1464    264     -64     3       85.6004263    143.3204305   0.000   0.227   23.417  0.424   3      -6.400  0.300   1400    267     85.4844234    143.0340741   -69000.0000000  471800.0000000  -68400.0000000  484600.0000000  
5       1528    288     -64     3       85.7235021    142.9622646   0.000   0.175   16.537  0.322   2      -6.400  0.300   1464    291     85.6073533    142.6773556   -64200.0000000  459000.0000000  -63600.0000000  471800.0000000  
6       1560    288     -64     3       85.7819277    143.0733809   0.000   0.183   18.410  0.370   2      -6.400  0.300   1496    291     85.6658153    142.7816467   -64200.0000000  452600.0000000  -63600.0000000  465400.0000000  
7       1416    296     -64     3       85.5208360    142.4090189   0.000   0.190   19.659  0.457   3      -6.400  0.300   1352    299     85.4045049    142.1506993   -62600.0000000  481400.0000000  -62000.0000000  494200.0000000  
8       1464    296     -64     3       85.6085753    142.5580489   0.000   0.179   17.786  0.313   2      -6.400  0.300   1400    299     85.4922894    142.2908461   -62600.0000000  471800.0000000  -62000.0000000  484600.0000000  
9       1496    296     -64     3       85.6670539    142.6607582   0.000   0.236   23.200  0.404   3      -6.400  0.300   1432    299     85.5507997    142.3873524   -62600.0000000  465400.0000000  -62000.0000000  478200.0000000  
10      1384    304     -63     3       85.4641833    142.1279076   0.000   0.234   23.293  0.415   3      -6.300  0.300   1321    307     85.3495895    141.8825019   -61000.0000000  487800.0000000  -60400.0000000  500400.0000000  
11      1344    328     -62     2       85.3961994    141.4669970   0.000   0.153   14.801  0.276   1      -6.200  0.200   1282    330     85.2830266    141.2659360   -56200.0000000  495800.0000000  -55800.0000000  508200.0000000  
12      1440    328     -64     3       85.5720050    141.7251815   0.000   0.166   15.651  0.214   1      -6.400  0.300   1376    331     85.4554367    141.4814976   -56200.0000000  476600.0000000  -55600.0000000  489400.0000000  
13      1584    328     -64     3       85.8355643    142.1533603   0.000   0.342   36.001  0.528   3      -6.400  0.300   1520    331     85.7191175    141.8829920   -56200.0000000  447800.0000000  -55600.0000000  460600.0000000  
14      1376    336     -63     3       85.4564680    141.3658895   0.000   0.211   21.394  0.413   3      -6.300  0.300   1313    339     85.3416266    141.1396824   -54600.0000000  489400.0000000  -54000.0000000  502000.0000000  
15      1488    352     -64     3       85.6649436    141.2809351   0.000   0.183   18.465  0.435   3      -6.400  0.300   1424    355     85.5482251    141.0438143   -51400.0000000  467000.0000000  -50800.0000000  479800.0000000  
16      1536    352     -64     3       85.7529025    141.4116740   0.000   0.288   29.999  0.427   3      -6.400  0.300   1472    355     85.6362178    141.1662687   -51400.0000000  457400.0000000  -50800.0000000  470200.0000000  
17      1272    360     -62     2       85.2703960    140.5749110   0.000   0.249   29.037  0.414   3      -6.200  0.200   1210    362     85.1569957    140.3999734   -49800.0000000  510200.0000000  -49400.0000000  522600.0000000  
18      1632    360     -64     3       85.9304560    141.4836604   0.000   0.265   28.243  0.516   3      -6.400  0.300   1568    363     85.8137798    141.2258291   -49800.0000000  438200.0000000  -49200.0000000  451000.0000000  
19      1328    368     -62     2       85.3745631    140.5172653   0.000   0.389   42.483  0.699   3      -6.200  0.200   1266    370     85.2611397    140.3398596   -48200.0000000  499000.0000000  -47800.0000000  511400.0000000  
20      1368    368     -62     3       85.4479526    140.6065914   0.000   0.170   16.523  0.304   2      -6.200  0.300   1306    371     85.3347195    140.4016571   -48200.0000000  491000.0000000  -47600.0000000  503400.0000000  
21      1576    368     -64     3       85.8294370    141.1218058   0.000   0.252   21.846  0.436   3      -6.400  0.300   1512    371     85.7126556    140.8799180   -48200.0000000  449400.0000000  -47600.0000000  462200.0000000  
22      1432    376     -63     2       85.5668141    140.5658292   0.000   0.219   23.248  0.481   3      -6.300  0.200   1369    378     85.4515519    140.3775222   -46600.0000000  478200.0000000  -46200.0000000  490800.0000000  
23      1488    384     -63     3       85.6710007    140.5040133   0.000   0.254   27.759  0.436   3      -6.300  0.300   1425    387     85.5558849    140.2892038   -45000.0000000  467000.0000000  -44400.0000000  479600.0000000  
24      1520    384     -63     2       85.7297254    140.5800117   0.000   0.186   18.704  0.508   3      -6.300  0.200   1457    386     85.6144538    140.3843300   -45000.0000000  460600.0000000  -44600.0000000  473200.0000000  
25      1264    392     -62     2       85.2610679    139.8470146   0.000   0.378   41.421  0.561   3      -6.200  0.200   1202    394     85.1474941    139.6894596   -43400.0000000  511800.0000000  -43000.0000000  524200.0000000  
26      1296    392     -62     2       85.3198388    139.9080956   0.000   0.353   38.272  0.582   3      -6.200  0.200   1234    394     85.2062741    139.7471579   -43400.0000000  505400.0000000  -43000.0000000  517800.0000000  
27      1648    392     -64     4       85.9660560    140.6975518   0.000   0.167   16.695  0.307   2      -6.400  0.400   1584    396     85.8493116    140.4342939   -43400.0000000  435000.0000000  -42600.0000000  447800.0000000  
28      1440    408     -62     3       85.5868433    139.8213413   0.000   0.160   15.741  0.265   1      -6.200  0.300   1378    411     85.4733865    139.6298005   -40200.0000000  476600.0000000  -39600.0000000  489000.0000000  
29      1616    408     -64     3       85.9101159    140.2037917   0.000   0.208   21.146  0.475   3      -6.400  0.300   1552    411     85.7930609    139.9828048   -40200.0000000  441400.0000000  -39600.0000000  454200.0000000  
30      1680    408     -64     4       86.0276351    140.3583097   0.000   0.191   17.501  0.394   2      -6.400  0.400   1616    412     85.9107783    140.1007855   -40200.0000000  428600.0000000  -39400.0000000  441400.0000000  
31      1200    416     -62     2       85.1469643    139.2082325   0.000   0.145   14.404  0.259   1      -6.200  0.200   1138    418     85.0332619    139.0689350   -38600.0000000  524600.0000000  -38200.0000000  537000.0000000  
32      1472    416     -63     3       85.6468606    139.6930432   0.000   0.270   28.036  0.487   3      -6.300  0.300   1409    419     85.5315284    139.5003321   -38600.0000000  470200.0000000  -38000.0000000  482800.0000000  
33      1376    424     -62     3       85.4715813    139.3234953   0.000   0.285   29.779  0.580   3      -6.200  0.300   1314    427     85.3580098    139.1489037   -37000.0000000  489400.0000000  -36400.0000000  501800.0000000  
34      1528    424     -63     2       85.7509673    139.6086490   0.000   0.190   19.765  0.449   3      -6.300  0.200   1465    426     85.6354632    139.4377238   -37000.0000000  459000.0000000  -36600.0000000  471600.0000000  
35      1256    432     -62     2       85.2520161    138.9444202   0.000   0.314   32.863  0.595   3      -6.200  0.200   1194    434     85.1382518    138.8082888   -35400.0000000  513400.0000000  -35000.0000000  525800.0000000  
36      1440    440     -62     3       85.5914095    139.0565682   0.000   0.219   21.082  0.394   2      -6.200  0.300   1378    443     85.4777655    138.8840596   -33800.0000000  476600.0000000  -33200.0000000  489000.0000000  
37      1576    448     -63     3       85.8425779    139.0983013   0.000   0.197   20.092  0.422   3      -6.300  0.300   1513    451     85.7270848    138.9128379   -32200.0000000  449400.0000000  -31600.0000000  462000.0000000  
