CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       712     80      0       0       77.9397858    -118.0881192  0.000   0.408   45.112  0.669   3      0.000   0.000   712     80      77.9397858    -118.0881192  -1254400.0000000  -381400.0000000  -1254400.0000000  -381400.0000000  
1       768     80      0       0       77.9096301    -117.6210115  0.000   0.356   38.237  0.533   3      0.000   0.000   768     80      77.9096301    -117.6210115  -1254400.0000000  -392600.0000000  -1254400.0000000  -392600.0000000  
2       800     80      0       0       77.8920422    -117.3551548  0.000   0.368   39.891  0.554   3      0.000   0.000   800     80      77.8920422    -117.3551548  -1254400.0000000  -399000.0000000  -1254400.0000000  -399000.0000000  
3       832     80      0       0       77.8741968    -117.0900806  0.000   0.345   37.050  0.511   3      0.000   0.000   832     80      77.8741968    -117.0900806  -1254400.0000000  -405400.0000000  -1254400.0000000  -405400.0000000  
4       888     80      0       0       77.8423512    -116.6281069  0.000   0.401   45.199  0.673   3      0.000   0.000   888     80      77.8423512    -116.6281069  -1254400.0000000  -416600.0000000  -1254400.0000000  -416600.0000000  
5       536     88      0       0       78.0434244    -119.5523419  0.000   0.373   41.382  0.644   3      0.000   0.000   536     88      78.0434244    -119.5523419  -1252800.0000000  -346200.0000000  -1252800.0000000  -346200.0000000  
6       568     88      0       0       78.0277185    -119.2807673  0.000   0.426   47.359  0.705   3      0.000   0.000   568     88      78.0277185    -119.2807673  -1252800.0000000  -352600.0000000  -1252800.0000000  -352600.0000000  
7       936     88      0       0       77.8282678    -116.2118006  0.000   0.308   31.627  0.459   3      0.000   0.000   936     88      77.8282678    -116.2118006  -1252800.0000000  -426200.0000000  -1252800.0000000  -426200.0000000  
8       408     96      0       0       78.1177281    -120.6280807  0.000   0.461   51.704  0.751   3      0.000   0.000   408     96      78.1177281    -120.6280807  -1251200.0000000  -320600.0000000  -1251200.0000000  -320600.0000000  
9       440     96      0       0       78.1030788    -120.3534041  0.000   0.442   50.403  0.726   3      0.000   0.000   440     96      78.1030788    -120.3534041  -1251200.0000000  -327000.0000000  -1251200.0000000  -327000.0000000  
10      504     96      0       0       78.0729697    -119.8061204  0.000   0.427   48.847  0.673   3      0.000   0.000   504     96      78.0729697    -119.8061204  -1251200.0000000  -339800.0000000  -1251200.0000000  -339800.0000000  
11      600     96      0       0       78.0257961    -118.9905149  0.000   0.455   50.846  0.710   3      0.000   0.000   600     96      78.0257961    -118.9905149  -1251200.0000000  -359000.0000000  -1251200.0000000  -359000.0000000  
12      224     104     0       0       78.2109194    -122.2044541  0.000   0.475   55.036  0.715   3      0.000   0.000   224     104     78.2109194    -122.2044541  -1249600.0000000  -283800.0000000  -1249600.0000000  -283800.0000000  
13      256     104     0       0       78.1978287    -121.9257100  0.000   0.416   46.767  0.652   3      0.000   0.000   256     104     78.1978287    -121.9257100  -1249600.0000000  -290200.0000000  -1249600.0000000  -290200.0000000  
14      320     104     0       0       78.1708187    -121.3701181  0.000   0.447   50.105  0.630   3      0.000   0.000   320     104     78.1708187    -121.3701181  -1249600.0000000  -303000.0000000  -1249600.0000000  -303000.0000000  
15      472     104     0       0       78.1022830    -120.0611632  0.000   0.392   43.054  0.719   3      0.000   0.000   472     104     78.1022830    -120.0611632  -1249600.0000000  -333400.0000000  -1249600.0000000  -333400.0000000  
16      656     104     0       0       78.0111882    -118.4978242  0.000   0.400   44.434  0.612   3      0.000   0.000   656     104     78.0111882    -118.4978242  -1249600.0000000  -370200.0000000  -1249600.0000000  -370200.0000000  
17      40      112     0       0       78.2951228    -123.8048886  0.000   0.411   46.310  0.694   3      0.000   0.000   40      112     78.2951228    -123.8048886  -1248000.0000000  -247000.0000000  -1248000.0000000  -247000.0000000  
18      72      112     0       0       78.2836255    -123.5224178  0.000   0.446   50.225  0.720   3      0.000   0.000   72      112     78.2836255    -123.5224178  -1248000.0000000  -253400.0000000  -1248000.0000000  -253400.0000000  
19      104     112     0       0       78.2718462    -123.2405114  0.000   0.447   51.837  0.723   3      0.000   0.000   104     112     78.2718462    -123.2405114  -1248000.0000000  -259800.0000000  -1248000.0000000  -259800.0000000  
20      136     112     0       0       78.2597856    -122.9591813  0.000   0.492   57.027  0.743   3      0.000   0.000   136     112     78.2597856    -122.9591813  -1248000.0000000  -266200.0000000  -1248000.0000000  -266200.0000000  
21      288     112     0       0       78.1986858    -121.6310901  0.000   0.436   49.108  0.620   3      0.000   0.000   288     112     78.1986858    -121.6310901  -1248000.0000000  -296600.0000000  -1248000.0000000  -296600.0000000  
22      368     112     0       0       78.1640216    -120.9378338  0.000   0.491   57.454  0.763   3      0.000   0.000   368     112     78.1640216    -120.9378338  -1248000.0000000  -312600.0000000  -1248000.0000000  -312600.0000000  
