CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       1144    24      29      -3      69.2719354    -64.0162228   0.000   0.190   17.863  0.260   1      5.800   -0.600  1173    21      69.2211435    -63.9829122   -739400.0000000  -2145400.0000000  -740000.0000000  -2151200.0000000  
1       1096    32      29      -4      69.3577806    -64.0571816   0.000   0.167   17.491  0.309   2      5.800   -0.800  1125    28      69.3064004    -64.0284093   -737800.0000000  -2135800.0000000  -738600.0000000  -2141600.0000000  
2       1176    32      29      -3      69.2224591    -63.9255975   0.000   0.159   14.553  0.246   1      5.800   -0.600  1205    29      69.1716563    -63.8925934   -737800.0000000  -2151800.0000000  -738400.0000000  -2157600.0000000  
3       1264    32      29      -3      69.0735485    -63.7828626   0.000   0.150   15.563  0.224   1      5.800   -0.600  1293    29      69.0227401    -63.7504510   -737800.0000000  -2169400.0000000  -738400.0000000  -2175200.0000000  
4       1296    40      29      -2      69.0239725    -63.6936757   0.000   0.193   20.361  0.360   2      5.800   -0.400  1325    38      68.9737258    -63.6568475   -736200.0000000  -2175800.0000000  -736600.0000000  -2181600.0000000  
5       864     48      29      -4      69.7594341    -64.3708679   0.000   0.126   12.228  0.240   1      5.800   -0.800  893     44      69.7080477    -64.3407032   -734600.0000000  -2089400.0000000  -735400.0000000  -2095200.0000000  
6       1232    48      29      -3      69.1369224    -63.7585607   0.000   0.282   28.817  0.568   3      5.800   -0.600  1261    45      69.0860991    -63.7261091   -734600.0000000  -2163000.0000000  -735200.0000000  -2168800.0000000  
7       1024    64      29      -4      69.4982682    -64.0227760   0.000   0.164   16.444  0.291   1      5.800   -0.800  1053    60      69.4468599    -63.9938907   -731400.0000000  -2121400.0000000  -732200.0000000  -2127200.0000000  
8       1144    64      29      -4      69.2951375    -63.8250363   0.000   0.167   16.538  0.335   2      5.800   -0.800  1173    60      69.2437266    -63.7969397   -731400.0000000  -2145400.0000000  -732200.0000000  -2151200.0000000  
9       944     72      29      -4      69.6383199    -64.1179771   0.000   0.188   18.674  0.339   2      5.800   -0.800  973     68      69.5869066    -64.0886448   -729800.0000000  -2105400.0000000  -730600.0000000  -2111200.0000000  
10      992     72      29      -4      69.5570931    -64.0374604   0.000   0.179   17.489  0.230   1      5.800   -0.800  1021    68      69.5056783    -64.0084529   -729800.0000000  -2115000.0000000  -730600.0000000  -2120800.0000000  
11      1096    72      29      -4      69.3810367    -63.8652291   0.000   0.202   20.282  0.421   3      5.800   -0.800  1125    68      69.3296192    -63.8369111   -729800.0000000  -2135800.0000000  -730600.0000000  -2141600.0000000  
12      1312    72      29      -2      69.0151172    -63.5169486   0.000   0.247   26.291  0.516   3      5.800   -0.400  1341    70      68.9648314    -63.4805677   -729800.0000000  -2179000.0000000  -730200.0000000  -2184800.0000000  
13      800     80      29      -4      69.8866276    -64.3242054   0.000   0.139   10.822  0.217   1      5.800   -0.800  829     76      69.8352131    -64.2939680   -728200.0000000  -2076600.0000000  -729000.0000000  -2082400.0000000  
14      888     80      29      -4      69.7377705    -64.1737021   0.000   0.190   17.646  0.245   1      5.800   -0.800  917     76      69.6863518    -64.1440793   -728200.0000000  -2094200.0000000  -729000.0000000  -2100000.0000000  
15      840     88      29      -4      69.8236965    -64.2163109   0.000   0.182   18.158  0.364   2      5.800   -0.800  869     84      69.7722722    -64.1864493   -726600.0000000  -2084600.0000000  -727400.0000000  -2090400.0000000  
16      768     96      29      -5      69.9502375    -64.3006476   0.000   0.172   16.747  0.385   2      5.800   -1.000  797     91      69.8982175    -64.2752926   -725000.0000000  -2070200.0000000  -726000.0000000  -2076000.0000000  
17      1168    96      29      -3      69.2728587    -63.6329712   0.000   0.202   20.729  0.382   2      5.800   -0.600  1197    93      69.2219888    -63.6006168   -725000.0000000  -2150200.0000000  -725600.0000000  -2156000.0000000  
18      1200    96      29      -3      69.2186138    -63.5814769   0.000   0.248   25.383  0.470   3      5.800   -0.600  1229    93      69.1677422    -63.5493369   -725000.0000000  -2156600.0000000  -725600.0000000  -2162400.0000000  
19      1240    96      29      -3      69.1507976    -63.5174938   0.000   0.191   18.370  0.313   2      5.800   -0.600  1269    93      69.0999239    -63.4856194   -725000.0000000  -2164600.0000000  -725600.0000000  -2170400.0000000  
20      928     104     29      -4      69.6841133    -63.9891439   0.000   0.232   23.041  0.337   2      5.800   -0.800  957     100     69.6326701    -63.9600763   -723400.0000000  -2102200.0000000  -724200.0000000  -2108000.0000000  
21      872     112     29      -4      69.7836210    -64.0443508   0.000   0.156   15.514  0.279   1      5.800   -0.800  901     108     69.7321722    -64.0149946   -721800.0000000  -2091000.0000000  -722600.0000000  -2096800.0000000  
22      1336    112     29      -2      68.9969861    -63.2900002   0.000   0.149   15.117  0.316   2      5.800   -0.400  1365    110     68.9466518    -63.2542056   -721800.0000000  -2183800.0000000  -722200.0000000  -2189600.0000000  
23      736     120     29      -5      70.0185863    -64.2373490   0.000   0.179   18.193  0.332   2      5.800   -1.000  765     115     69.9665462    -64.2120734   -720200.0000000  -2063800.0000000  -721200.0000000  -2069600.0000000  
24      808     120     29      -5      69.8966870    -64.1137536   0.000   0.194   19.289  0.415   3      5.800   -1.000  837     115     69.8446472    -64.0889593   -720200.0000000  -2078200.0000000  -721200.0000000  -2084000.0000000  
25      840     120     29      -4      69.8424945    -64.0593117   0.000   0.140   12.878  0.245   1      5.800   -0.800  869     116     69.7910393    -64.0298294   -720200.0000000  -2084600.0000000  -721000.0000000  -2090400.0000000  
26      1128    120     29      -3      69.3543791    -63.5824610   0.000   0.147   13.987  0.311   2      5.800   -0.600  1157    117     69.3034864    -63.5501032   -720200.0000000  -2142200.0000000  -720800.0000000  -2148000.0000000  
27      768     128     29      -5      69.9691219    -64.1427173   0.000   0.186   18.696  0.294   1      5.800   -1.000  797     123     69.9170752    -64.1177553   -718600.0000000  -2070200.0000000  -719600.0000000  -2076000.0000000  
28      1024    128     29      -4      69.5353184    -63.7132229   0.000   0.248   25.387  0.437   3      5.800   -0.800  1053    124     69.4838504    -63.6850767   -718600.0000000  -2121400.0000000  -719400.0000000  -2127200.0000000  
29      1056    144     29      -4      69.4902009    -63.5834584   0.000   0.236   23.651  0.360   2      5.800   -0.800  1085    140     69.4387178    -63.5557069   -715400.0000000  -2127800.0000000  -716200.0000000  -2133600.0000000  
30      1256    144     29      -3      69.1507274    -63.2635096   0.000   0.201   19.476  0.363   2      5.800   -0.600  1285    141     69.0998039    -63.2322673   -715400.0000000  -2167800.0000000  -716000.0000000  -2173600.0000000  
31      1344    144     29      -2      69.0012747    -63.1260797   0.000   0.133   12.667  0.318   2      5.800   -0.400  1373    142     68.9509033    -63.0906784   -715400.0000000  -2185400.0000000  -715800.0000000  -2191200.0000000  
32      840     152     29      -4      69.8611449    -63.9020147   0.000   0.105   9.832   0.254   1      5.800   -0.800  869     148     69.8096591    -63.8729137   -713800.0000000  -2084600.0000000  -714600.0000000  -2090400.0000000  
33      1128    152     29      -4      69.3725524    -63.4285295   0.000   0.159   15.211  0.371   2      5.800   -0.800  1157    148     69.3210617    -63.4013330   -713800.0000000  -2142200.0000000  -714600.0000000  -2148000.0000000  
34      672     160     29      -5      70.1505510    -64.1493147   0.000   0.149   15.737  0.311   2      5.800   -1.000  701     155     70.0984773    -64.1241030   -712200.0000000  -2051000.0000000  -713200.0000000  -2056800.0000000  
35      896     160     29      -4      69.7708081    -63.7689167   0.000   0.160   15.640  0.251   1      5.800   -0.800  925     156     69.7193131    -63.7402926   -712200.0000000  -2095800.0000000  -713000.0000000  -2101600.0000000  
36      984     160     29      -4      69.6215084    -63.6234318   0.000   0.205   21.819  0.383   2      5.800   -0.800  1013    156     69.5700116    -63.5953954   -712200.0000000  -2113400.0000000  -713000.0000000  -2119200.0000000  
37      1016    160     29      -4      69.5672027    -63.5710661   0.000   0.203   19.863  0.371   2      5.800   -0.800  1045    156     69.5157054    -63.5432400   -712200.0000000  -2119800.0000000  -713000.0000000  -2125600.0000000  
38      1176    168     29      -3      69.3000541    -63.2750392   0.000   0.166   15.769  0.326   2      5.800   -0.600  1205    165     69.2491094    -63.2435382   -710600.0000000  -2151800.0000000  -711200.0000000  -2157600.0000000  
