CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       520     56      -1      -6      86.0586126    -82.0255048   0.000   0.281   28.585  0.522   3      -0.200  -1.200  519     50      86.0534094    -82.1699850   -257200.0000000  -341000.0000000  -258400.0000000  -340800.0000000  
1       552     64      -1      -7      86.0201014    -81.3438243   0.000   0.248   26.264  0.448   3      -0.200  -1.400  551     57      86.0139201    -81.5091178   -255600.0000000  -347400.0000000  -257000.0000000  -347200.0000000  
2       584     64      -1      -8      85.9724175    -80.8459300   0.000   0.277   30.958  0.519   3      -0.200  -1.600  583     56      85.9652520    -81.0312270   -255600.0000000  -353800.0000000  -257200.0000000  -353600.0000000  
3       616     64      -1      -9      85.9244382    -80.3597318   0.000   0.240   24.967  0.392   2      -0.200  -1.800  615     55      85.9163117    -80.5647680   -255600.0000000  -360200.0000000  -257400.0000000  -360000.0000000  
4       648     64      -1      -9      85.8761739    -79.8848901   0.000   0.249   25.718  0.465   3      -0.200  -1.800  647     55      85.8681690    -80.0884600   -255600.0000000  -366600.0000000  -257400.0000000  -366400.0000000  
5       704     72      -2      -10     85.7993034    -78.9134690   0.000   0.160   16.596  0.345   2      -0.400  -2.000  702     62      85.7920402    -79.1500408   -254000.0000000  -377800.0000000  -256000.0000000  -377400.0000000  
6       736     72      -2      -11     85.7502102    -78.4692490   0.000   0.167   16.339  0.308   2      -0.400  -2.200  734     61      85.7420588    -78.7245042   -254000.0000000  -384200.0000000  -256200.0000000  -383800.0000000  
7       768     80      -2      -11     85.7088923    -77.8699525   0.000   0.224   22.169  0.364   2      -0.400  -2.200  766     69      85.7009399    -78.1238817   -252400.0000000  -390600.0000000  -254600.0000000  -390200.0000000  
8       528     96      0       -6      86.0906663    -81.0313507   0.000   0.136   13.603  0.330   2      0.000   -1.200  528     90      86.0841473    -81.1623783   -249200.0000000  -342600.0000000  -250400.0000000  -342600.0000000  
9       576     96      -1      -8      86.0187402    -80.2814123   0.000   0.228   21.965  0.418   3      -0.200  -1.600  575     88      86.0117029    -80.4698722   -249200.0000000  -352200.0000000  -250800.0000000  -352000.0000000  
10      648     96      -2      -9      85.9096354    -79.2062963   0.000   0.247   23.885  0.335   2      -0.400  -1.800  646     87      85.9033251    -79.4274334   -249200.0000000  -366600.0000000  -251000.0000000  -366200.0000000  
11      872     96      -2      -12     85.5619839    -76.2048199   0.000   0.269   31.210  0.403   3      -0.400  -2.400  870     84      85.5536268    -76.4735283   -249200.0000000  -411400.0000000  -251600.0000000  -411000.0000000  
12      928     104     -2      -13     85.4808387    -75.3659022   0.000   0.123   14.014  0.212   1      -0.400  -2.600  926     91      85.4718487    -75.6514119   -247600.0000000  -422600.0000000  -250200.0000000  -422200.0000000  
13      608     112     -2      -8      85.9871881    -79.4501659   0.000   0.175   17.586  0.334   2      -0.400  -1.600  606     104     85.9818587    -79.6535444   -246000.0000000  -358600.0000000  -247600.0000000  -358200.0000000  
14      720     112     -2      -10     85.8152498    -77.8490890   0.000   0.277   30.677  0.513   3      -0.400  -2.000  718     102     85.8083096    -78.0883755   -246000.0000000  -381000.0000000  -248000.0000000  -380600.0000000  
15      840     112     -2      -12     85.6277245    -76.2748055   0.000   0.384   41.609  0.579   3      -0.400  -2.400  838     100     85.6193409    -76.5474156   -246000.0000000  -405000.0000000  -248400.0000000  -404600.0000000  
16      688     120     -2      -10     85.8727755    -78.1216052   0.000   0.282   29.956  0.444   3      -0.400  -2.000  686     110     85.8657516    -78.3637611   -244400.0000000  -374600.0000000  -246400.0000000  -374200.0000000  
17      752     120     -2      -11     85.7734484    -77.2466997   0.000   0.289   29.565  0.454   3      -0.400  -2.200  750     109     85.7657022    -77.5056663   -244400.0000000  -387400.0000000  -246600.0000000  -387000.0000000  
18      784     120     -2      -11     85.7234308    -76.8245491   0.000   0.287   28.764  0.408   3      -0.400  -2.200  782     109     85.7158262    -77.0812508   -244400.0000000  -393800.0000000  -246600.0000000  -393400.0000000  
19      656     128     -2      -9      85.9302073    -78.4018256   0.000   0.263   27.904  0.503   3      -0.400  -1.800  654     119     85.9241189    -78.6253103   -242800.0000000  -368200.0000000  -244600.0000000  -367800.0000000  
20      568     136     -1      -7      86.0730497    -79.5265519   0.000   0.135   12.605  0.303   2      -0.200  -1.400  567     129     86.0672349    -79.6968541   -241200.0000000  -350600.0000000  -242600.0000000  -350400.0000000  
21      480     144     2       -2      86.2142778    -80.7357525   0.000   0.127   15.096  0.285   1      0.400   -0.400  482     142     86.2091293    -80.7484542   -239600.0000000  -333000.0000000  -240000.0000000  -333400.0000000  
22      840     144     -2      -12     85.6580600    -75.6087686   0.000   0.258   26.589  0.457   3      -0.400  -2.400  838     132     85.6499181    -75.8845554   -239600.0000000  -405000.0000000  -242000.0000000  -404600.0000000  
23      936     144     -2      -13     85.5048287    -74.4589737   0.000   0.253   26.318  0.491   3      -0.400  -2.600  934     131     85.4961955    -74.7477931   -239600.0000000  -424200.0000000  -242200.0000000  -423800.0000000  
24      736     152     -2      -10     85.8297426    -76.7769323   0.000   0.163   17.284  0.345   2      -0.400  -2.000  734     142     85.8231302    -77.0188002   -238000.0000000  -384200.0000000  -240000.0000000  -383800.0000000  
25      1016    152     -1      -14     85.3828825    -73.3984639   0.000   0.153   14.571  0.297   1      -0.200  -2.800  1015    138     85.3721699    -73.6906854   -238000.0000000  -440200.0000000  -240800.0000000  -440000.0000000  
26      560     168     3       -3      86.1184444    -78.9318523   0.000   0.234   23.953  0.400   3      0.600   -0.600  563     165     86.1107653    -78.9539973   -234800.0000000  -349000.0000000  -235400.0000000  -349600.0000000  
27      680     168     -1      -10     85.9329576    -77.1900299   0.000   0.213   21.385  0.433   3      -0.200  -2.000  679     158     85.9246608    -77.4234326   -234800.0000000  -373000.0000000  -236800.0000000  -372800.0000000  
28      872     168     -1      -12     85.6292811    -74.7148757   0.000   0.350   36.332  0.557   3      -0.200  -2.400  871     156     85.6198695    -74.9784226   -234800.0000000  -411400.0000000  -237200.0000000  -411200.0000000  
29      984     168     -1      -13     85.4488005    -73.4250551   0.000   0.218   22.048  0.349   2      -0.200  -2.600  983     155     85.4389613    -73.7011116   -234800.0000000  -433800.0000000  -237400.0000000  -433600.0000000  
30      1056    168     -1      -14     85.3316496    -72.6488413   0.000   0.240   25.263  0.373   2      -0.200  -2.800  1055    154     85.3212468    -72.9395627   -234800.0000000  -448200.0000000  -237600.0000000  -448000.0000000  
