CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       864     96      -108    106     81.3174516    29.4505015    0.000   0.195   19.791  0.460   3      -21.600  21.200  756     202     81.1797526    31.0363379    907800.0000000  -252600.0000000  929000.0000000  -231000.0000000  
1       904     96      -108    105     81.2974750    28.9829407    0.000   0.251   28.242  0.373   2      -21.600  21.000  796     201     81.1635229    30.5696387    907800.0000000  -260600.0000000  928800.0000000  -239000.0000000  
2       896     144     -107    105     81.2167383    29.2345868    0.000   0.308   33.363  0.555   3      -21.400  21.000  789     249     81.0813275    30.7914907    917400.0000000  -259000.0000000  938400.0000000  -237600.0000000  
3       952     160     -107    105     81.1600688    28.6428126    5.625   0.140   15.719  0.261   1      -21.400  21.000  845     265     81.0271511    30.1989450    920600.0000000  -270200.0000000  941600.0000000  -248800.0000000  
4       896     176     -107    105     81.1601882    29.3384311    0.000   0.323   33.646  0.617   3      -21.400  21.000  789     281     81.0243775    30.8838780    923800.0000000  -259000.0000000  944800.0000000  -237600.0000000  
5       904     208     -106    105     81.0996635    29.3495290    0.000   0.155   16.450  0.267   1      -21.200  21.000  798     313     80.9633916    30.8730853    930200.0000000  -260600.0000000  951200.0000000  -239400.0000000  
6       872     224     -106    105     81.0869948    29.7656595    0.000   0.190   18.002  0.252   1      -21.200  21.000  766     329     80.9490215    31.2806015    933400.0000000  -254200.0000000  954400.0000000  -233000.0000000  
7       816     232     -106    106     81.0992379    30.4315238    0.000   0.219   21.684  0.300   1      -21.200  21.200  710     338     80.9567524    31.9406324    935000.0000000  -243000.0000000  956200.0000000  -221800.0000000  
8       848     256     -105    105     81.0417101    30.1376660    0.000   0.115   10.568  0.263   1      -21.000  21.000  743     361     80.9018158    31.6279278    939800.0000000  -249400.0000000  960800.0000000  -228400.0000000  
9       880     256     -105    103     81.0264648    29.7737737    0.000   0.080   7.385   0.262   1      -21.000  20.600  775     359     80.8916201    31.2617301    939800.0000000  -255800.0000000  960400.0000000  -234800.0000000  
10      952     280     -102    99      80.9485132    29.0369810    0.000   0.156   14.966  0.339   2      -20.400  19.800  850     379     80.8224316    30.4783289    944600.0000000  -270200.0000000  964400.0000000  -249800.0000000  
11      920     288     -104    98      80.9503455    29.4215613    5.625   0.221   21.538  0.444   3      -20.800  19.600  816     386     80.8254194    30.8772450    946200.0000000  -263800.0000000  965800.0000000  -243000.0000000  
12      896     320     -101    100     80.9054188    29.7896770    5.625   0.178   18.329  0.431   3      -20.200  20.000  795     420     80.7741712    31.2051933    952600.0000000  -259000.0000000  972600.0000000  -238800.0000000  
