CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       392     56      58      49      77.1258985    -153.1244056  0.000   0.200   20.181  0.418   3      11.600  9.800   450     105     77.2435519    -152.7950180  -1330800.0000000  435600.0000000  -1321000.0000000  424000.0000000  
1       408     96      55      52      77.2043205    -153.1016559  0.000   0.128   9.433   0.182   1      11.000  10.400  463     148     77.3255010    -152.8013637  -1322800.0000000  432400.0000000  -1312400.0000000  421400.0000000  
2       440     96      55      52      77.2223369    -152.8508504  0.000   0.129   11.675  0.371   2      11.000  10.400  495     148     77.3432288    -152.5477132  -1322800.0000000  426000.0000000  -1312400.0000000  415000.0000000  
3       360     128     55      52      77.2321958    -153.5602081  0.000   0.161   14.594  0.369   2      11.000  10.400  415     180     77.3539109    -153.2636812  -1316400.0000000  442000.0000000  -1306000.0000000  431000.0000000  
4       312     144     59      49      77.2316577    -153.9777237  0.000   0.194   18.580  0.372   2      11.800  9.800   371     193     77.3509969    -153.6456910  -1313200.0000000  451600.0000000  -1303400.0000000  439800.0000000  
5       496     144     54      54      77.3368192    -152.5297445  0.000   0.124   11.485  0.318   2      10.800  10.800  550     198     77.4603031    -152.2337103  -1313200.0000000  414800.0000000  -1302400.0000000  404000.0000000  
6       464     152     55      54      77.3330081    -152.8036159  0.000   0.205   20.755  0.487   3      11.000  10.800  519     206     77.4573491    -152.5023772  -1311600.0000000  421200.0000000  -1300800.0000000  410200.0000000  
7       344     160     56      52      77.2781644    -153.7701918  0.000   0.166   17.132  0.335   2      11.200  10.400  400     212     77.4007070    -153.4666858  -1310000.0000000  445200.0000000  -1299600.0000000  434000.0000000  
8       384     160     56      52      77.3014583    -153.4559401  0.000   0.183   18.793  0.388   2      11.200  10.400  440     212     77.4236372    -153.1487903  -1310000.0000000  437200.0000000  -1299600.0000000  426000.0000000  
9       528     176     55      53      77.4100317    -152.3550232  0.000   0.169   16.813  0.339   2      11.000  10.600  583     229     77.5321229    -152.0449367  -1306800.0000000  408400.0000000  -1296200.0000000  397400.0000000  
10      464     184     55      54      77.3885916    -152.8853659  0.000   0.206   20.987  0.405   3      11.000  10.800  519     238     77.5130389    -152.5835952  -1305200.0000000  421200.0000000  -1294400.0000000  410200.0000000  
11      496     184     55      54      77.4064025    -152.6305533  0.000   0.211   21.077  0.329   2      11.000  10.800  551     238     77.5305591    -152.3257919  -1305200.0000000  414800.0000000  -1294400.0000000  403800.0000000  
12      272     192     56      52      77.2903613    -154.4207207  0.000   0.158   14.932  0.277   1      11.200  10.400  328     244     77.4136578    -154.1233123  -1303600.0000000  459600.0000000  -1293200.0000000  448400.0000000  
13      312     192     56      52      77.3144401    -154.1073790  0.000   0.260   25.983  0.467   3      11.200  10.400  368     244     77.4373819    -153.8063052  -1303600.0000000  451600.0000000  -1293200.0000000  440400.0000000  
14      352     192     56      52      77.3381421    -153.7928454  0.000   0.209   20.903  0.352   2      11.200  10.400  408     244     77.4607239    -153.4880989  -1303600.0000000  443600.0000000  -1293200.0000000  432400.0000000  
15      384     192     55      54      77.3568309    -153.5403687  0.000   0.186   18.102  0.243   1      11.000  10.800  439     246     77.4820167    -153.2459424  -1303600.0000000  437200.0000000  -1292800.0000000  426200.0000000  
