CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       736     360     -1      3       71.1726392    -25.0606736   0.000   0.271   27.762  0.610   3      -0.200  0.600   735     363     71.1724890    -25.0430661   701600.0000000  -1934000.0000000  702200.0000000  -1933800.0000000  
1       864     376     -1      2       70.9463843    -25.2181053   0.000   0.196   19.076  0.361   2      -0.200  0.400   863     378     70.9468586    -25.2058869   704800.0000000  -1959600.0000000  705200.0000000  -1959400.0000000  
2       792     400     0       1       71.0533993    -24.9582634   0.000   0.141   14.301  0.227   1      0.000   0.200   792     401     71.0527830    -24.9530645   709600.0000000  -1945200.0000000  709800.0000000  -1945200.0000000  
3       704     408     0       1       71.1970309    -24.7481473   0.000   0.192   18.411  0.452   3      0.000   0.200   704     409     71.1964082    -24.7429149   711200.0000000  -1927600.0000000  711400.0000000  -1927600.0000000  
4       728     448     0       1       71.1315506    -24.5857564   0.000   0.189   18.498  0.344   2      0.000   0.200   728     449     71.1309231    -24.5805480   719200.0000000  -1932400.0000000  719400.0000000  -1932400.0000000  
5       832     456     0       1       70.9512023    -24.7441525   0.000   0.252   25.004  0.553   3      0.000   0.200   832     457     70.9505799    -24.7389891   720800.0000000  -1953200.0000000  721000.0000000  -1953200.0000000  
6       864     464     0       1       70.8922597    -24.7637598   0.000   0.153   14.871  0.302   2      0.000   0.200   864     465     70.8916379    -24.7586119   722400.0000000  -1959600.0000000  722600.0000000  -1959600.0000000  
7       776     472     0       2       71.0355949    -24.5539646   0.000   0.322   32.429  0.429   3      0.000   0.400   776     474     71.0343384    -24.5436040   724000.0000000  -1942000.0000000  724400.0000000  -1942000.0000000  
8       848     504     0       1       70.8942150    -24.5274463   0.000   0.245   25.206  0.514   3      0.000   0.200   848     505     70.8935863    -24.5223057   730400.0000000  -1956400.0000000  730600.0000000  -1956400.0000000  
9       808     512     -1      1       70.9565054    -24.4091582   0.000   0.151   14.558  0.283   1      -0.200  0.200   807     513     70.9575559    -24.4020677   732000.0000000  -1948400.0000000  732200.0000000  -1948200.0000000  
10      864     536     0       1       70.8471089    -24.3939853   0.000   0.155   15.939  0.336   2      0.000   0.200   864     537     70.8464764    -24.3888621   736800.0000000  -1959600.0000000  737000.0000000  -1959600.0000000  
11      896     536     0       1       70.7932732    -24.4554533   0.000   0.196   19.693  0.333   2      0.000   0.200   896     537     70.7926426    -24.4503426   736800.0000000  -1966000.0000000  737000.0000000  -1966000.0000000  
12      936     592     0       1       70.6905472    -24.2469973   0.000   0.163   15.651  0.268   1      0.000   0.200   936     593     70.6899106    -24.2419213   748000.0000000  -1974000.0000000  748200.0000000  -1974000.0000000  
