CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       1216    152     -70     -46     74.0642919    -167.4878891  0.000   0.148   14.870  0.287   1      -14.000  -9.200  1146    106     73.9257433    -167.7124373  -1465200.0000000  933000.0000000  -1474400.0000000  947000.0000000  
1       1080    160     -57     -64     73.9426951    -168.2670204  0.000   0.115   10.758  0.242   1      -11.400  -12.800  1023    96      73.7891175    -168.3484044  -1463600.0000000  960200.0000000  -1476400.0000000  971600.0000000  
2       1128    160     -70     -45     73.9902314    -168.0034981  0.000   0.161   17.032  0.356   2      -14.000  -9.000  1058    115     73.8526735    -168.2260784  -1463600.0000000  950600.0000000  -1472600.0000000  964600.0000000  
3       1112    192     -70     -45     74.0229669    -168.2064702  0.000   0.183   18.044  0.294   1      -14.000  -9.000  1042    147     73.8851814    -168.4277509  -1457200.0000000  953800.0000000  -1466200.0000000  967800.0000000  
4       1144    192     -70     -45     74.0546486    -168.0299481  0.000   0.195   18.793  0.312   2      -14.000  -9.000  1074    147     73.9170409    -168.2532018  -1457200.0000000  947400.0000000  -1466200.0000000  961400.0000000  
5       1056    200     -55     -63     73.9792538    -168.5426610  0.000   0.119   11.541  0.284   1      -11.000  -12.600  1001    137     73.8290700    -168.6143534  -1455600.0000000  965000.0000000  -1468200.0000000  976000.0000000  
6       1288    200     -71     -45     74.2076404    -167.2552025  0.000   0.154   14.020  0.282   1      -14.200  -9.000  1217    155     74.0698509    -167.4929564  -1455600.0000000  918600.0000000  -1464600.0000000  932800.0000000  
7       1328    224     -77     -34     74.2830915    -167.1145895  0.000   0.149   14.713  0.293   1      -15.400  -6.800  1251    190     74.1564464    -167.4274232  -1450800.0000000  910600.0000000  -1457600.0000000  926000.0000000  
8       1144    240     -70     -45     74.1275077    -168.2032452  0.000   0.211   20.977  0.353   2      -14.000  -9.000  1074    195     73.9896910    -168.4260168  -1447600.0000000  947400.0000000  -1456600.0000000  961400.0000000  
9       1080    248     -70     -45     74.0757720    -168.5857004  0.000   0.239   23.064  0.395   2      -14.000  -9.000  1010    203     73.9375687    -168.8044157  -1446000.0000000  960200.0000000  -1455000.0000000  974200.0000000  
