no.,sX1_aeqd,sX2_aeqd,sX3_aeqd,sY1_aeqd,sY2_aeqd,sY3_aeqd,vertice_idx1,vertice_idx2,vertice_idx3
0,415791.5497328133,416551.302114361,413055.15256543603,9330191.589820258,9348782.937093765,9389681.182017064,409,354,235
1,448251.07593091496,429481.1270973248,415791.5497328133,9327582.639192387,9329595.45240498,9330191.589820258,485,439,409
2,429481.1270973248,422829.39888028975,415791.5497328133,9329595.45240498,9334543.315235589,9330191.589820258,439,408,409
3,997123.9819075953,994854.7812079213,998260.876214325,9334444.862954458,9311345.959782587,9345995.621966211,1103,1107,1094
4,434961.61102708237,422829.39888028975,429481.1270973248,9337499.30894281,9334543.315235589,9329595.45240498,426,408,439
5,417931.72761231853,416551.302114361,415791.5497328133,9340575.318810452,9348782.937093765,9330191.589820258,381,354,409
6,422829.39888028975,417931.72761231853,415791.5497328133,9334543.315235589,9340575.318810452,9330191.589820258,408,381,409
7,992565.2063254769,997123.9819075953,998260.876214325,9340746.77663616,9334444.862954458,9345995.621966211,1098,1103,1094
8,413170.7688992664,414306.05809946096,417466.5286677479,9435096.662289415,9463006.637451796,9582913.990064243,142,98,1
9,415392.79892292706,413170.7688992664,413055.15256543603,9404720.27268803,9435096.662289415,9389681.182017064,211,142,235
10,426914.50092994334,429008.22332249745,417466.5286677479,9556860.70608588,9564929.575249555,9582913.990064243,10,6,1
11,422349.24543116597,426914.50092994334,417466.5286677479,9531414.699992694,9556860.70608588,9582913.990064243,24,10,1
12,619627.5650318003,886902.6490494692,725882.2857026802,9325135.31449865,9316009.845377434,9322421.148051694,793,1070,940
13,886902.6490494692,619627.5650318003,967362.8792961538,9316009.845377434,9325135.31449865,9311800.96359566,1070,793,1105
14,448251.07593091496,439847.81896727154,429481.1270973248,9327582.639192387,9331459.09179863,9329595.45240498,485,453,439
15,439847.81896727154,434961.61102708237,429481.1270973248,9331459.09179863,9337499.30894281,9329595.45240498,453,426,439
16,422349.24543116597,423463.9077572529,432722.40608125756,9531414.699992694,9516215.281655855,9528631.0788543,24,38,31
17,415392.79892292706,419894.6645107187,413170.7688992664,9404720.27268803,9430150.321755953,9435096.662289415,211,160,142
18,415421.8285052773,414306.05809946096,413170.7688992664,9447814.585562453,9463006.637451796,9435096.662289415,125,98,142
19,415421.8285052773,429859.95944561635,414306.05809946096,9447814.585562453,9461169.483418616,9463006.637451796,125,115,98
20,429859.95944561635,415421.8285052773,430853.7648080999,9461169.483418616,9447814.585562453,9443650.778409826,115,125,150
21,417466.5286677479,433304.36708992865,430091.3461355269,9582913.990064243,9583394.17129934,9590530.725515902,1,3,0
22,429008.22332249745,433304.36708992865,417466.5286677479,9564929.575249555,9583394.17129934,9582913.990064243,6,3,1
23,447133.45411846164,433304.36708992865,429008.22332249745,9578110.93352153,9583394.17129934,9564929.575249555,5,3,6
24,507443.3051810386,513553.2826915065,503192.7751976545,9519217.329727788,9536385.590634983,9539254.612649499,95,79,66
25,474029.00498462346,516266.92164680373,430091.3461355269,9589675.760425968,9589879.766309446,9590530.725515902,7,19,0
26,536800.6455576753,545724.577037854,538979.9274975223,9545633.336768525,9548638.749167653,9553675.87309868,86,91,77
27,588136.8992958756,691639.9867511406,560200.6604985208,9584673.80974092,9579095.158493323,9588639.38989165,72,176,44
28,691639.9867511406,588136.8992958756,628251.1836000263,9579095.158493323,9584673.80974092,9578689.945148667,176,72,112
29,886902.6490494692,799577.4766723943,725882.2857026802,9316009.845377434,9320116.067453686,9322421.148051694,1070,1010,940
30,986650.4445966067,992565.2063254769,979114.2653691043,9333184.13625515,9340746.77663616,9344448.76717219,1100,1098,1089
31,977776.2945050703,986650.4445966067,979114.2653691043,9330584.325495802,9333184.13625515,9344448.76717219,1099,1100,1089
32,992565.2063254769,986650.4445966067,997123.9819075953,9340746.77663616,9333184.13625515,9334444.862954458,1098,1100,1103
33,977776.2945050703,960982.5180009993,967362.8792961538,9330584.325495802,9317101.977396993,9311800.96359566,1099,1101,1105
34,980230.8924971749,971117.8096884997,979114.2653691043,9356003.41550241,9351086.750947412,9344448.76717219,1081,1082,1089
35,980230.8924971749,973827.4090092609,971117.8096884997,9356003.41550241,9361315.781461043,9351086.750947412,1081,1073,1082
36,893009.8948490755,957550.3013522029,981993.6980789918,9563994.786655236,9556731.10640014,9554310.315418769,531,666,715
37,430844.44703707896,426265.9049946914,416468.28968833666,9484429.060824443,9499778.318501169,9473400.350701071,85,60,89
38,434021.10250089166,429859.95944561635,445816.3516947309,9477297.27696091,9461169.483418616,9468610.076080294,93,115,123
39,434021.10250089166,430844.44703707896,416468.28968833666,9477297.27696091,9484429.060824443,9473400.350701071,93,85,89
40,434021.10250089166,441571.2115331946,430844.44703707896,9477297.27696091,9490942.239805672,9484429.060824443,93,84,85
41,457059.24004663253,441571.2115331946,445816.3516947309,9486734.717529155,9490942.239805672,9468610.076080294,104,84,123
42,441571.2115331946,434021.10250089166,445816.3516947309,9490942.239805672,9477297.27696091,9468610.076080294,84,93,123
43,441571.2115331946,448730.05875386286,440185.2265939564,9490942.239805672,9495277.809818966,9499162.068924775,84,83,70
44,448730.05875386286,441571.2115331946,457059.24004663253,9495277.809818966,9490942.239805672,9486734.717529155,83,84,104
45,423463.9077572529,442785.7933688183,432722.40608125756,9516215.281655855,9518857.206169374,9528631.0788543,38,46,31
46,449552.5145110537,442785.7933688183,440185.2265939564,9513886.920162082,9518857.206169374,9499162.068924775,59,46,70
47,433304.36708992865,440523.54630478425,430091.3461355269,9583394.17129934,9587736.818909686,9590530.725515902,3,2,0
48,440523.54630478425,474029.00498462346,430091.3461355269,9587736.818909686,9589675.760425968,9590530.725515902,2,7,0
49,440523.54630478425,450950.19483431027,474029.00498462346,9587736.818909686,9584931.990782492,9589675.760425968,2,4,7
50,440523.54630478425,447133.45411846164,450950.19483431027,9587736.818909686,9578110.93352153,9584931.990782492,2,5,4
51,447133.45411846164,440523.54630478425,433304.36708992865,9578110.93352153,9587736.818909686,9583394.17129934,5,2,3
52,473229.07950690633,466459.23013039416,462435.91762614384,9534918.203678716,9539905.535073837,9528439.4616017,48,40,49
53,495979.63696326734,507443.3051810386,503192.7751976545,9534959.058022,9519217.329727788,9539254.612649499,67,95,66
54,426914.50092994334,437212.5229001607,429008.22332249745,9556860.70608588,9551744.396049226,9564929.575249555,10,14,6
55,447133.45411846164,452134.3388748285,450950.19483431027,9578110.93352153,9572052.56591324,9584931.990782492,5,9,4
56,473229.07950690633,477376.29021021747,466459.23013039416,9534918.203678716,9548706.218387214,9539905.535073837,48,37,40
57,466459.23013039416,455874.15257831285,462435.91762614384,9539905.535073837,9538072.06835218,9528439.4616017,40,36,49
58,449505.614051583,455874.15257831285,466459.23013039416,9552354.556914488,9538072.06835218,9539905.535073837,18,36,40
59,777547.0101278257,691639.9867511406,723174.6424479401,9573831.065514008,9579095.158493323,9576822.231151285,312,176,224
60,691639.9867511406,777547.0101278257,560200.6604985208,9579095.158493323,9573831.065514008,9588639.38989165,176,312,44
61,555447.3078900819,548214.8675034005,554938.8119181453,9534100.609089626,9529844.171955494,9524801.898004623,118,119,131
